smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1594395984.78,2802657.33378,-1595371898.03,-1590396243.75,-1596443899.32,-1596411608.46,-1591014082.56,4.0,7854888130620.0,0.125226860254,66,0.00782734744372,1.7334191682000001e-13,0.250003306843,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1610617667.76,4366312.97933,-1611689602.34,-1604648779.02,-1614442687.35,-1614258138.0,-1605476489.11,4.0,19064689033500.0,0.250453720508,79,0.00782578236135,1.7334191682000001e-13,0.124994709051,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1613356429.4,2136814.93648,-1613952472.67,-1610287621.04,-1615233151.2,-1615064221.78,-1610814176.43,4.0,4565978072780.0,0.250453720508,84,0.015652020206,1.7334191682000001e-13,0.249996693157,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1618881622.08,1654203.66036,-1619068821.46,-1616696761.41,-1620692083.99,-1620480004.05,-1617021160.98,4.0,2736389749930.0,0.125226860254,51,0.00391345630072,1.7334191682000001e-13,0.124994709051,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1619085690.33,3366194.0216,-1617647408.71,-1616972702.66,-1624075241.22,-1623185776.55,-1616999198.36,4.0,11331262191000.0,0.250453720508,89,0.0156524342817,1.7334191682000001e-13,0.250003306843,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1619506110.24,5561450.06465,-1618494953.34,-1614667739.82,-1626366794.44,-1625663497.85,-1614764342.28,4.0,30929726821600.0,0.125226860254,71,0.00391368407525,1.7334191682000001e-13,0.125001984106,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1633886305.7,5694861.7517,-1635793658.89,-1625549424.34,-1638408480.67,-1638043236.88,-1627059080.04,4.0,32431450370900.0,0.250453720508,94,0.0156524342817,1.7334191682000001e-13,0.250003306843,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1651490280.38,7303539.10676,-1649175116.6,-1645560479.33,-1662050409.0,-1660291001.88,-1645930788.18,4.0,53341683484000.0,0.250453720508,99,0.00782623784463,1.7334191682000001e-13,0.125001984106,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1722304357.22,1386683.11495,-1722229194.89,-1720960745.41,-1723798293.68,-1723702042.54,-1721011899.15,4.0,1922890061290.0,0.249546279492,83,0.0155953099878,1.7334191682000001e-13,0.249996693157,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1742575064.83,3922332.17805,-1742696987.28,-1737939360.83,-1746966923.92,-1746571676.8,-1738407761.43,4.0,15384689715000.0,0.249546279492,88,0.0155957225633,1.7334191682000001e-13,0.250003306843,0.249981948155
