smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
1200.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-678988033.931,18618550.8866,-683067916.205,-654991152.394,-694825150.92,-694484574.195,-657779658.484,4.0,346650437118000.0,1.68189591158e-14,89,0.25,0.250000608631,0.25,0.0156250380394
1200.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-706199806.084,23151834.4194,-711718572.618,-674040752.956,-727321326.144,-725847709.599,-678825629.421,4.0,536007436983000.0,1.68189591158e-14,110,0.125,0.249999256118,0.125,0.00390623837684
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-749659724.246,22670266.4033,-742465079.271,-731708039.122,-782000699.321,-776958373.012,-732433578.446,4.0,513940978798000.0,1.68189591158e-14,46,0.25,0.125000371941,0.125,0.00390626162316
1200.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-790034609.207,22170496.719,-788240558.551,-764989270.758,-818668048.97,-814590127.774,-767990761.561,4.0,491530924768000.0,1.68189591158e-14,103,0.125,0.124999019428,0.25,0.00390621935712
1200.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2772623.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-810554488.526,36742600.6247,-805397074.686,-776775739.39,-854648065.342,-850462856.773,-777866499.655,4.0,1350018700670000.0,1.68189591158e-14,67,0.25,0.250000743882,0.25,0.0156250464926
1200.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-837059454.369,13834562.3227,-838070376.192,-821465451.946,-850631613.145,-850023596.24,-822680021.945,4.0,191395114660000.0,1.68189591158e-14,88,0.25,0.250000608631,0.25,0.0156250380394
1200.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-871055918.934,33446363.5464,-865412403.718,-841708857.592,-911690010.707,-907710441.941,-842302317.228,4.0,1118659234480000.0,1.68189591158e-14,81,0.25,0.249999256118,0.125,0.00781247675368
1200.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,924208.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-882174473.537,16254863.2336,-882131938.642,-867146271.247,-897287745.615,-896965528.826,-867442967.1,4.0,264220578742000.0,1.68189591158e-14,109,0.125,0.249999256118,0.25,0.00781247675368
1200.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2772623.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-963801477.251,5119391.86648,-964059178.032,-957351917.139,-969735635.801,-969021670.448,-958220502.96,4.0,26208173082500.0,1.68189591158e-14,66,0.25,0.250000743882,0.125,0.00781252324632
1200.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1018495559.22,36476654.0989,-1007881560.31,-987670026.969,-1070549089.28,-1062243762.18,-989606954.725,4.0,1330546294250000.0,1.68189591158e-14,102,0.125,0.124999019428,0.25,0.00390621935712
