npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability
894.0,-718.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1610288358.45,554201.339729,1610288358.45,1610680237.98,1609896478.92,1609935666.88,1610641050.02,2.0,307139124957.0,107,0.25,0.25,0.00781257627714,0.125001220434,9.0090706851e-14
894.0,-365.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1609076000.92,12131035.9409,1609076000.92,1617653938.69,1600498063.14,1601355856.92,1616796144.92,2.0,147162033001000.0,45,0.125,0.25,0.00781242372286,0.249997559131,9.0090706851e-14
894.0,-894.0,-17341.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1600430345.41,1289257.67689,1600430345.41,1601341988.26,1599518702.56,1599609866.85,1601250823.97,2.0,1662185357420.0,77,0.25,0.124645892351,0.00779044433302,0.250002440869,9.0090706851e-14
894.0,-365.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1583032482.87,12377794.4679,1583032482.87,1591784905.28,1574280060.47,1575155302.71,1590909663.04,2.0,153209795889000.0,94,0.25,0.25,0.0156251525543,0.250002440869,9.0090706851e-14
894.0,-894.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1569921087.27,4622302.75343,1569921087.27,1573189548.89,1566652625.64,1566979471.81,1572862702.72,2.0,21365682744400.0,28,0.25,0.124645892351,0.00779029221089,0.249997559131,9.0090706851e-14
894.0,-541.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1556309902.91,19302060.6014,1556309902.91,1569958520.85,1542661284.96,1544026146.76,1568593659.05,2.0,372569543461000.0,64,0.25,0.25,0.0156251864552,0.250002983284,9.0090706851e-14
894.0,-188.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1555883116.77,6292727.0453,1555883116.77,1560332746.74,1551433486.81,1551878449.81,1559887783.74,2.0,39598413666700.0,100,0.125,0.125354107649,0.00391735411064,0.250002440869,9.0090706851e-14
894.0,-541.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1540275446.64,2303103.93608,1540275446.64,1541903987.05,1538646906.23,1538809760.27,1541741133.01,2.0,5304287740390.0,113,0.25,0.25,0.00781257627714,0.125001220434,9.0090706851e-14
894.0,-718.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1526669535.94,5323223.02591,1526669535.94,1530433623.04,1522905448.84,1523281857.55,1530057214.33,2.0,28336703383600.0,83,0.25,0.25,0.0156251525543,0.250002440869,9.0090706851e-14
894.0,-894.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1520547059.46,2979617.55715,1520547059.46,1522653967.24,1518440151.68,1518650842.46,1522443276.46,2.0,8878120786890.0,3,0.25,0.124645892351,0.00389505314193,0.124995796282,9.0090706851e-14
