npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,718198219.208,1547039.49857,717634880.681,720456881.71,717066233.76,717108794.526,720076317.828,4.0,2393331210140.0,88,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,710590416.095,1403811.58554,710588008.624,711916312.566,709269334.569,709302518.23,711881684.421,4.0,1970686967690.0,71,0.125004598124,1.0406674226900002e-12,0.125333333333,0.25,0.00391681074122
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,702764885.669,580027.925976,702798967.02,703297735.471,702163873.166,702195336.161,703286721.286,4.0,336432394911.0,110,0.249990803752,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00391735359627
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,690518998.603,2254890.85212,690336322.232,693446165.919,687957184.027,688289032.497,693004711.627,4.0,5084532754980.0,93,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,674088431.973,1417595.80459,674546312.133,675179760.581,672081343.044,672384848.416,675150983.305,4.0,2009577865200.0,115,0.250009196248,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00391764180651
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,666164735.348,1989211.92064,666966975.065,667491372.789,663233618.475,663742500.559,667463834.535,4.0,3956964065210.0,82,0.249990803752,1.0406674226900002e-12,0.249333333333,0.25,0.0155827601005
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,664291168.365,1664337.81984,664620013.228,665939092.164,661985554.84,662354254.511,665767699.411,4.0,2770020378560.0,98,0.125004598124,1.0406674226900002e-12,0.249333333333,0.25,0.00779195328306
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,649452405.007,1764063.22778,649441725.329,651612055.605,647314113.766,647599857.508,651319904.056,4.0,3111919071610.0,120,0.250009196248,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00391764180651
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,640279620.077,1140473.44617,639935852.345,641829691.029,639417084.591,639418488.105,641622026.875,4.0,1300679681420.0,87,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,635045450.295,1150903.09651,635386380.08,636028607.397,633380433.622,633676141.179,635937457.711,4.0,1324577937570.0,77,0.124986205628,1.0406674226900002e-12,0.249333333333,0.25,0.00779080681749
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,628283722.315,1714900.90914,628956875.308,629480446.196,625740692.45,626209194.683,629415835.758,4.0,2940885128170.0,109,0.249990803752,1.0406674226900002e-12,0.250666666667,0.125026522385,0.00783470719255
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,624357194.929,1095381.93652,624571428.028,625364399.623,622921524.035,623099281.339,625315182.18,4.0,1199861586850.0,104,0.124986205628,1.0406674226900002e-12,0.250666666667,0.125026522385,0.00391706538603
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,622513989.966,1154039.71172,622077362.298,624183593.201,621717642.067,621725077.053,623914181.615,4.0,1331807656220.0,125,0.125004598124,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00195882090326
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,613283265.376,1866060.10062,613538680.475,614942901.346,611112799.208,611297597.724,614911351.89,4.0,3482180299140.0,92,0.250009196248,1.0406674226900002e-12,0.249333333333,0.25,0.0155839065661
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,601676504.591,745702.156113,601610209.617,602606585.991,600879013.139,600946481.395,602499340.751,4.0,556071705631.0,114,0.250009196248,1.0406674226900002e-12,0.250666666667,0.125026522385,0.00783528361303
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,584821400.202,1315870.90902,584873826.007,586365158.442,583172790.352,583396490.754,586172913.522,4.0,1731516249210.0,97,0.125004598124,1.0406674226900002e-12,0.249333333333,0.25,0.00779195328306
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,582293004.389,1652421.03957,582458692.814,584137084.368,580117547.56,580462592.086,583891452.897,4.0,2730495292000.0,81,0.249990803752,1.0406674226900002e-12,0.125333333333,0.25,0.00783304518423
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,575239160.468,878255.378196,575255735.213,576254449.608,574190721.837,574305049.286,576150067.006,4.0,771332509330.0,119,0.250009196248,1.0406674226900002e-12,0.250666666667,0.125026522385,0.00783528361303
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,555021212.098,1724309.59026,555812717.668,556014590.785,552444822.273,552928222.262,556006094.137,4.0,2973243563060.0,86,0.250009196248,1.0406674226900002e-12,0.125333333333,0.25,0.00783362148244
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,546429722.99,1212821.49065,546187154.261,548116562.426,545228021.014,545363943.969,547835098.233,4.0,1470935968170.0,124,0.125004598124,1.0406674226900002e-12,0.250666666667,0.125026522385,0.00391764180651
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,540660336.676,1514886.25406,541184031.628,541821649.696,538451633.751,538826457.635,541761042.783,4.0,2294880362740.0,108,0.249990803752,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00779303321812
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,536638451.399,1247489.20578,536362133.585,538333295.111,535496243.313,535564384.918,538099362.818,4.0,1556229318530.0,76,0.124986205628,1.0406674226900002e-12,0.125333333333,0.25,0.00391623444301
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,526470254.12,1616558.86955,525933295.69,528782964.761,525231460.341,525271360.893,528420889.15,4.0,2613262578710.0,91,0.250009196248,1.0406674226900002e-12,0.125333333333,0.25,0.00783362148244
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,523541700.497,968184.926597,523471915.638,524680840.977,522542129.735,522606177.033,524574922.764,4.0,937382052090.0,103,0.124986205628,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00389622993185
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,513583750.352,1935460.54328,513618992.341,515889844.316,511207172.409,511513898.622,515604263.297,4.0,3746007514610.0,113,0.250009196248,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00779360657253
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,500783082.688,3108619.75307,501643585.128,503316082.012,496529078.485,497112635.117,503248826.844,4.0,9663516769150.0,96,0.125004598124,1.0406674226900002e-12,0.125333333333,0.25,0.00391681074122
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,486179507.147,2127280.03264,486311134.578,488275216.361,483820543.073,483993316.562,488181419.33,4.0,4525320337280.0,118,0.250009196248,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00779360657253
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,457719074.598,1550423.08613,458005634.801,459260447.671,455604581.118,455917270.852,459119694.059,4.0,2403811745990.0,123,0.125004598124,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00389680328627
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,451275968.774,956264.537134,451616497.661,451986729.367,449884150.407,450116127.756,451959069.35,4.0,914441864980.0,107,0.249990803752,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00779303321812
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,424562713.346,2696119.03688,424814401.906,427279257.243,421342792.328,421653186.448,427119876.259,4.0,7269057861010.0,102,0.124986205628,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00389622993185
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,424285400.987,2407286.45068,424516553.213,426972995.044,421135502.479,421603949.765,426643239.093,4.0,5795028055630.0,112,0.250009196248,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00779360657253
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,396026003.801,1427424.55172,396160075.391,397496499.117,394287365.305,394468127.753,397396179.622,4.0,2037540850860.0,117,0.250009196248,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00779360657253
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,369933929.686,1830036.90265,370606229.491,371273734.889,367249524.873,367713058.456,371213581.188,4.0,3349035065050.0,122,0.125004598124,1.0406674226900002e-12,0.249333333333,0.125026522385,0.00389680328627
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,358082307.592,3078537.43485,357696633.126,362129184.774,354806779.342,355132696.407,361571863.03,4.0,9477392737750.0,106,0.249990803752,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00391735359627
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,331596360.3,1688505.57751,331518772.093,333576655.585,329771241.428,329912973.947,333388370.143,4.0,2851051085290.0,111,0.250009196248,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00391764180651
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,326748194.935,1830498.36323,326179423.713,329324724.869,325309207.445,325351253.877,328941415.703,4.0,3350724257800.0,101,0.124986205628,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00195853269302
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,302446688.407,818609.676397,302204142.762,303630830.297,301747637.805,301811557.808,303421382.907,4.0,670121802290.0,116,0.250009196248,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00391764180651
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,277307993.259,1142908.39469,277054427.368,278853413.659,276269704.64,276327061.578,278643917.186,4.0,1306239598660.0,121,0.125004598124,1.0406674226900002e-12,0.125333333333,0.125026522385,0.00195882090326
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-109675518466.0,626.153490146,-109675518401.0,-109675517842.0,-109675519220.0,-109675519146.0,-109675517877.0,4.0,392068.193222,1,0.124986205628,1.0406674226900002e-12,0.125333333333,0.124973477615,0.00195770175
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440356055472.0,263753.446582,-440356039477.0,-440355751665.0,-440356391267.0,-440356344432.0,-440355788904.0,4.0,69565880583.7,27,0.124986205628,1.0406674226900002e-12,0.249333333333,0.25,0.00779080681749
522.0,-320.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-118933688910000.0,555074.560435,-118933688865000.0,-118933688280000.0,-118933689630000.0,-118933689523000.0,-118933688361000.0,4.0,308107767643.0,48,0.125004598124,1.0406674226900002e-12,0.249333333333,0.25,0.00779195328306
