smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1774724573.97,811013.649265,-1774816986.64,-1773614579.76,-1776243691.35,-1775793064.94,-1773668792.83,10.0,657743139294.0,6,0.125226860254,0.249999574839,2.4762864257000002e-14,0.124990974078,0.00391305015624
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1781412060.68,23782937.5356,-1793527697.93,-1742198866.17,-1807424165.16,-1805018564.94,-1747055362.81,10.0,565628117824000.0,89,0.250453720508,0.250000519641,2.4762864257000002e-14,0.249981948155,0.015652259778
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1886879326.47,23922571.0889,-1890893634.95,-1843056600.6,-1919348426.44,-1915707443.0,-1848435897.24,10.0,572289407502000.0,88,0.249546279492,0.250000519641,2.4762864257000002e-14,0.249981948155,0.0155955486918
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1907582013.08,27159059.262,-1910882605.22,-1858756043.16,-1959400568.11,-1943786109.91,-1868482119.26,10.0,737614499997000.0,113,0.249546279492,0.250000519641,2.4762864257000002e-14,0.124990974078,0.00779777434592
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1975220316.02,25588990.3185,-1973208791.01,-1925847257.17,-2024286118.76,-2008744542.35,-1939361907.17,10.0,654796425521000.0,63,0.249546279492,0.250000519641,2.4762864257000002e-14,0.250018051845,0.0155978010819
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2036758789.0,22228607.9616,-2032285105.34,-2007728543.57,-2069350208.11,-2068824787.76,-2009722615.98,10.0,494111011910000.0,87,0.249546279492,0.250000519641,2.4762864257000002e-14,0.249981948155,0.0155955486918
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2049868982.29,30682083.5819,-2054505409.89,-1986048503.48,-2105226102.23,-2087238196.93,-2003270898.69,10.0,941390252928000.0,112,0.249546279492,0.250000519641,2.4762864257000002e-14,0.124990974078,0.00779777434592
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2054944993.62,20745231.0179,-2050746080.66,-2029994264.34,-2086211867.51,-2085161741.93,-2032300954.14,10.0,430364609986000.0,62,0.249546279492,0.250000519641,2.4762864257000002e-14,0.250018051845,0.0155978010819
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2145989255.89,14798740.5572,-2146218274.72,-2122060026.36,-2164021484.19,-2163402681.9,-2125502489.53,10.0,219002722078000.0,37,0.249546279492,0.250000519641,2.4762864257000002e-14,0.250018051845,0.0155978010819
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2166888668.91,24613141.9009,-2163283401.39,-2141517651.8,-2227387341.84,-2207533514.8,-2144070804.09,10.0,605806754231000.0,61,0.125226860254,0.250000519641,2.4762864257000002e-14,0.250018051845,0.00782726017928
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2182643254.33,16093695.0628,-2187783213.95,-2163399066.39,-2206359385.26,-2201741162.83,-2163615650.6,10.0,259007020774000.0,120,0.125226860254,0.250000425161,2.4762864257000002e-14,0.124990974078,0.00391306346567
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2188450559.09,31526662.3112,-2197263887.01,-2113769478.38,-2214809572.93,-2214537672.38,-2136866215.22,10.0,993930436486000.0,86,0.125226860254,0.250000519641,2.4762864257000002e-14,0.249981948155,0.007826129889
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2192647646.19,47698448.7056,-2195152748.91,-2105814958.37,-2264091774.4,-2263494037.04,-2126562638.77,10.0,2275142008920000.0,111,0.125226860254,0.250000519641,2.4762864257000002e-14,0.124990974078,0.0039130649445
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2218530172.63,15321971.9425,-2220163778.35,-2199505434.71,-2242428143.05,-2240039098.11,-2201093711.29,10.0,234762824206000.0,36,0.125226860254,0.250000519641,2.4762864257000002e-14,0.250018051845,0.00782726017928
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2309282873.89,36291045.1148,-2302089480.67,-2266253080.86,-2395438020.76,-2372235960.37,-2275407043.56,10.0,1317039955520000.0,119,0.250453720508,0.250000425161,2.4762864257000002e-14,0.124990974078,0.00782612693135
