smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-793374497.685,5464277.40409,-793374497.685,-789510670.079,-797238325.292,-796851942.532,-789897052.839,2.0,29858327548900.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.249963898917,0.00782556419142,53
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-853401226.185,13947316.7574,-853401226.185,-843538983.926,-863263468.443,-862277244.217,-844525208.152,2.0,194527644731000.0,0.249999500615,2.6175466018599997e-14,0.250453720508,0.125018050542,0.00782779333583,35
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-874496368.291,29910328.8421,-874496368.291,-853346571.94,-895646164.643,-893531185.008,-855461551.575,2.0,894627771444000.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.25,0.0155966736232,64
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-899864591.853,22941656.7728,-899864591.853,-883642390.777,-916086792.929,-914464572.821,-885264610.885,2.0,526319615482000.0,0.250000499385,2.6175466018599997e-14,0.250453720508,0.25,0.0156533888,82
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-921583673.893,48496546.1379,-921583673.893,-887291437.254,-955875910.531,-952446686.867,-890720660.918,2.0,2351914987300000.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00391391230429,75
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-964877688.144,68609107.4498,-964877688.144,-916363723.015,-1013391653.27,-1008540256.76,-921215119.528,2.0,4707209625060000.0,0.249999500615,2.6175466018599997e-14,0.125226860254,0.125018050542,0.00391389666791,30
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-977079928.399,3672038.47608,-977079928.399,-974483405.092,-979676451.706,-979416799.376,-974743057.423,2.0,13483866569800.0,0.250000499385,2.6175466018599997e-14,0.125226860254,0.25,0.0078266944,77
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1021418673.59,16710893.4939,-1021418673.59,-1009602287.48,-1033235059.7,-1032053421.08,-1010783926.09,2.0,279253961364000.0,0.250000499385,2.6175466018599997e-14,0.250453720508,0.25,0.0156533888,59
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1072495170.13,29147069.074,-1072495170.13,-1051885079.94,-1093105260.33,-1091044251.31,-1053946088.96,2.0,849551635607000.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.125018050542,0.00779946292521,70
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1112967939.91,16801253.5366,-1112967939.91,-1101087659.6,-1124848220.22,-1123660192.19,-1102275687.64,2.0,282282120400000.0,0.250000499385,2.6175466018599997e-14,0.249546279492,0.249963898917,0.0155944213959,88
