smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1200.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1237239903.45,39056668.6019,-1227859227.57,-1191922220.37,-1297987727.36,-1295692791.61,-1194582601.13,10.0,1525423362280000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,62
1200.0,-385.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1240963436.13,72341603.1747,-1226223510.02,-1154296851.73,-1365409928.02,-1343070640.16,-1158805367.83,10.0,5233307549890000.0,6.6445189699799995e-15,0.00308642351006,0.111111111111,0.111111111111,0.250000304315,87
1200.0,-685.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1261981167.93,65292981.9117,-1267832382.58,-1164165871.79,-1354182390.9,-1344393315.85,-1175754505.31,10.0,4263173486930000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,74
1200.0,-385.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1289162877.72,89835013.0122,-1256016679.89,-1200060516.39,-1423470205.21,-1413257108.31,-1201003489.78,10.0,8070329562910000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,127
1200.0,-785.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1303946978.42,75420669.922,-1285857328.14,-1198206948.78,-1409613094.23,-1406972339.87,-1214718933.96,10.0,5688277451480000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,73
1200.0,-785.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1331048411.93,72960242.3048,-1327450449.16,-1226038836.09,-1460181678.05,-1440136056.94,-1242150660.99,10.0,5323196957170000.0,6.6445189699799995e-15,0.00154321175503,0.111111111111,0.0555555555556,0.250000304315,33
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1332814451.32,43660939.6519,-1332120543.62,-1265244490.54,-1420687623.87,-1400806485.16,-1276954894.02,10.0,1906277651290000.0,6.6445189699799995e-15,0.00154320799805,0.0555555555556,0.111111111111,0.249999695685,61
1200.0,-585.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1346365194.49,29812361.0653,-1345384747.05,-1307482518.77,-1401511931.41,-1390017615.35,-1308133961.21,10.0,888776872289000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,115
1200.0,-185.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1347859695.71,49653965.274,-1347532295.17,-1247813651.3,-1405946955.48,-1401786779.3,-1267696010.86,10.0,2465516267430000.0,6.6445189699799995e-15,0.000771605877516,0.111111111111,0.0555555555556,0.125000152158,49
1200.0,-485.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1354299988.2,45266923.3181,-1350878278.96,-1284057873.27,-1449038955.44,-1418965306.08,-1296115160.24,10.0,2049094346690000.0,6.6445189699799995e-15,0.00308642351006,0.111111111111,0.111111111111,0.250000304315,86
