,index,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
34,50,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39646.0,ref,prairie_island,minnesota,covid,843539178.229,74075.5658893,843509918.3939999,843648819.5730001,843488056.5539999,843490200.168,843629120.0580001,4.0,5487189461.82,0.111137306677,4.3848457759400005e-12,0.0013756406871600001,273,0.11113727336899999,0.111374407583
35,53,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,45310.0,ref,prairie_island,minnesota,covid,841382333.485,52419.6165001,841387636.1830001,841440584.62,841313476.9530001,841323830.163,841433413.03,4.0,2747816194.02,0.111137306677,4.3848457759400005e-12,0.0013756406871600001,283,0.11113727336899999,0.111374407583
36,56,522.0,-413.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50974.0,ref,prairie_island,minnesota,covid,839317258.7969999,179122.358325,839320975.151,839528009.624,839099075.2639999,839125480.7639999,839503833.9360001,4.0,32084819251.9,0.111137306677,4.3848457759400005e-12,0.000687820343581,293,0.055568636684699996,0.111374407583
37,31,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5664.0,ref,prairie_island,minnesota,covid,807565672.006,189357.368001,807612699.761,807735884.621,807301403.883,807341114.445,807724390.712,4.0,35856212816.1,0.111137306677,4.3848457759400005e-12,0.00137430487788,212,0.11102935405400001,0.111374407583
38,34,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,11327.0,ref,prairie_island,minnesota,covid,806944974.761,196109.201111,806887086.503,807227901.428,806777824.608,806791432.4480001,807179560.634,4.0,38458818760.4,0.111137306677,4.3848457759400005e-12,0.0013755192499600001,222,0.111127462523,0.111374407583
39,37,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16991.0,ref,prairie_island,minnesota,covid,804822675.25,117911.918474,804836443.97,804942646.032,804675167.0289999,804691725.617,804934348.6760001,4.0,13903220518.2,0.111137306677,4.3848457759400005e-12,0.0013756406871600001,232,0.11113727336899999,0.111374407583
40,29,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,803088018.742,49949.5025609,803076073.358,803153081.204,803046847.0489999,803047449.267,803145311.755,4.0,2494952806.08,0.111137306677,4.3848457759400005e-12,0.0006866059715060001,202,0.055470528216,0.111374407583
41,40,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22655.0,ref,prairie_island,minnesota,covid,802793824.93,80118.2777749,802794505.4369999,802878516.0339999,802707772.8110001,802713527.9610001,802873169.1880001,4.0,6418938433.61,0.111137306677,4.3848457759400005e-12,0.0013756406871600001,242,0.11113727336899999,0.111374407583
42,43,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,28319.0,ref,prairie_island,minnesota,covid,800423601.671,434699.054162,800397949.415,800911877.496,799986630.3560001,800009181.877,800873934.622,4.0,188963267689.0,0.111137306677,4.3848457759400005e-12,0.0013755192499600001,252,0.111127462523,0.111374407583
43,47,522.0,-460.0,-10387.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33982.0,ref,prairie_island,minnesota,covid,798270014.695,251119.628971,798240537.34,798544700.163,798054283.9369999,798055086.141,798526211.546,4.0,63061068054.7,0.111137306677,4.3848457759400005e-12,0.0013755192499600001,262,0.111127462523,0.111374407583
