npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,270681508.614,167123.39483,270681508.614,270799682.7,270563334.528,270575151.937,270787865.291,2.0,27930229099.5,1.0563053673200001e-12,0.24999086758,0.25,0.125333333333,29,0.00783304718417
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,258409482.555,992358.381384,258409482.555,259111185.896,257707779.214,257777949.548,259041015.562,2.0,984775157104.0,1.0563053673200001e-12,0.25000913242,0.124972890913,0.249333333333,70,0.00779026143228
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,255561925.604,733450.141808,255561925.604,256080553.173,255043298.035,255095160.792,256028690.416,2.0,537949110518.0,1.0563053673200001e-12,0.12498630137,0.25,0.125333333333,4,0.00391623744292
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,241758073.622,442607.664595,241758073.622,242071044.503,241445102.741,241476399.829,242039747.415,2.0,195901544758.0,1.0563053673200001e-12,0.25000913242,0.25,0.125333333333,54,0.0078336194825
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,229777914.577,315533.732691,229777914.577,230001030.619,229554798.535,229577110.139,229978719.015,2.0,99561536465.8,1.0563053673200001e-12,0.25000913242,0.124972890913,0.249333333333,95,0.00779026143228
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,212962790.151,1373652.00259,212962790.151,213934108.797,211991471.505,212088603.369,213836976.932,2.0,1886919824230.0,1.0563053673200001e-12,0.25000913242,0.25,0.125333333333,79,0.0078336194825
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,202570762.295,901528.624937,202570762.295,203208239.299,201933285.291,201997032.991,203144491.599,2.0,812753861580.0,1.0563053673200001e-12,0.12500456621,0.124972890913,0.249333333333,120,0.00389513071614
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,194819989.5,424629.686632,194819989.5,195120248.031,194519730.969,194549756.822,195090222.178,2.0,180310370770.0,1.0563053673200001e-12,0.12498630137,0.124972890913,0.249333333333,15,0.00389456158541
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,194685897.852,796875.002312,194685897.852,195249373.57,194122422.134,194178769.706,195193025.998,2.0,635009769310.0,1.0563053673200001e-12,0.24999086758,0.124972890913,0.249333333333,40,0.00778969230155
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,185910604.94,380442.522248,185910604.94,186179618.427,185641591.453,185668492.801,186152717.079,2.0,144736512734.0,1.0563053673200001e-12,0.12500456621,0.25,0.125333333333,104,0.00391680974125
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,165425460.001,864593.09231,165425460.001,166036819.639,164814100.362,164875236.326,165975683.675,2.0,747521215270.0,1.0563053673200001e-12,0.25000913242,0.124972890913,0.249333333333,65,0.00779026143228
