smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-256051677.786,979147.977251,-255906361.295,-255091825.854,-257302162.701,-257155446.025,-255151352.635,4.0,958730761354.0,0.25,99,0.0078128560774,0.25,0.125005697238,1.06825089311e-11
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-256322602.488,1107479.99367,-256214423.428,-255126549.188,-257735013.908,-257557868.047,-255238787.612,4.0,1226511936390.0,0.25,87,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-260522288.545,1049504.69707,-260442441.763,-259335138.371,-261869132.282,-261682851.472,-259473511.111,4.0,1101460109170.0,0.125,81,0.00781220866395,0.25,0.249990677246,1.06825089311e-11
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-269438389.547,966895.459472,-268988897.723,-268890359.298,-270885403.443,-270609405.12,-268896662.527,4.0,934886829548.0,0.125,76,0.00390578062525,0.25,0.124984980008,1.06825089311e-11
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-278310457.534,1889105.47065,-278912750.626,-275677585.883,-279738743.002,-279721366.96,-276056337.781,4.0,3568719479250.0,0.25,114,0.00781279133605,0.125,0.250009322754,1.06825089311e-11
240.0,-101.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-278902343.668,689030.924994,-278636507.753,-278412712.444,-279923646.723,-279731895.172,-278444962.446,4.0,474763615598.0,0.125,120,0.00390639566803,0.125,0.250009322754,1.06825089311e-11
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-279816333.792,984571.842639,-280214869.905,-278360076.847,-280475518.511,-280456341.957,-278618375.069,4.0,969381713318.0,0.25,103,0.00390578062525,0.125,0.124984980008,1.06825089311e-11
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-280264501.985,627284.337756,-280273028.605,-279490192.203,-281021758.526,-280918522.741,-279598543.961,4.0,393485640394.0,0.25,98,0.0078128560774,0.25,0.125005697238,1.06825089311e-11
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-282074405.321,485581.323837,-282176787.541,-281416087.602,-282527958.602,-282498353.37,-281507122.166,4.0,235789222059.0,0.25,108,0.00781220866395,0.125,0.249990677246,1.06825089311e-11
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-282506466.803,269392.610641,-282511927.547,-282260872.216,-282741139.9,-282740677.511,-282264611.053,4.0,72572378668.2,0.25,92,0.0156255826721,0.25,0.250009322754,1.06825089311e-11
240.0,-225.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-287231859.348,1108052.13041,-287704208.851,-285590397.241,-287928622.451,-287920335.205,-285882094.188,4.0,1227779523700.0,0.125,86,0.00781279133605,0.25,0.250009322754,1.06825089311e-11
240.0,-132.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-303054951.789,1325332.68805,-302513318.85,-302169851.776,-305023317.679,-304663561.984,-302204627.708,4.0,1756506734010.0,0.25,119,0.00781279133605,0.125,0.250009322754,1.06825089311e-11
