npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1368774357.35,3279892.37516,1368774357.35,1371093591.49,1366455123.21,1366687046.62,1370861668.07,2.0,10757693992700.0,1.69457067906e-13,0.00779051704374,0.124645892351,66,0.250004774222,0.25
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1354395975.26,4461622.30319,1354395975.26,1357550818.64,1351241131.87,1351556616.21,1357235334.3,2.0,19906073576300.0,1.69457067906e-13,0.0039060096312,0.25,104,0.124992308198,0.125
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1345509824.21,1329255.45175,1345509824.21,1346449749.76,1344569898.67,1344663891.22,1346355757.2,2.0,1766920056000.0,1.69457067906e-13,0.00781235080557,0.25,109,0.249995225778,0.125
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,117823.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1329889337.92,6533664.35831,1329889337.92,1334509336.3,1325269339.55,1325731339.39,1334047336.46,2.0,42688769947000.0,1.69457067906e-13,0.0156247016111,0.25,82,0.249995225778,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1323407160.95,1686329.8321,1323407160.95,1324599576.21,1322214745.69,1322333987.21,1324480334.68,2.0,2843708302650.0,1.69457067906e-13,0.00781261604011,0.25,98,0.125001856642,0.25
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1312371518.99,9947184.20729,1312371518.99,1319405240.39,1305337797.58,1306041169.72,1318701868.25,2.0,98946473653800.0,1.69457067906e-13,0.00389524199167,0.124645892351,71,0.125001856642,0.25
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1292773110.0,4678028.51019,1292773110.0,1296080975.68,1289465244.32,1289796030.89,1295750189.11,2.0,21883950742200.0,1.69457067906e-13,0.00781268234875,0.25,114,0.25000583516,0.125
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1279940174.3,2635217.08463,1279940174.3,1281803554.17,1278076794.43,1278263132.42,1281617216.19,2.0,6944369083150.0,1.69457067906e-13,0.00781201926239,0.25,77,0.124992308198,0.25
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1272314198.37,2316555.3213,1272314198.37,1273952250.35,1270676146.39,1270839951.59,1273788445.15,2.0,5366428556620.0,1.69457067906e-13,0.0156253646975,0.25,87,0.25000583516,0.25
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1240352023.39,1749008.8185,1240352023.39,1241588759.39,1239115287.4,1239238961.0,1241465085.79,2.0,3059031847190.0,1.69457067906e-13,0.00781264919443,0.25,119,0.250004774222,0.125
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,353469.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1221589151.14,2638556.67567,1221589151.14,1223454892.45,1219723409.82,1219909983.95,1223268318.32,2.0,6961981330700.0,1.69457067906e-13,0.0156252983889,0.25,92,0.250004774222,0.25
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1195928203.24,3383651.70718,1195928203.24,1198320806.31,1193535600.18,1193774860.48,1198081546.0,2.0,11449098875500.0,1.69457067906e-13,0.00390630802006,0.25,124,0.125001856642,0.125
