npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1928796386.79,14982571.6018,1928796386.79,1939390664.77,1918202108.81,1919261536.61,1938331236.97,2.0,224477451804000.0,0.25,118,0.125,0.250005207258,1.17734560967e-13,0.00781266272682
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1914583312.1,60618765.4,1914583312.1,1957447252.18,1871719372.02,1876005766.03,1953160858.17,2.0,3674634718620000.0,0.25,77,0.25,0.124993135887,1.17734560967e-13,0.00781207099292
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1911673874.59,1923613.01546,1911673874.59,1913034074.4,1910313674.78,1910449694.76,1912898054.42,2.0,3700287033250.0,0.125,61,0.25,0.250004260484,1.17734560967e-13,0.00781263314013
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1902984263.92,4733738.93736,1902984263.92,1906331522.82,1899637005.02,1899971730.91,1905996796.93,2.0,22408284327100.0,0.125,66,0.25,0.250005207258,1.17734560967e-13,0.00781266272682
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1877132824.94,34122103.3411,1877132824.94,1901260795.6,1853004854.28,1855417651.35,1898847998.54,2.0,1164317936420000.0,0.25,123,0.125,0.125002603629,1.17734560967e-13,0.00390633136341
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1870011278.36,82641725.6354,1870011278.36,1928447802.96,1811574753.75,1817418406.21,1922604150.5,2.0,6829654816000000.0,0.125,51,0.25,0.124993135887,1.17734560967e-13,0.00390603549646
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1853303455.57,113579155.531,1853303455.57,1933616046.64,1772990864.49,1781022123.6,1925584787.53,2.0,1.29002245711e+16,0.25,92,0.25,0.250005207258,1.17734560967e-13,0.0156253254536
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1821556822.46,57304121.6385,1821556822.46,1862076955.46,1781036689.46,1785088702.76,1858024942.16,2.0,3283762356760000.0,0.25,97,0.25,0.125002603629,1.17734560967e-13,0.00781266272682
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1814387442.32,37141210.8553,1814387442.32,1840650244.38,1788124640.26,1790750920.47,1838023964.17,2.0,1379469543800000.0,0.25,107,0.125,0.249994792742,1.17734560967e-13,0.00781233727318
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1803156293.06,25923794.9439,1803156293.06,1821487184.26,1784825401.86,1786658490.98,1819654095.14,2.0,672043144295000.0,0.125,71,0.25,0.125002603629,1.17734560967e-13,0.00390633136341
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1725861845.06,7398167.02607,1725861845.06,1731093139.13,1720630550.99,1721153680.4,1730570009.73,2.0,54732875345600.0,0.125,86,0.25,0.250004260484,1.17734560967e-13,0.00781263314013
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1722108313.91,35563109.5867,1722108313.91,1747255229.86,1696961397.96,1699476089.55,1744740538.26,2.0,1264734763470000.0,0.125,81,0.25,0.249994792742,1.17734560967e-13,0.00781233727318
