npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1914525392.98,2305141.11666,1914312398.73,1917163604.31,1912313170.12,1912401023.04,1916947954.84,4.0,5313675567720.0,8.47275451554e-14,0.25,0.0156248176534,0.25,0.249997082454,84
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1912623745.27,6989718.90344,1911321853.05,1921313721.05,1906537553.94,1906668266.8,1920401872.86,4.0,48856170349100.0,8.47275451554e-14,0.25,0.007812259634,0.25,0.124996154144,79
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1911176373.03,2965622.2393400003,1911415540.51,1913978442.85,1907895968.24,1908130392.51,1913887519.07,4.0,8794915266490.0,8.47275451554e-14,0.25,0.015625149192700003,0.25,0.250002387083,89
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1896634143.57,3932131.7868699995,1895224563.49,1902419780.29,1893667667.02,1893861860.6,1901379838.66,4.0,15461660389300.0,8.47275451554e-14,0.25,0.0156251823466,0.25,0.250002917546,94
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1891924156.95,2833006.15105,1890780048.87,1896116591.3,1890019938.76,1890080158.55,1895369906.66,4.0,8025923851900.0,8.47275451554e-14,0.12464589235099999,0.00779027735693,0.25,0.249997082454,56
894.0,-350.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1872201702.8,3503514.7602199996,1872235426.48,1876240658.53,1868095299.72,1868513794.77,1875842397.69,4.0,12274615675100.0,8.47275451554e-14,0.25,0.00781259117331,0.25,0.125001458773,99
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1870795218.26,1366209.46325,1871187481.64,1871913161.45,1868892748.32,1869168002.77,1871873265.03,4.0,1866528297460.0,8.47275451554e-14,0.12464589235099999,0.00779044265698,0.25,0.250002387083,61
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1849897705.13,6867227.57845,1849724452.95,1856435061.43,1843706853.17,1843785497.82,1856252465.47,4.0,47158814614200.0,8.47275451554e-14,0.12464589235099999,0.007790459186979999,0.25,0.250002917546,66
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1822918023.24,3059528.01694,1823798990.12,1825361752.01,1818712360.71,1819295651.55,1825307041.3,4.0,9360711686470.0,8.47275451554e-14,0.12464589235099999,0.0038952295934899994,0.25,0.125001458773,71
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1784633034.98,3786563.7511199997,1785691448.09,1787898617.9,1779250625.83,1780103533.53,1787680758.08,4.0,14338065041300.0,8.47275451554e-14,0.12464589235099999,0.00389506429344,0.25,0.124996154144,51
