npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-132091802.882,1699913.67817,-132091802.882,-130889782.393,-133293823.371,-133173621.322,-131009984.442,2.0,2889706513240.0,0.125026522385,0.249990803752,108,1.0406674226900002e-12,0.249333333333,0.00779303321812
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-137206294.553,1792254.41941,-137206294.553,-135938979.299,-138473609.806,-138346878.281,-136065710.825,2.0,3212175903900.0,0.125026522385,0.124986205628,103,1.0406674226900002e-12,0.249333333333,0.00389622993185
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-160105387.84,1595607.1654,-160105387.84,-158977123.193,-161233652.487,-161120826.022,-159089949.658,2.0,2545962226270.0,0.125026522385,0.250009196248,113,1.0406674226900002e-12,0.249333333333,0.00779360657253
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-175373192.685,34722.9834385,-175373192.685,-175348639.828,-175397745.542,-175395290.256,-175351095.113,2.0,1205685578.87,0.25,0.124986205628,79,1.0406674226900002e-12,0.250666666667,0.00783246888603
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-190138030.558,707210.929594,-190138030.558,-189637956.914,-190638104.202,-190588096.838,-189687964.279,2.0,500147298938.0,0.125026522385,0.250009196248,118,1.0406674226900002e-12,0.249333333333,0.00779360657253
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-205534771.397,1068804.08759,-205534771.397,-204779012.779,-206290530.015,-206214954.154,-204854588.641,2.0,1142342177650.0,0.25,0.249990803752,84,1.0406674226900002e-12,0.250666666667,0.0156660903685
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-220952254.551,2672663.37502,-220952254.551,-219062396.154,-222842112.947,-222653127.107,-219251381.994,2.0,7143129516180.0,0.125026522385,0.125004598124,123,1.0406674226900002e-12,0.249333333333,0.00389680328627
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-223662322.898,961982.985925,-223662322.898,-222982098.205,-224342547.59,-224274525.121,-223050120.674,2.0,925411265209.0,0.125026522385,0.249990803752,107,1.0406674226900002e-12,0.249333333333,0.00779303321812
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-235647366.013,1246358.14563,-235647366.013,-234766057.717,-236528674.31,-236440543.48,-234854188.546,2.0,1553408627170.0,0.25,0.250009196248,89,1.0406674226900002e-12,0.250666666667,0.0156672429649
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-236844091.286,2608211.65973,-236844091.286,-234999807.135,-238688375.438,-238503947.023,-235184235.55,2.0,6802768061930.0,0.125026522385,0.124986205628,102,1.0406674226900002e-12,0.249333333333,0.00389622993185
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-254649658.545,1437371.14544,-254649658.545,-253633283.661,-255666033.429,-255564395.941,-253734921.15,2.0,2066035809740.0,0.125026522385,0.250009196248,112,1.0406674226900002e-12,0.249333333333,0.00779360657253
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-264397425.322,779185.108698,-264397425.322,-263846458.247,-264948392.396,-264893295.688,-263901554.955,2.0,607129433616.0,0.25,0.250009196248,94,1.0406674226900002e-12,0.250666666667,0.0156672429649
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-275292429.639,864740.71127,-275292429.639,-274680965.618,-275903893.66,-275842747.258,-274742112.02,2.0,747776497728.0,0.25,0.249990803752,83,1.0406674226900002e-12,0.249333333333,0.0155827601005
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-276929515.803,921314.88109,-276929515.803,-276278047.803,-277580983.803,-277515837.003,-276343194.603,2.0,848821110118.0,0.25,0.124986205628,78,1.0406674226900002e-12,0.249333333333,0.00779080681749
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-281230896.129,828837.084219,-281230896.129,-280644819.807,-281816972.452,-281758364.82,-280703427.439,2.0,686970912177.0,0.125026522385,0.250009196248,117,1.0406674226900002e-12,0.249333333333,0.00779360657253
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-292584371.028,1071397.49145,-292584371.028,-291826778.596,-293341963.459,-293266204.216,-291902537.839,2.0,1147892584690.0,0.25,0.125004598124,99,1.0406674226900002e-12,0.250666666667,0.00783362148244
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-304895250.247,298307.701112,-304895250.247,-304684314.848,-305106185.645,-305085092.105,-304705408.388,2.0,88987484543.0,0.25,0.250009196248,88,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-313277072.364,6317.21703494,-313277072.364,-313272605.417,-313281539.311,-313281092.616,-313273052.111,2.0,39907231.0665,0.125026522385,0.125004598124,122,1.0406674226900002e-12,0.249333333333,0.00389680328627
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-315672362.367,1106413.22437,-315672362.367,-314890010.073,-316454714.66,-316376479.431,-314968245.302,2.0,1224150223070.0,0.125026522385,0.249990803752,106,1.0406674226900002e-12,0.125333333333,0.00391735359627
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-334027219.817,302452.849671,-334027219.817,-333813353.356,-334241086.278,-334219699.632,-333834740.002,2.0,91477726273.9,0.25,0.250009196248,93,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-336018419.249,357298.143058,-336018419.249,-335765771.309,-336271067.189,-336245802.395,-335791036.103,2.0,127661963033.0,0.125026522385,0.124986205628,101,1.0406674226900002e-12,0.125333333333,0.00195853269302
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-345464753.083,211620.443933,-345464753.083,-345315114.832,-345614391.333,-345599427.508,-345330078.657,2.0,44783212290.3,0.125026522385,0.250009196248,111,1.0406674226900002e-12,0.125333333333,0.00391764180651
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-356680649.207,1824460.20277,-356680649.207,-355390561.025,-357970737.388,-357841728.57,-355519569.843,2.0,3328655031490.0,0.25,0.249990803752,82,1.0406674226900002e-12,0.249333333333,0.0155827601005
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-365295490.841,1240784.44021,-365295490.841,-364418123.749,-366172857.933,-366085121.223,-364505860.458,2.0,1539546027080.0,0.25,0.125004598124,98,1.0406674226900002e-12,0.249333333333,0.00779195328306
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-376093611.618,2028670.61596,-376093611.618,-374659124.869,-377528098.368,-377384649.693,-374802573.544,2.0,4115504468070.0,0.25,0.124986205628,77,1.0406674226900002e-12,0.249333333333,0.00779080681749
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-377246761.006,660643.883023,-377246761.006,-376779615.237,-377713906.776,-377667192.199,-376826329.813,2.0,436450340175.0,0.125026522385,0.250009196248,116,1.0406674226900002e-12,0.125333333333,0.00391764180651
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-388127373.581,349579.689613,-388127373.581,-387880183.412,-388374563.75,-388349844.733,-387904902.429,2.0,122205959390.0,0.25,0.250009196248,87,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-405212556.96,2616250.29264,-405212556.96,-403362588.637,-407062525.283,-406877528.451,-403547585.469,2.0,6844765593760.0,0.125026522385,0.125004598124,121,1.0406674226900002e-12,0.125333333333,0.00195882090326
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-410578744.287,48271.9249773,-410578744.287,-410544610.881,-410612877.692,-410609464.352,-410548024.222,2.0,2330178741.02,0.25,0.124986205628,53,1.0406674226900002e-12,0.249333333333,0.00779080681749
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-417886006.921,41232.1352054,-417886006.921,-417856851.398,-417915162.443,-417912246.891,-417859766.95,2.0,1700088973.59,0.25,0.250009196248,92,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440487057.657,436232.160388,-440487057.657,-440178594.939,-440795520.376,-440764674.104,-440209441.21,2.0,190298497757.0,0.25,0.249990803752,58,1.0406674226900002e-12,0.249333333333,0.0155827601005
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-445150034.109,351950.23039,-445150034.109,-444901167.714,-445398900.503,-445374013.864,-444926054.354,2.0,123868964671.0,0.25,0.249990803752,81,1.0406674226900002e-12,0.125333333333,0.00783304518423
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-445450615.567,531785.84262,-445450615.567,-445074586.192,-445826644.943,-445789042.005,-445112189.129,2.0,282796182411.0,0.25,0.125004598124,97,1.0406674226900002e-12,0.249333333333,0.00779195328306
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-469626498.341,244126.507882,-469626498.341,-469453874.831,-469799121.85,-469781859.499,-469471137.182,2.0,59597751850.8,0.25,0.250009196248,63,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-475264752.432,201288.247424,-475264752.432,-475122420.147,-475407084.716,-475392851.488,-475136653.375,2.0,40516958551.0,0.25,0.124986205628,76,1.0406674226900002e-12,0.125333333333,0.00391623444301
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-475635015.066,1878893.93461,-475635015.066,-474306436.424,-476963593.708,-476830735.844,-474439294.288,2.0,3530242417530.0,0.25,0.250009196248,86,1.0406674226900002e-12,0.125333333333,0.00783362148244
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-499853113.715,184762.491862,-499853113.715,-499722466.904,-499983760.526,-499970695.845,-499735531.586,2.0,34137178399.0,0.25,0.250009196248,68,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-506270243.118,132276.756979,-506270243.118,-506176709.326,-506363776.91,-506354423.531,-506186062.705,2.0,17497140436.9,0.25,0.250009196248,91,1.0406674226900002e-12,0.125333333333,0.00783362148244
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-507509657.694,1139413.37241,-507509657.694,-506703970.772,-508315344.616,-508234775.924,-506784539.464,2.0,1298262833220.0,0.25,0.249990803752,57,1.0406674226900002e-12,0.249333333333,0.0155827601005
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-509842078.185,855139.594114,-509842078.185,-509237403.179,-510446753.191,-510386285.69,-509297870.68,2.0,731263725422.0,0.25,0.124986205628,52,1.0406674226900002e-12,0.249333333333,0.00779080681749
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-528160020.839,289272.696807,-528160020.839,-527955474.154,-528364567.525,-528344112.856,-527975928.822,2.0,83678693118.2,0.25,0.125004598124,73,1.0406674226900002e-12,0.249333333333,0.00779195328306
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-533930389.483,331927.261764,-533930389.483,-533695681.466,-534165097.501,-534141626.699,-533719152.267,2.0,110175707102.0,0.25,0.125004598124,96,1.0406674226900002e-12,0.125333333333,0.00391681074122
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-536545704.049,65536.9115656,-536545704.049,-536499362.455,-536592045.644,-536587411.484,-536503996.614,2.0,4295086777.55,0.25,0.250009196248,62,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-564986791.938,241481.113584,-564986791.938,-564816039.005,-565157544.871,-565140469.577,-564833114.298,2.0,58313128218.0,0.25,0.250009196248,67,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-584367336.499,1051083.68521,-584367336.499,-583624108.097,-585110564.9,-585036242.06,-583698430.937,2.0,1104776913320.0,0.25,0.249990803752,56,1.0406674226900002e-12,0.125333333333,0.00783304518423
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-595314274.173,318349.024155,-595314274.173,-595089167.419,-595539380.927,-595516870.251,-595111678.095,2.0,101346101180.0,0.25,0.125004598124,72,1.0406674226900002e-12,0.249333333333,0.00779195328306
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-609252261.35,669079.906954,-609252261.35,-608779150.41,-609725372.289,-609678061.195,-608826461.504,2.0,447667921890.0,0.25,0.124986205628,51,1.0406674226900002e-12,0.125333333333,0.00391623444301
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-613672952.344,1942113.34266,-613672952.344,-612299670.83,-615046233.859,-614908905.707,-612436998.981,2.0,3771804235720.0,0.25,0.250009196248,61,1.0406674226900002e-12,0.125333333333,0.00783362148244
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-644161392.081,504.341778124,-644161392.081,-644161035.458,-644161748.705,-644161713.042,-644161071.12,2.0,254360.629161,0.25,0.250009196248,66,1.0406674226900002e-12,0.125333333333,0.00783362148244
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-673251255.046,2010695.89583,-673251255.046,-671829478.343,-674673031.749,-674530854.079,-671971656.013,2.0,4042897985500.0,0.25,0.125004598124,71,1.0406674226900002e-12,0.125333333333,0.00391681074122
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-734209745.333,499709.105981,-734209745.333,-733856397.636,-734563093.031,-734527758.261,-733891732.406,2.0,249709190601.0,0.25,0.249990803752,31,1.0406674226900002e-12,0.125333333333,0.00783304518423
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-740509848.415,311618.854859,-740509848.415,-740289500.61,-740730196.221,-740708161.44,-740311535.39,2.0,97106310703.9,0.25,0.124986205628,26,1.0406674226900002e-12,0.125333333333,0.00391623444301
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-764512905.43,739688.411226,-764512905.43,-763989866.739,-765035944.122,-764983640.253,-764042170.608,2.0,547138945703.0,0.25,0.250009196248,36,1.0406674226900002e-12,0.125333333333,0.00783362148244
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-793925962.976,745505.045883,-793925962.976,-793398811.302,-794453114.649,-794400399.482,-793451526.47,2.0,555777773437.0,0.25,0.250009196248,41,1.0406674226900002e-12,0.125333333333,0.00783362148244
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-823673628.772,1027829.10938,-823673628.772,-822946843.839,-824400413.705,-824327735.212,-823019522.332,2.0,1056432678090.0,0.25,0.125004598124,46,1.0406674226900002e-12,0.125333333333,0.00391681074122
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-111943355147.0,234.760756895,-111943355147.0,-111943354981.0,-111943355313.0,-111943355296.0,-111943354997.0,2.0,55112.6129778,0.124973477615,0.124986205628,1,1.0406674226900002e-12,0.125333333333,0.00195770175
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-111972880879.0,678.399644202,-111972880879.0,-111972880399.0,-111972881358.0,-111972881310.0,-111972880447.0,2.0,460226.077253,0.124973477615,0.249990803752,6,1.0406674226900002e-12,0.125333333333,0.00391569158796
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-112002411077.0,702.661900364,-112002411077.0,-112002410580.0,-112002411574.0,-112002411524.0,-112002410630.0,2.0,493733.746223,0.124973477615,0.250009196248,11,1.0406674226900002e-12,0.125333333333,0.00391597967592
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-112031940298.0,211.183564374,-112031940298.0,-112031940149.0,-112031940447.0,-112031940432.0,-112031940164.0,2.0,44598.4978619,0.124973477615,0.250009196248,16,1.0406674226900002e-12,0.125333333333,0.00391597967592
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-112061470487.0,445.696268521,-112061470487.0,-112061470172.0,-112061470802.0,-112061470771.0,-112061470204.0,2.0,198645.163774,0.124973477615,0.125004598124,21,1.0406674226900002e-12,0.125333333333,0.00195798983796
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-442275145704.0,145631.193108,-442275145704.0,-442275042727.0,-442275248680.0,-442275238383.0,-442275053024.0,2.0,21208444406.2,0.25,0.124986205628,27,1.0406674226900002e-12,0.249333333333,0.00779080681749
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-442304113906.0,84760.286032,-442304113906.0,-442304053971.0,-442304173840.0,-442304167847.0,-442304059964.0,2.0,7184306088.23,0.25,0.249990803752,32,1.0406674226900002e-12,0.249333333333,0.0155827601005
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-442333759175.0,84649.03281,-442333759175.0,-442333699319.0,-442333819030.0,-442333813045.0,-442333705304.0,2.0,7165458755.67,0.25,0.250009196248,37,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-442363510685.0,371277.586014,-442363510685.0,-442363248152.0,-442363773218.0,-442363746965.0,-442363274405.0,2.0,137847045877.0,0.25,0.250009196248,42,1.0406674226900002e-12,0.249333333333,0.0155839065661
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-442392979066.0,268524.891501,-442392979066.0,-442392789191.0,-442393168942.0,-442393149955.0,-442392808178.0,2.0,72105617355.8,0.25,0.125004598124,47,1.0406674226900002e-12,0.249333333333,0.00779195328306
