npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1139314219.58,59290863.2045,1139314219.58,1181239191.01,1097389248.14,1101581745.29,1177046693.87,2.0,3515406459540000.0,110,0.124987287705,0.125002383522,1.21200144652e-13,0.00390592721826,0.25
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1138004356.06,57854677.554,1138004356.06,1178913790.88,1097094921.24,1101185864.72,1174822847.4,2.0,3347163714880000.0,14,0.25,0.124992849434,1.21200144652e-13,0.00781205308962,0.25
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1084224813.9,19497665.4839,1084224813.9,1098011745.38,1070437882.42,1071816575.57,1096633052.23,2.0,380158959321000.0,30,0.124987287705,0.249995232956,1.21200144652e-13,0.00390577826328,0.125
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1075096027.58,42317178.8663,1075096027.58,1105018791.72,1045173263.45,1048165539.86,1102026515.31,2.0,1790743627200000.0,85,0.124987287705,0.250004767044,1.21200144652e-13,0.00781185443652,0.25
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1044627214.43,79709225.9866,1044627214.43,1100990148.65,988264280.215,993900573.637,1095353855.23,2.0,6353560707380000.0,59,0.25,0.250004767044,1.21200144652e-13,0.0156252979403,0.25
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1032720087.7,43839445.4747,1032720087.7,1063719256.87,1001720918.52,1004820835.43,1060619339.96,2.0,1921896979530000.0,5,0.124987287705,0.124992849434,1.21200144652e-13,0.00195281465415,0.125
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1024143404.87,15284683.5992,1024143404.87,1034951308.29,1013335501.45,1014416291.79,1033870517.95,2.0,233621552727000.0,55,0.124987287705,0.250004767044,1.21200144652e-13,0.00390592721826,0.125
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1022856639.19,13492571.4571,1022856639.19,1032397327.96,1013315950.41,1014270019.29,1031443259.08,2.0,182049484526000.0,114,0.25,0.125002383522,1.21200144652e-13,0.00781264897013,0.25
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,994158574.59,33002768.5917,994158574.59,1017495056.06,970822093.121,973155741.268,1015161407.91,2.0,1089182734720000.0,9,0.25,0.124992849434,1.21200144652e-13,0.00781205308962,0.25
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,980812322.108,44484397.3643,980812322.108,1012267541.14,949357103.075,952502624.978,1009122019.24,2.0,1978861608860000.0,34,0.25,0.249995232956,1.21200144652e-13,0.0156247020597,0.25
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,924707409.688,15682158.814,924707409.688,935796370.529,913618448.847,914727344.931,934687474.445,2.0,245930105069000.0,13,0.250025424591,0.124992849434,1.21200144652e-13,0.00781284756262,0.25
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,889261326.815,20725844.4461,889261326.815,903916711.969,874605941.662,876071480.177,902451173.454,2.0,429560628003000.0,109,0.25,0.125002383522,1.21200144652e-13,0.00781264897013,0.25
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,887956982.563,45008835.5626,887956982.563,919783035.403,856130929.723,859313535.007,916600430.119,2.0,2025795278700000.0,84,0.25,0.250004767044,1.21200144652e-13,0.0156252979403,0.25
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,880967979.651,22898855.3224,880967979.651,897159915.531,864776043.771,866395237.359,895540721.943,2.0,524357575076000.0,38,0.250025424591,0.249995232956,1.21200144652e-13,0.0156262910664,0.25
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,834541356.171,123135614.984,834541356.171,921611384.532,747471327.81,756178330.646,912904381.696,2.0,1.51623796776e+16,54,0.25,0.250004767044,1.21200144652e-13,0.00781264897013,0.125
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,831170523.455,17380079.5174,831170523.455,843460095.539,818880951.37,820109908.579,842231138.33,2.0,302067164033000.0,80,0.124987287705,0.250004767044,1.21200144652e-13,0.00390592721826,0.125
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,830112038.84,80181789.2347,830112038.84,886809125.735,773414951.944,779084660.634,881139417.046,2.0,6429119324880000.0,105,0.124987287705,0.125002383522,1.21200144652e-13,0.00195296360913,0.125
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,818845835.024,76592741.6091,818845835.024,873005082.006,764686588.043,770102512.741,867589157.308,2.0,5866448067190000.0,29,0.25,0.249995232956,1.21200144652e-13,0.00781235102987,0.125
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,797350476.4,22408225.8466,797350476.4,813195484.851,781505467.95,783089968.795,811610984.006,2.0,502128585594000.0,33,0.250025424591,0.249995232956,1.21200144652e-13,0.0156262910664,0.25
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,795284038.391,34484636.0072,795284038.391,819668358.359,770899718.424,773338150.421,817229926.362,2.0,1189190120550000.0,4,0.25,0.124992849434,1.21200144652e-13,0.00390602654481,0.125
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,784695219.664,61128771.5359,784695219.664,827919788.542,741470650.785,745793107.673,823597331.655,2.0,3736726709490000.0,63,0.250025424591,0.250004767044,1.21200144652e-13,0.0156268870075,0.25
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,782969372.941,48289880.5054,782969372.941,817115474.909,748823270.973,752237881.17,813700864.713,2.0,2331912559220000.0,88,0.250025424591,0.250004767044,1.21200144652e-13,0.0156268870075,0.25
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,763734098.649,31023604.6732,763734098.649,785671099.891,741797097.408,743990797.532,783477399.766,2.0,962464046919000.0,79,0.25,0.250004767044,1.21200144652e-13,0.00781264897013,0.125
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,756292895.307,3717516.25162,756292895.307,758921576.257,753664214.356,753927082.451,758658708.162,2.0,13819927081100.0,58,0.250025424591,0.250004767044,1.21200144652e-13,0.0156268870075,0.25
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,738667481.446,28526999.581,738667481.446,758839116.297,718495846.595,720513010.081,756821952.812,2.0,813789705096000.0,8,0.250025424591,0.124992849434,1.21200144652e-13,0.00781284756262,0.25
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,731273106.613,51132260.2923,731273106.613,767429074.603,695117138.623,698732735.422,763813477.804,2.0,2614508042600000.0,83,0.250025424591,0.250004767044,1.21200144652e-13,0.0156268870075,0.25
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,709916492.017,56128654.3446,709916492.017,749605444.123,670227539.911,674196435.122,745636548.913,2.0,3150425838540000.0,113,0.250025424591,0.125002383522,1.21200144652e-13,0.00781344350374,0.25
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,645822076.545,7677856.26264,645822076.545,651251140.773,640393012.316,640935918.739,650708234.35,2.0,58949476789700.0,104,0.25,0.125002383522,1.21200144652e-13,0.00390632448506,0.125
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,634631578.775,54112620.5586,634631578.775,672894979.719,596368177.83,600194517.924,669068639.625,2.0,2928175703720000.0,28,0.250025424591,0.249995232956,1.21200144652e-13,0.00781314553318,0.125
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,619577136.395,5236677.53018,619577136.395,623280026.587,615874246.202,616244535.222,622909737.568,2.0,27422791555100.0,108,0.250025424591,0.125002383522,1.21200144652e-13,0.00781344350374,0.25
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,609775645.781,35537657.7658,609775645.781,634904564.575,584646726.988,587159618.867,632391672.696,2.0,1262925119480000.0,53,0.250025424591,0.250004767044,1.21200144652e-13,0.00781344350374,0.125
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,558377716.44,69682741.8605,558377716.44,607650855.742,509104577.139,514031891.069,602723541.811,2.0,4855684513200000.0,78,0.250025424591,0.250004767044,1.21200144652e-13,0.00781344350374,0.125
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,546626868.033,17537979.6405,546626868.033,559028092.365,534225643.7,535465766.134,557787969.931,2.0,307580729871000.0,3,0.250025424591,0.124992849434,1.21200144652e-13,0.00390642378131,0.125
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,528295082.848,11731011.204,528295082.848,536590160.421,520000005.276,520829513.033,535760652.663,2.0,137616623868000.0,103,0.250025424591,0.125002383522,1.21200144652e-13,0.00390672175187,0.125
