smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix,PointProbability
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1230160395.17,47630728.4096,-1230160395.17,-1196480384.12,-1263840406.22,-1260472405.11,-1199848385.22,2.0,2268686288830000.0,0.25,0.250000633118,0.0156250395699,0.25,94,1.7495628323699997e-14
1200.0,-147.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1236282886.19,14106517.3541,-1236282886.19,-1226308072.11,-1246257700.27,-1245260218.86,-1227305553.52,2.0,198993831862000.0,0.125,0.250000633118,0.00390625989247,0.125,75,1.7495628323699997e-14
1200.0,-747.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1329002192.92,24426340.6442,-1329002192.92,-1311730161.81,-1346274224.03,-1344547020.92,-1313457364.92,2.0,596646117265000.0,0.25,0.125000386905,0.00781252418158,0.25,108,1.7495628323699997e-14
1200.0,-547.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1383975533.49,9323954.68862,-1383975533.49,-1377382501.9,-1390568565.08,-1389909261.92,-1378041805.06,2.0,86936131035500.0,0.25,0.250000633118,0.0156250395699,0.25,89,1.7495628323699997e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1403982236.93,37936650.2682,-1403982236.93,-1377156974.27,-1430807499.59,-1428124973.32,-1379839500.54,2.0,1439189433570000.0,0.25,0.249999366882,0.00781248021507,0.125,40,1.7495628323699997e-14
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1420593365.62,5583048.31627,-1420593365.62,-1416645554.29,-1424541176.94,-1424146395.81,-1417040335.43,2.0,31170428501800.0,0.125,0.124998979977,0.00195310906214,0.125,5,1.7495628323699997e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1437896707.51,44210763.7141,-1437896707.51,-1406634976.68,-1469158438.33,-1466032265.25,-1409761149.77,2.0,1954591628180000.0,0.125,0.250000633118,0.00781251978493,0.25,54,1.7495628323699997e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1776926.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1495171759.1,101484731.851,-1495171759.1,-1423411217.02,-1566932301.18,-1559756246.97,-1430587271.23,2.0,1.02991507988e+16,0.25,0.250000633118,0.00781251978493,0.125,70,1.7495628323699997e-14
1200.0,-947.0,-13746.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1521418848.43,12934419.1297,-1521418848.43,-1512272832.96,-1530564863.91,-1529650262.36,-1513187434.5,2.0,167299198222000.0,0.125,0.125000386905,0.00390626209079,0.25,103,1.7495628323699997e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,2665388.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1583167889.59,19046260.6043,-1583167889.59,-1569700149.56,-1596635629.62,-1595288855.62,-1571046923.56,2.0,362760043005000.0,0.25,0.250000633118,0.0156250395699,0.25,84,1.7495628323699997e-14
1200.0,-347.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,3553851.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1587559620.31,5505226.88828,-1587559620.31,-1583666837.04,-1591452403.57,-1591063125.24,-1584056115.37,2.0,30307523091400.0,0.25,0.125000386905,0.00781252418158,0.25,119,1.7495628323699997e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,888463.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1601993522.85,77948550.3439,-1601993522.85,-1546875574.32,-1657111471.38,-1651599676.53,-1552387369.17,2.0,6075976500710000.0,0.25,0.249999366882,0.00781248021507,0.125,35,1.7495628323699997e-14
