npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,798346771.1,30883316.4197,810693402.9,819238457.573,752761821.025,760764099.71,818644157.969,4.0,953779233076000.0,0.125,0.00391280129954,0.125210084034,0.249999116588,3.9741070500699994e-14,110
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,785248942.966,13882412.9464,782380260.936,803709569.746,772525680.247,773188956.272,801325084.503,4.0,192721389213000.0,0.25,0.00782565790513,0.125210084034,0.250000883412,3.9741070500699994e-14,61
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,760552913.559,38109198.7436,772265852.221,791713317.771,705966632.024,714693304.942,790014408.049,4.0,1452311028880000.0,0.125,0.00389964628962,0.249579831933,0.124998763223,3.9741070500699994e-14,103
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,748688668.643,15962664.8011,745402297.332,770929875.47,733020204.436,734704937.58,767273319.539,4.0,254806667551000.0,0.25,0.0156513158103,0.250420168067,0.250000883412,3.9741070500699994e-14,89
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,706535461.308,21582851.7234,710923588.263,727490313.782,676804354.922,681286705.128,725640839.749,4.0,465819488515000.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,68
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,696932055.63,9180380.2098,698204197.862,705056959.584,686262867.212,687168204.063,704914908.072,4.0,84279380796400.0,0.25,0.00782560259907,0.125210084034,0.249999116588,3.9741070500699994e-14,81
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,690551928.641,7684008.40553,690964127.441,699105691.856,681173767.825,682222383.722,698304395.239,4.0,59043985176300.0,0.125,0.00782560259907,0.250420168067,0.249999116588,3.9741070500699994e-14,109
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,683619567.307,9776238.07665,682422563.552,694983672.505,674649469.62,674901458.973,694013480.899,4.0,95574830931200.0,0.25,0.00779939179609,0.249579831933,0.125000353365,3.9741070500699994e-14,47
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,643443672.615,15756928.711,645425726.887,658156817.19,624766419.495,626475612.266,657636856.983,4.0,248280802404000.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,88
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,629636360.706,3760788.42389,629812707.542,633457351.353,625462676.386,625773971.744,633251864.097,4.0,14143529569200.0,0.125,0.00389964628962,0.249579831933,0.124998763223,3.9741070500699994e-14,102
