npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,445911210.61,248296.951665,445911210.61,446086783.068,445735638.152,445753195.398,446069225.822,2.0,61651376206.3,119,0.00779195129376,0.12500456621,0.249333333333,1.0563053673200001e-12,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,441851157.469,3002058.13915,441851157.469,443973933.137,439728381.802,439940659.368,443761655.57,2.0,9012353070810.0,50,0.00391567420506,0.24999086758,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,428758106.987,515102.013538,428758106.987,429122339.114,428393874.86,428430298.073,429085915.901,2.0,265330084351.0,64,0.0155839025875,0.25000913242,0.249333333333,1.0563053673200001e-12,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,427080936.088,2523058.94538,427080936.088,428865008.177,425296863.998,425475271.207,428686600.968,2.0,6365826441860.0,78,0.0078336194825,0.25000913242,0.125333333333,1.0563053673200001e-12,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,412752930.248,1037007.62247,412752930.248,413486205.37,412019655.126,412092982.638,413412877.858,2.0,1075384809050.0,75,0.00391596029216,0.25000913242,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,401721479.41,635790.685716,401721479.41,402171051.315,401271907.505,401316864.695,402126094.125,2.0,404229796043.0,89,0.0155839025875,0.25000913242,0.249333333333,1.0563053673200001e-12,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,398485698.283,927557.111284,398485698.283,399141580.206,397829816.359,397895404.552,399075992.014,2.0,860362194694.0,103,0.00391680974125,0.12500456621,0.125333333333,1.0563053673200001e-12,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,385806385.947,34707.3969934,385806385.947,385830927.783,385781844.111,385784298.295,385828473.599,2.0,1204603406.06,100,0.00391596029216,0.25000913242,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,375769590.667,373521.023407,375769590.667,376033709.915,375505471.418,375531883.343,376007297.99,2.0,139517954927.0,114,0.00779195129376,0.12500456621,0.249333333333,1.0563053673200001e-12,0.25
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,373237314.549,969122.401962,373237314.549,373922587.571,372552041.526,372620568.829,373854060.269,2.0,939198229984.0,34,0.0156660943683,0.24999086758,0.250666666667,1.0563053673200001e-12,0.25
