npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1620038909.08,11459651.8269,1620038909.08,1628142106.59,1611935711.56,1612746031.31,1627331786.84,2.0,131323619993000.0,0.25,0.00781266272682,1.17734560967e-13,97,0.125002603629,0.25
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1570481538.59,22107536.9838,1570481538.59,1586113927.91,1554849149.27,1556412388.21,1584550688.98,2.0,488743191489000.0,0.125,0.00390633136341,1.17734560967e-13,124,0.125002603629,0.25
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1554952868.15,4933382.17019,1554952868.15,1558441296.14,1551464440.16,1551813282.96,1558092453.34,2.0,24338259637100.0,0.25,0.00390603549646,1.17734560967e-13,76,0.124993135887,0.125
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1554389478.04,7371609.68283,1554389478.04,1559601993.23,1549176962.84,1549698214.36,1559080741.71,2.0,54340629316100.0,0.125,0.00390603549646,1.17734560967e-13,103,0.124993135887,0.25
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1547712390.07,5213544.16702,1547712390.07,1551398922.5,1544025857.63,1544394510.88,1551030269.26,2.0,27181042781400.0,0.25,0.00781263314013,1.17734560967e-13,86,0.250004260484,0.125
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1541548416.08,13823269.575,1541548416.08,1551322943.73,1531773888.42,1532751341.19,1550345490.97,2.0,191082781743000.0,0.125,0.00781233727318,1.17734560967e-13,108,0.249994792742,0.25
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1511342977.7,9843096.28045,1511342977.7,1518303097.83,1504382857.57,1505078869.59,1517607085.82,2.0,96886544386200.0,0.125,0.00781263314013,1.17734560967e-13,113,0.250004260484,0.25
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1498005074.51,4257432.51797,1498005074.51,1501015533.92,1494994615.11,1495295661.05,1500714487.98,2.0,18125731645100.0,0.25,0.00781266272682,1.17734560967e-13,91,0.250005207258,0.125
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1447434891.32,2941168.84339,1447434891.32,1449514611.75,1445355170.89,1445563142.93,1449306639.71,2.0,8650474165310.0,0.25,0.00390633136341,1.17734560967e-13,96,0.125002603629,0.125
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1433295387.22,4297842.1085,1433295387.22,1436334420.51,1430256353.92,1430560257.25,1436030517.18,2.0,18471446789600.0,0.125,0.00781266272682,1.17734560967e-13,118,0.250005207258,0.25
