npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58957.0,ref,cooper,nebraska,covid,1764062732.09,1892935.90582,1763987496.71,1766026427.83,1762249507.1,1762309115.66,1765921678.05,4.0,3.58320634356e+12,271,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,58957.0,ref,cooper,nebraska,covid,1835063092.06,6050021.10631,1836892495.36,1839937843.79,1826529533.71,1827812938.07,1839752081.41,4.0,3.66027553868e+13,273,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67380.0,ref,cooper,nebraska,covid,1760136792.49,8761384.2149,1763129423.79,1766473807.28,1747814515.09,1749632952.91,1766450948.24,4.0,7.67618533612e+13,281,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67380.0,ref,cooper,nebraska,covid,1839343531.53,724574.757583,1839178954.82,1840306977.08,1838709239.4,1838733427.01,1840184043.45,4.0,525008579327.0,283,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67380.0,ref,cooper,nebraska,covid,1803413749.21,4073187.76643,1803397329.63,1808023755.16,1798836582.42,1799228879.42,1807621606.41,4.0,1.65908585806e+13,282,1.17308946207e-12,0.111360239163,0.00137500823064,0.111126504117,0.111111111111
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75802.0,ref,cooper,nebraska,covid,1758545285.53,11776127.5555,1760636564.35,1768853798.61,1744054214.8,1745529605.86,1768633174.85,4.0,1.38677180203e+14,291,1.17308946207e-12,0.0553064275037,0.000341424727057,0.0555599535571,0.111111111111
769.0,-680.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75802.0,ref,cooper,nebraska,covid,1800290293.01,5250952.5446,1798371970.31,1807986889.34,1796430342.08,1796604395.72,1806661842.09,4.0,2.75725026256e+13,292,1.17308946207e-12,0.111360239163,0.000687463301778,0.0555599535571,0.111111111111
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,75802.0,ref,cooper,nebraska,covid,1837609592.0,6724902.68964,1839981116.33,1842484470.2,1827991665.15,1829487176.8,1842411873.15,4.0,4.52243161851e+13,293,1.17308946207e-12,0.111360239163,0.000687463301778,0.0555599535571,0.111111111111
769.0,-754.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1496320873.41,9297304.31323,1497016012.32,1506719424.45,1484532044.56,1486048933.82,1505619618.53,4.0,8.64398674929e+13,301,1.17308946207e-12,0.0553064275037,0.000341019330801,0.0554939835339,0.111111111111
769.0,-680.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1561057859.01,5964910.75857,1562656496.46,1565848483.19,1553069959.91,1554098896.89,1565778728.69,4.0,3.55801603577e+13,302,1.17308946207e-12,0.111360239163,0.000686647030937,0.0554939835339,0.111111111111
769.0,-605.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,cooper,nebraska,covid,1637790810.12,2585375.04644,1638972437.09,1639295814.19,1633922552.08,1634661194.96,1639266147.5,4.0,6.68416413078e+12,303,1.17308946207e-12,0.111360239163,0.000686647030937,0.0554939835339,0.111111111111
769.0,-754.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8422.0,ref,cooper,nebraska,covid,1534703690.79,9333781.16332,1535356686.29,1544697662.39,1523403728.19,1524587951.07,1543905236.81,4.0,8.71194708048e+13,311,1.17308946207e-12,0.0553064275037,0.000682484597484,0.111060534093,0.111111111111
769.0,-680.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8422.0,ref,cooper,nebraska,covid,1604246196.79,3722382.96919,1603869814.9,1608952967.12,1600292190.23,1600630481.3,1608388846.91,4.0,1.38561349693e+13,312,1.17308946207e-12,0.111360239163,0.0013741919598,0.111060534093,0.111111111111
769.0,-605.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8422.0,ref,cooper,nebraska,covid,1654052704.86,1650460.07956,1654352201.02,1655512946.22,1651993471.17,1652212284.34,1655473830.74,4.0,2.72401847422e+12,313,1.17308946207e-12,0.111360239163,0.0013741919598,0.111060534093,0.111111111111
769.0,-531.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8422.0,ref,cooper,nebraska,covid,1698332361.22,7861307.64116,1697867435.36,1706664484.16,1690930089.99,1691143987.18,1706171631.46,4.0,6.1800157829e+13,314,1.17308946207e-12,0.110612855007,0.00136496919497,0.111060534093,0.111111111111
769.0,-754.0,-13347.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,16845.0,ref,cooper,nebraska,covid,1556376740.68,10502624.5402,1559829580.01,1564759100.74,1541088701.96,1543713595.53,1564205910.77,4.0,1.10305122232e+14,321,1.17308946207e-12,0.0553064275037,0.000682889993741,0.111126504117,0.111111111111
