smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-174908938.123,1796559.78087,-174908938.123,-173638578.519,-176179297.727,-176052261.766,-173765614.479,2.0,3227627046240.0,69,1.83230531396e-13,0.250003495741,0.0155968605555,0.249546279492,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-188038318.405,289982.636331,-188038318.405,-187833269.716,-188243367.093,-188222862.224,-187853774.585,2.0,84089929373.7,14,1.83230531396e-13,0.124995105963,0.00779801591193,0.249546279492,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-199570967.1,3396326.16495,-199570967.1,-197169401.838,-201972532.363,-201732375.837,-197409558.364,2.0,11535031418700.0,25,1.83230531396e-13,0.124995105963,0.00195687562387,0.125226860254,0.125018050542
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-202701337.987,262626.287597,-202701337.987,-202515633.158,-202887042.815,-202868472.333,-202534203.641,2.0,68972566937.1,53,1.83230531396e-13,0.250003495741,0.00782565798392,0.125226860254,0.249963898917
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-211871334.169,1417308.77302,-211871334.169,-210869145.524,-212873522.813,-212773303.949,-210969364.389,2.0,2008764158080.0,39,1.83230531396e-13,0.249996504259,0.015596424381,0.249546279492,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-226065124.972,4103405.25465,-226065124.972,-223163579.29,-228966670.653,-228676516.085,-223453733.858,2.0,16837934683900.0,108,1.83230531396e-13,0.125001398296,0.00782563609905,0.250453720508,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-244940458.897,6401823.7668,-244940458.897,-240413685.899,-249467231.894,-249014554.594,-240866363.199,2.0,40983347541100.0,94,1.83230531396e-13,0.250003495741,0.0155968605555,0.249546279492,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-265062446.511,4737597.81815,-265062446.511,-261712458.968,-268412434.055,-268077435.301,-262047457.722,2.0,22444833086500.0,50,1.83230531396e-13,0.249996504259,0.00391384975812,0.125226860254,0.125018050542
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-283040291.111,2972965.06254,-283040291.111,-280938087.355,-285142494.867,-284932274.491,-281148307.731,2.0,8838521263060.0,78,1.83230531396e-13,0.250003495741,0.00782565798392,0.125226860254,0.249963898917
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-286616241.043,972042.88264,-286616241.043,-285928902.929,-287303579.157,-287234845.345,-285997636.74,2.0,944867365691.0,64,1.83230531396e-13,0.250003495741,0.0155968605555,0.249546279492,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-319956665.479,1767035.35589,-319956665.479,-318707182.796,-321206148.161,-321081199.893,-318832131.064,2.0,3122413948960.0,119,1.83230531396e-13,0.125001398296,0.00779840846903,0.249546279492,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-342322116.654,3340639.83195,-342322116.654,-339959927.575,-344684305.733,-344448086.825,-340196146.483,2.0,11159874486800.0,75,1.83230531396e-13,0.250003495741,0.00391395921408,0.125226860254,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-349114012.9,4074291.61989,-349114012.9,-346233053.667,-351994972.133,-351706876.21,-346521149.59,2.0,16599852203900.0,34,1.83230531396e-13,0.249996504259,0.0156531386514,0.250453720508,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-349245789.158,2814966.43624,-349245789.158,-347255307.302,-351236271.014,-351037222.829,-347454355.488,2.0,7924036037180.0,9,1.83230531396e-13,0.124995105963,0.00782637233343,0.250453720508,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-354684191.201,4429538.08867,-354684191.201,-351552034.781,-357816347.621,-357503131.979,-351865250.423,2.0,19620807678900.0,103,1.83230531396e-13,0.125001398296,0.00391281804952,0.125226860254,0.249963898917
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-358109323.785,535909.702048,-358109323.785,-357730378.401,-358488269.169,-358450374.631,-357768272.939,2.0,287199208749.0,89,1.83230531396e-13,0.250003495741,0.0155968605555,0.249546279492,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-358183198.637,3316105.61213,-358183198.637,-355838357.872,-360528039.403,-360293555.326,-356072841.948,2.0,10996556430800.0,20,1.83230531396e-13,0.124995105963,0.00389957098961,0.249546279492,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-399992660.06,2517345.07438,-399992660.06,-398212628.288,-401772691.833,-401594688.656,-398390631.465,2.0,6337026223490.0,45,1.83230531396e-13,0.249996504259,0.0077993382861,0.249546279492,0.125018050542
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-417836540.687,189930.912781,-417836540.687,-417702239.251,-417970842.123,-417957411.98,-417715669.394,2.0,36073751630.0,100,1.83230531396e-13,0.250003495741,0.00391395921408,0.125226860254,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-422998160.059,1615387.83808,-422998160.059,-421855908.364,-424140411.753,-424026186.584,-421970133.534,2.0,2609477867400.0,59,1.83230531396e-13,0.250003495741,0.0156535764121,0.250453720508,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-439370628.897,2864942.21387,-439370628.897,-437344808.83,-441396448.964,-441193866.957,-437547390.836,2.0,8207893888790.0,114,1.83230531396e-13,0.125001398296,0.00779840846903,0.249546279492,0.25
