smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-158730049.428,3888290.40979,-158730049.428,-155980612.912,-161479485.944,-161204542.292,-156255556.563,2.0,15118802310800.0,0.250003495741,78,0.249963898917,0.125226860254,1.83230531396e-13,0.00782565798392
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-161712247.674,7371716.42426,-161712247.674,-156499657.002,-166924838.347,-166403579.28,-157020916.069,2.0,54342203039700.0,0.124995105963,9,0.25,0.250453720508,1.83230531396e-13,0.00782637233343
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-178837197.05,2724409.24051,-178837197.05,-176910748.801,-180763645.299,-180571000.474,-177103393.626,2.0,7422405709790.0,0.250003495741,70,0.125018050542,0.249546279492,1.83230531396e-13,0.00779955640487
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-191123420.223,4182924.15993,-191123420.223,-188165646.184,-194081194.261,-193785416.858,-188461423.588,2.0,17496854527700.0,0.125001398296,125,0.125018050542,0.125226860254,1.83230531396e-13,0.00195697413424
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-215003326.807,6342365.79194,-215003326.807,-210518596.946,-219488056.667,-219039583.681,-210967069.932,2.0,40225603838800.0,0.250003495741,59,0.25,0.250453720508,1.83230531396e-13,0.0156535764121
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-222478077.932,2710726.96071,-222478077.932,-220561304.516,-224394851.348,-224203174.006,-220752981.858,2.0,7348040655510.0,0.125001398296,114,0.25,0.249546279492,1.83230531396e-13,0.00779840846903
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-236842385.329,9612064.66291,-236842385.329,-230045629.224,-243639141.433,-242959465.823,-230725304.835,2.0,92391787084000.0,0.125001398296,103,0.249963898917,0.125226860254,1.83230531396e-13,0.00391281804952
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-239164336.647,4844510.82814,-239164336.647,-235738750.188,-242589923.105,-242247364.459,-236081308.834,2.0,23469285164000.0,0.124995105963,15,0.125018050542,0.249546279492,1.83230531396e-13,0.00389957098961
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-253934039.211,3275221.19465,-253934039.211,-251618108.095,-256249970.328,-256018377.216,-251849701.207,2.0,10727073873900.0,0.250003495741,95,0.125018050542,0.249546279492,1.83230531396e-13,0.00779955640487
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-254660168.602,9419750.82839,-254660168.602,-247999398.914,-261320938.29,-260654861.321,-248665475.883,2.0,88731705668900.0,0.249996504259,40,0.125018050542,0.249546279492,1.83230531396e-13,0.0077993382861
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-278613826.213,5848094.85131,-278613826.213,-274478598.687,-282749053.74,-282335530.987,-274892121.44,2.0,34200213389900.0,0.249996504259,29,0.25,0.125226860254,1.83230531396e-13,0.00782656932572
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-282860192.682,2797998.66007,-282860192.682,-280881708.856,-284838676.508,-284640828.125,-281079557.238,2.0,7828796501770.0,0.250003495741,84,0.25,0.250453720508,1.83230531396e-13,0.0156535764121
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-320567073.822,5766492.39467,-320567073.822,-316489547.946,-324644599.698,-324236847.11,-316897300.533,2.0,33252434537700.0,0.124995105963,4,0.25,0.125226860254,1.83230531396e-13,0.00391318616671
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-331424479.634,4049885.56077,-331424479.634,-328560778.091,-334288181.177,-334001811.022,-328847148.245,2.0,16401573055300.0,0.250003495741,65,0.125018050542,0.249546279492,1.83230531396e-13,0.00779955640487
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-331932063.754,4133465.19365,-331932063.754,-329009262.485,-334854865.022,-334562584.895,-329301542.612,2.0,17085534507100.0,0.125001398296,120,0.125018050542,0.249546279492,1.83230531396e-13,0.0038997672965
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-359150181.46,533955.358343,-359150181.46,-358772618.005,-359527744.914,-359489988.569,-358810374.35,2.0,285108324704.0,0.250003495741,54,0.25,0.125226860254,1.83230531396e-13,0.00782678820604
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-360262918.218,1476702.92396,-360262918.218,-359218731.567,-361307104.87,-361202686.205,-359323150.232,2.0,2180651525630.0,0.125001398296,109,0.25,0.250453720508,1.83230531396e-13,0.00782676631801
