npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1269178747.58,63907790.3506,1269178747.58,1314368379.51,1223989115.65,1228508078.84,1309849416.31,2.0,4084205667500000.0,63,0.0156250232463,0.25,0.25,8.40946932138e-15,0.250000371941
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1248966172.46,19072054.5939,1248966172.46,1262452151.59,1235480193.32,1236828791.23,1261103553.68,2.0,363743266434000.0,107,0.00781249049015,0.125,0.25,8.40946932138e-15,0.249999695685
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1167251673.29,18634282.9994,1167251673.29,1180428101.16,1154075245.42,1155392888.2,1179110458.37,2.0,347236502901000.0,62,0.0156250232463,0.25,0.25,8.40946932138e-15,0.250000371941
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1165004024.06,57450377.2199,1165004024.06,1205627575.37,1124380472.75,1128442827.88,1201565220.24,2.0,3300545842710000.0,89,0.0156250232463,0.25,0.25,8.40946932138e-15,0.250000371941
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1033166506.07,57453218.5688,1033166506.07,1073792066.52,992540945.615,996603501.66,1069729510.47,2.0,3300872323920000.0,115,0.00390625581157,0.125,0.125,8.40946932138e-15,0.250000371941
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,979908715.101,31136263.3164,979908715.101,1001925378.03,957892052.169,960093718.463,999723711.74,2.0,969466893309000.0,61,0.00781251162315,0.25,0.125,8.40946932138e-15,0.250000371941
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,942558301.906,15245056.7865,942558301.906,953338184.939,931778418.872,932856407.176,952260196.636,2.0,232411756423000.0,88,0.0156250232463,0.25,0.25,8.40946932138e-15,0.250000371941
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,925672140.527,6298943.37985,925672140.527,930126166.105,921218114.949,921663517.507,929680763.547,2.0,39676687702600.0,106,0.00390624524508,0.125,0.125,8.40946932138e-15,0.249999695685
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,824718730.233,8954321.6971,824718730.233,831050391.826,818387068.64,819020234.799,830417225.667,2.0,80179877055200.0,16,0.00390625475492,0.125,0.125,8.40946932138e-15,0.250000304315
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,788611336.233,75408646.7998,788611336.233,841933301.746,735289370.721,740621567.272,836601105.194,2.0,5686464012180000.0,114,0.00781251162315,0.125,0.25,8.40946932138e-15,0.250000371941
