smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,363527580.785,6484107.15703,363545512.747,370665000.573,356354297.074,356916278.593,370113778.231,4.0,42043645623900.0,105,0.00195644559034,0.124994709051,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,359853281.512,1878820.30517,359394298.387,362505718.007,358118811.268,358272670.382,362076469.018,4.0,3529965739110.0,72,0.00779900812097,0.125001984106,1.7334191682000001e-13,0.249546279492,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,331883581.517,3596620.70857,332867265.66,335074444.467,326725350.28,327616114.021,334773891.211,4.0,12935680521300.0,94,0.0156524342817,0.250003306843,1.7334191682000001e-13,0.250453720508,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,305880793.311,3426540.39572,306085213.297,309817905.637,301534841.014,302125430.38,309349968.262,4.0,11741179083500.0,66,0.00782734744372,0.250003306843,1.7334191682000001e-13,0.125226860254,0.250018051845
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,294741055.098,3294324.47818,295034347.095,298287258.494,290608267.709,291096923.672,297974577.729,4.0,10852573767500.0,88,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249546279492,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,284154778.495,6731753.32487,282594843.208,293312729.577,278116697.984,278440558.351,292052908.038,4.0,45316502826900.0,110,0.00391300505149,0.249996693157,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,250049961.366,1897666.08546,249950996.714,252308622.913,247989229.125,248156407.328,252082065.918,4.0,3601136571910.0,99,0.00782623784463,0.125001984106,1.7334191682000001e-13,0.250453720508,0.249981948155
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,227509679.595,1279985.73898,227347046.364,229209097.159,226135528.495,226286173.215,228960872.5,4.0,1638363492000.0,82,0.0155953099878,0.249996693157,1.7334191682000001e-13,0.249546279492,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,223838307.28,2712108.15224,223688794.83,227147311.114,220828328.343,221106933.871,226778998.116,4.0,7355530629450.0,71,0.00391368407525,0.125001984106,1.7334191682000001e-13,0.125226860254,0.250018051845
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,221069521.959,2406129.41191,220637950.206,224310663.289,218691524.136,218886508.834,223856735.539,4.0,5789458746870.0,77,0.00779742807743,0.124994709051,1.7334191682000001e-13,0.249546279492,0.249981948155
