smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,131105653.092,22574429.7016,131105653.092,147068185.416,115143120.769,116739374.001,145471932.183,2.0,509604876354000.0,2.6175466018599997e-14,15,0.125018050542,0.00389970030317,0.124999250922,0.249546279492
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,121416558.853,32578311.1609,121416558.853,144452903.594,98380214.1111,100683848.585,142149269.12,2.0,1061346358100000.0,2.6175466018599997e-14,27,0.25,0.00782666313177,0.249999500615,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,87423899.1548,21691364.8777,87423899.1548,102762010.353,72085787.9566,73619599.0764,101228199.233,2.0,470515310258000.0,2.6175466018599997e-14,38,0.249963898917,0.0155943590951,0.249999500615,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,31143971.0667,15608775.2543,31143971.0667,42181041.895,20106900.2384,21210607.3213,41077334.8122,2.0,243633864938000.0,2.6175466018599997e-14,33,0.249963898917,0.0156510658554,0.249999500615,0.250453720508
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,20967435.3277,6009451.29526,20967435.3277,25216759.0898,16718111.5656,17143043.9418,24791826.7136,2.0,36113504870100.0,2.6175466018599997e-14,4,0.25,0.00391331593177,0.124999250922,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,16563844.7051,1182777.98111,16563844.7051,17400195.0362,15727494.374,15811129.4071,17316560.0031,2.0,1398963752600.0,2.6175466018599997e-14,44,0.25,0.0155966113133,0.249999500615,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-5008615.08045,7316285.7791,-5008615.08045,164780.207048,-10182010.368,-9664670.8392,-352559.321702,2.0,53528037601500.0,2.6175466018599997e-14,10,0.125018050542,0.00391388103154,0.124999250922,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-38954604.1072,31812280.0074,-38954604.1072,-16459925.189,-61449283.0255,-59199815.1336,-18709393.0809,2.0,1012021159270000.0,2.6175466018599997e-14,50,0.125018050542,0.00391389666791,0.249999500615,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-57268721.5314,56994964.475,-57268721.5314,-16967195.6577,-97570247.4052,-93540094.8178,-20997348.2451,2.0,3248425975500000.0,2.6175466018599997e-14,28,0.249963898917,0.0078255329277,0.249999500615,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-81246636.2583,4066849.25723,-81246636.2583,-78370939.5705,-84122332.9462,-83834763.2774,-78658509.2393,2.0,16539262881000.0,2.6175466018599997e-14,39,0.25,0.0155966113133,0.249999500615,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-176860902.709,9147561.24072,-176860902.709,-170392600.124,-183329205.293,-182682375.035,-171039430.382,2.0,83677876652800.0,2.6175466018599997e-14,34,0.25,0.0156533262635,0.249999500615,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-190131028.285,32597145.5983,-190131028.285,-167081365.585,-213180690.985,-210875724.715,-169386331.855,2.0,1062573901160000.0,2.6175466018599997e-14,45,0.125018050542,0.00779943176577,0.249999500615,0.249546279492
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-212276536.143,9168725.28568,-212276536.143,-205793268.319,-218759803.967,-218111477.185,-206441595.101,2.0,84065523364300.0,2.6175466018599997e-14,5,0.125018050542,0.00195694051577,0.124999250922,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-266815625.917,8735299.56301,-266815625.917,-260638836.36,-272992415.473,-272374736.518,-261256515.316,2.0,76305458455600.0,2.6175466018599997e-14,51,0.125018050542,0.00391391230429,0.250000499385,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-297878609.743,27800108.1833,-297878609.743,-278220964.729,-317536254.757,-315570490.255,-280186729.23,2.0,772846015006000.0,2.6175466018599997e-14,40,0.125018050542,0.00779943176577,0.249999500615,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-339212332.888,12594243.4678,-339212332.888,-330306857.928,-348117807.848,-347227260.352,-331197405.424,2.0,158614968526000.0,2.6175466018599997e-14,29,0.25,0.00782666313177,0.249999500615,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-355703704.825,10486415.2648,-355703704.825,-348288689.481,-363118720.169,-362377218.634,-349030191.015,2.0,109964905106000.0,2.6175466018599997e-14,57,0.25,0.0156533888,0.250000499385,0.250453720508
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-377692176.543,3976579.78876,-377692176.543,-374880310.008,-380504043.078,-380222856.424,-375161496.662,2.0,15813186816400.0,2.6175466018599997e-14,52,0.25,0.0078266944,0.250000499385,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-440474105.499,45410369.8288,-440474105.499,-408364125.057,-472584085.941,-469373087.897,-411575123.101,2.0,2062101687980000.0,2.6175466018599997e-14,63,0.249963898917,0.0155944213959,0.250000499385,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-467003240.746,46722613.2678,-467003240.746,-433965364.069,-500041117.422,-496737329.754,-437269151.737,2.0,2183002590580000.0,2.6175466018599997e-14,35,0.125018050542,0.00782779333583,0.249999500615,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-474369056.169,8413708.678,-474369056.169,-468419665.707,-480318446.63,-479723507.584,-469014604.754,2.0,70790493718200.0,2.6175466018599997e-14,69,0.25,0.0155966736232,0.250000499385,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-491445170.462,9706634.8937,-491445170.462,-484581543.106,-498308797.818,-497622435.082,-485267905.842,2.0,94218760959600.0,2.6175466018599997e-14,58,0.249963898917,0.0156511283828,0.250000499385,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-588819264.991,18285704.6352,-588819264.991,-575889319.245,-601749210.737,-600456216.163,-577182313.819,2.0,334366994007000.0,2.6175466018599997e-14,75,0.125018050542,0.00391391230429,0.250000499385,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-621669760.515,39208826.1515,-621669760.515,-593944933.661,-649394587.369,-646622104.683,-596717416.346,2.0,1537332048180000.0,2.6175466018599997e-14,53,0.249963898917,0.00782556419142,0.250000499385,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-632361190.271,6048572.48716,-632361190.271,-628084203.649,-636638176.893,-636210478.231,-628511902.311,2.0,36585229132500.0,2.6175466018599997e-14,64,0.25,0.0155966736232,0.250000499385,0.249546279492
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-656778921.718,65801545.653,-656778921.718,-610250202.575,-703307640.862,-698654768.948,-614903074.489,2.0,4329843410320000.0,2.6175466018599997e-14,30,0.125018050542,0.00391389666791,0.249999500615,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-716913503.992,2904329.9534,-716913503.992,-714859832.587,-718967175.397,-718761808.256,-715065199.727,2.0,8435132478240.0,2.6175466018599997e-14,59,0.25,0.0156533888,0.250000499385,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-730608312.946,63182570.8156,-730608312.946,-685931488.669,-775285137.222,-770817454.795,-690399171.097,2.0,3992037254870000.0,2.6175466018599997e-14,70,0.125018050542,0.00779946292521,0.250000499385,0.249546279492
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-749434090.997,785611.260887,-749434090.997,-748878579.947,-749989602.047,-749934050.942,-748934131.052,2.0,617185053232.0,2.6175466018599997e-14,76,0.125018050542,0.00391391230429,0.250000499385,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-802471789.147,7627974.19672,-802471789.147,-797077996.866,-807865581.428,-807326202.2,-797617376.094,2.0,58185990345800.0,2.6175466018599997e-14,65,0.125018050542,0.00779946292521,0.250000499385,0.249546279492
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-832629370.707,27093021.2885,-832629370.707,-813471711.631,-851787029.783,-849871263.875,-815387477.538,2.0,734031802537000.0,2.6175466018599997e-14,82,0.25,0.0156533888,0.250000499385,0.250453720508
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-887016108.934,27741878.6052,-887016108.934,-867399638.449,-906632579.418,-904670932.37,-869361285.497,2.0,769611828544000.0,2.6175466018599997e-14,54,0.25,0.0078266944,0.250000499385,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-897290723.991,12722826.7739,-897290723.991,-888294326.903,-906287121.079,-905387481.37,-889193966.612,2.0,161870321119000.0,2.6175466018599997e-14,77,0.25,0.0078266944,0.250000499385,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-912244822.564,6659569.30345,-912244822.564,-907535795.95,-916953849.178,-916482946.517,-908006698.611,2.0,44349863307400.0,2.6175466018599997e-14,88,0.249963898917,0.0155944213959,0.250000499385,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1018157239.33,14157736.3269,-1018157239.33,-1008146207.96,-1028168270.69,-1027167167.55,-1009147311.1,2.0,200441497903000.0,2.6175466018599997e-14,83,0.249963898917,0.0156511283828,0.250000499385,0.250453720508
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1036266200.35,94122951.4055,-1036266200.35,-969711223.15,-1102821177.56,-1096165679.84,-976366720.871,2.0,8859129981280000.0,2.6175466018599997e-14,60,0.125018050542,0.00782782460857,0.250000499385,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1048391250.26,11965199.9706,-1048391250.26,-1039930576.23,-1056851924.3,-1056005856.9,-1040776643.63,2.0,143166010336000.0,2.6175466018599997e-14,89,0.25,0.0155966736232,0.250000499385,0.249546279492
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1065690707.83,18197093.7578,-1065690707.83,-1052823419.44,-1078557996.23,-1077271267.39,-1054110148.28,2.0,331134221231000.0,2.6175466018599997e-14,94,0.25,0.0155966736232,0.250000499385,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1108115614.36,10890768.1928,-1108115614.36,-1100414678.32,-1115816550.4,-1115046456.8,-1101184771.92,2.0,118608831829000.0,2.6175466018599997e-14,100,0.125018050542,0.00391391230429,0.250000499385,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1110582579.14,78939102.4015,-1110582579.14,-1054764204.53,-1166400953.75,-1160819116.29,-1060346042.0,2.0,6231381887950000.0,2.6175466018599997e-14,55,0.125018050542,0.00391391230429,0.250000499385,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1143083978.85,18129214.2943,-1143083978.85,-1130264688.49,-1155903269.22,-1154621340.18,-1131546617.52,2.0,328668410927000.0,2.6175466018599997e-14,78,0.249963898917,0.00782556419142,0.250000499385,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1247031615.58,748904.187203,-1247031615.58,-1246502060.35,-1247561170.8,-1247508215.28,-1246555015.87,2.0,560857481610.0,2.6175466018599997e-14,101,0.125018050542,0.00195695615214,0.125000249693,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1248400518.84,20547529.9014,-1248400518.84,-1233871221.11,-1262929816.57,-1261476886.8,-1235324150.89,2.0,422200985051000.0,2.6175466018599997e-14,95,0.125018050542,0.00779946292521,0.250000499385,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1294485945.56,38876286.9081,-1294485945.56,-1266996259.46,-1321975631.66,-1319226663.05,-1269745228.07,2.0,1511365683760000.0,2.6175466018599997e-14,84,0.25,0.0156533888,0.250000499385,0.250453720508
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1325951039.72,12635639.0387,-1325951039.72,-1317016293.67,-1334885785.77,-1333992311.16,-1317909768.28,2.0,159659373916000.0,2.6175466018599997e-14,107,0.25,0.0078266944,0.125000249693,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1334670197.12,31517653.9051,-1334670197.12,-1312383850.32,-1356956543.93,-1354727909.25,-1314612485.0,2.0,993362507681000.0,2.6175466018599997e-14,90,0.125018050542,0.00779946292521,0.250000499385,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1404270026.32,3825596.6332,-1404270026.32,-1401564921.0,-1406975131.64,-1406704621.11,-1401835431.53,2.0,14635189600000.0,2.6175466018599997e-14,79,0.25,0.0078266944,0.250000499385,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1434803944.93,3399735.73022,-1434803944.93,-1432399968.75,-1437207921.12,-1436967523.51,-1432640366.36,2.0,11558203035300.0,2.6175466018599997e-14,102,0.25,0.0039133472,0.125000249693,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1442130665.13,54539767.7005,-1442130665.13,-1403565225.54,-1480696104.71,-1476839560.75,-1407421769.5,2.0,2974586260830000.0,2.6175466018599997e-14,113,0.249963898917,0.00779721069797,0.125000249693,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1465685639.33,22849563.4675,-1465685639.33,-1449528558.06,-1481842720.61,-1480227012.48,-1451144266.18,2.0,522102550657000.0,2.6175466018599997e-14,85,0.125018050542,0.00782782460857,0.250000499385,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1531028490.15,21696675.4372,-1531028490.15,-1515686623.82,-1546370356.48,-1544836169.85,-1517220810.45,2.0,470745725028000.0,2.6175466018599997e-14,119,0.25,0.00779833681159,0.125000249693,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1603284587.86,528906.531147,-1603284587.86,-1602910594.46,-1603658581.25,-1603621181.91,-1602947993.8,2.0,279742118690.0,2.6175466018599997e-14,108,0.249963898917,0.00782556419142,0.125000249693,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1654131296.85,3546304.91799,-1654131296.85,-1651623680.59,-1656638913.1,-1656388151.48,-1651874442.22,2.0,12576278571300.0,2.6175466018599997e-14,125,0.125018050542,0.00195695615214,0.125000249693,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1685506025.41,48968136.7653,-1685506025.41,-1650880323.84,-1720131726.98,-1716669156.82,-1654342894.0,2.0,2397878418270000.0,2.6175466018599997e-14,114,0.25,0.00779833681159,0.125000249693,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1701007927.52,17873849.8613,-1701007927.52,-1688369207.08,-1713646647.96,-1712382775.92,-1689633079.12,2.0,319474508866000.0,2.6175466018599997e-14,103,0.249963898917,0.00391278209571,0.125000249693,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1755737351.06,14977916.5777,-1755737351.06,-1745146364.68,-1766328337.44,-1765269238.81,-1746205463.32,2.0,224337985009000.0,2.6175466018599997e-14,80,0.125018050542,0.00391391230429,0.250000499385,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1789113207.23,55821472.3012,-1789113207.23,-1749641465.63,-1828584948.83,-1824637774.67,-1753588639.79,2.0,3116036769870000.0,2.6175466018599997e-14,120,0.125018050542,0.0038997314626,0.125000249693,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1829271051.59,34229517.9765,-1829271051.59,-1805067127.31,-1853474975.86,-1851054583.44,-1807487519.74,2.0,1171659900900000.0,2.6175466018599997e-14,109,0.25,0.0078266944,0.125000249693,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1919076092.07,15449838.488,-1919076092.07,-1908151406.51,-1930000777.64,-1928908309.08,-1909243875.07,2.0,238697509305000.0,2.6175466018599997e-14,115,0.125018050542,0.0038997314626,0.125000249693,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1979457525.06,38168735.1787,-1979457525.06,-1952468153.58,-2006446896.53,-2003747959.38,-1955167090.73,2.0,1456852345140000.0,2.6175466018599997e-14,104,0.25,0.0039133472,0.125000249693,0.125226860254
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2107155998.57,7960477.5556,-2107155998.57,-2101527090.91,-2112784906.23,-2112222015.47,-2102089981.68,2.0,63369202913100.0,2.6175466018599997e-14,110,0.125018050542,0.00391391230429,0.125000249693,0.250453720508
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2266948310.38,67748648.0711,-2266948310.38,-2219042781.91,-2314853838.85,-2310063286.0,-2223833334.76,2.0,4589879315460000.0,2.6175466018599997e-14,105,0.125018050542,0.00195695615214,0.125000249693,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-19006505135.7,3343760.61194,-19006505135.7,-19004140739.9,-19008869531.5,-19008633091.9,-19004377179.5,2.0,11180735030000.0,2.6175466018599997e-14,1,0.125018050542,0.00195694051577,0.124999250922,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-359837562046.0,34666074.6507,-359837562046.0,-359813049429.0,-359862074662.0,-359859623401.0,-359815500691.0,2.0,1201736731690000.0,2.6175466018599997e-14,7,0.25,0.00782663186354,0.124999250922,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-769641278902.0,42592637.6684,-769641278902.0,-769611161359.0,-769671396445.0,-769668384690.0,-769614173113.0,2.0,1814132783550000.0,2.6175466018599997e-14,13,0.249963898917,0.00779714839709,0.124999250922,0.249546279492
