smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-meoh_capacity
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-74087629.3225,44331517.5097,-74087629.3225,-42740512.6711,-105434745.974,-102300034.309,-45875224.3363,2.0,1965283444710000.0,0.0714277977778,22,0.142822580645,1.83809210519e-14,0.00145735748692,0.142857142857
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-86447646.815,5203483.18199,-86447646.815,-82768228.5712,-90127065.0588,-89759123.2344,-83136170.3956,2.0,27076237225200.0,0.142857371148,130,0.0714516129032,1.83809210519e-14,0.00145819851194,0.142857142857
720.0,-312.7,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-92436409.5515,3735968.36848,-92436409.5515,-89794680.9839,-95078138.1192,-94813965.2624,-90058853.8407,2.0,13957459650300.0,0.0714277977778,39,0.142903225806,1.83809210519e-14,0.00145818038782,0.142857142857
720.0,-224.1,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-95570444.6602,11028667.2256,-95570444.6602,-87771999.2775,-103368890.043,-102589045.505,-88551843.8158,2.0,121631500772000.0,0.0714277977778,48,0.142822580645,0.0,0.000728678743459,0.0714285714286
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-105068187.603,3582323.66659,-105068187.603,-102535102.246,-107601272.961,-107347964.425,-102788410.782,2.0,12833042852200.0,0.142856483352,68,0.0714516129032,1.83809210519e-14,0.00145818944988,0.142857142857
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-158059535.884,5921712.2081,-158059535.884,-153872253.025,-162246818.743,-161828090.457,-154290981.311,2.0,35066675475500.0,0.142856483352,85,0.142822580645,1.83809210519e-14,0.00291473308774,0.142857142857
720.0,-578.4,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-174866204.569,13365314.9942,-174866204.569,-165415499.704,-184316909.434,-183371838.948,-166360570.19,2.0,178631644894000.0,0.0714277977778,14,0.142822580645,1.83809210519e-14,0.00145735748692,0.142857142857
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-178601074.91,27444864.0495,-178601074.91,-159194625.431,-198007524.388,-196066879.44,-161135270.379,2.0,753220562698000.0,0.142857371148,147,0.142822580645,1.83809210519e-14,0.00291475120164,0.142857142857
720.0,-401.3,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-187641072.261,7805620.14653,-187641072.261,-182121665.325,-193160479.198,-192608538.505,-182673606.018,2.0,60927705872000.0,0.0714277977778,31,0.142903225806,1.83809210519e-14,0.00145818038782,0.142857142857
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-187792058.458,63330756.725,-187792058.458,-143010450.92,-232573665.996,-228095505.243,-147488611.674,2.0,4010784747370000.0,0.142856483352,102,0.142903225806,1.83809210519e-14,0.00291637889976,0.142857142857
720.0,-578.4,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-210618725.946,6947122.20199,-210618725.946,-205706368.727,-215531083.165,-215039847.443,-206197604.449,2.0,48262506889400.0,0.142856483352,77,0.142822580645,1.83809210519e-14,0.00291473308774,0.142857142857
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-217189949.607,4324117.88438,-217189949.607,-214132336.528,-220247562.685,-219941801.378,-214438097.836,2.0,18697995478000.0,0.142857371148,139,0.142822580645,1.83809210519e-14,0.00291475120164,0.142857142857
720.0,-312.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-241980026.336,31411637.9115,-241980026.336,-219768644.161,-264191408.512,-261970270.294,-221989782.378,2.0,986690996286000.0,0.0714277977778,40,0.142903225806,0.0,0.000729090193908,0.0714285714286
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-255047194.921,1294750.31338,-255047194.921,-254131668.194,-255962721.647,-255871168.975,-254223220.867,2.0,1676378374000.0,0.142856483352,94,0.142903225806,1.83809210519e-14,0.00291637889976,0.142857142857
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-266374377.698,16115667.3031,-266374377.698,-254978880.064,-277769875.331,-276630325.568,-256118429.828,2.0,259714732624000.0,0.142856483352,119,0.142822580645,1.83809210519e-14,0.00291473308774,0.142857142857
720.0,-667.0,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,1609124.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-274298235.567,13314489.8524,-274298235.567,-264883469.504,-283713001.63,-282771525.023,-265824946.111,2.0,177275640031000.0,0.142857371148,131,0.0714516129032,1.83809210519e-14,0.00145819851194,0.142857142857
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-281036728.413,4169844.30895,-281036728.413,-278088203.226,-283985253.6,-283690401.082,-278383055.744,2.0,17387601560800.0,0.142856483352,128,0.0714516129032,0.0,0.00072909472494,0.0714285714286
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-290135020.016,39526784.5292,-290135020.016,-262185362.637,-318084677.395,-315289711.657,-264980328.375,2.0,1562366695220000.0,0.142856483352,111,0.142822580645,1.83809210519e-14,0.00291473308774,0.142857142857
