smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1478234992.98,2800931.21481,-1478234992.98,-1476254435.53,-1480215550.44,-1480017494.69,-1476452491.27,2.0,7845215670070.0,37,0.142857142857,1.07010398565e-12,0.00145641619173,0.0714113745622,0.142763157895
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1479651016.74,1752871.39966,-1479651016.74,-1478411549.49,-1480890483.99,-1480766537.27,-1478535496.21,2.0,3072558143750.0,148,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1480387917.18,2223088.82246,-1480387917.18,-1478815955.99,-1481959878.36,-1481802682.24,-1478973152.11,2.0,4942123912560.0,259,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1495628448.44,536556.439161,-1495628448.44,-1495249045.75,-1496007851.14,-1495969910.87,-1495286986.02,2.0,287892812405.0,101,0.142857142857,1.07010398565e-12,0.00291326796198,0.142844106523,0.142763157895
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1497824612.02,1747891.56566,-1497824612.02,-1496588666.05,-1499060558.0,-1498936963.41,-1496712260.64,2.0,3055124925310.0,212,0.142857142857,1.07010398565e-12,0.00291630971247,0.142861580758,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1498495790.51,391518.168952,-1498495790.51,-1498218945.36,-1498772635.66,-1498744951.15,-1498246629.87,2.0,153286476620.0,323,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1508537414.37,629614.856705,-1508537414.37,-1508092209.44,-1508982619.31,-1508938098.82,-1508136729.93,2.0,396414867784.0,76,0.142857142857,1.07010398565e-12,0.00291595300158,0.142844106523,0.142894736842
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1512331224.54,958134.963914,-1512331224.54,-1511653720.81,-1513008728.27,-1512940977.9,-1511721471.18,2.0,918022609075.0,165,0.142857142857,1.07010398565e-12,0.00291366394246,0.14286352234,0.142763157895
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1513160087.21,678181.420508,-1513160087.21,-1512680540.52,-1513639633.89,-1513591679.22,-1512728495.19,2.0,459930039123.0,276,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,220742.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1515828621.35,1710302.05295,-1515828621.35,-1514619255.17,-1517037987.53,-1516917050.91,-1514740191.79,2.0,2925133112320.0,387,0.142857142857,1.07010398565e-12,0.00145815485623,0.142861580758,0.0714473684211
