smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,19760278.0682,4022375.7049,19760278.0682,22604527.2056,16916028.9308,17200453.8445,22320102.2919,2.0,16179506311400.0,0.249963898917,0.00782565798392,0.125226860254,0.250003495741,78,1.83230531396e-13
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,8750161.64469,5305786.34629,8750161.64469,12501919.1497,4998404.1397,5373579.8902,12126743.3992,2.0,28151368752500.0,0.25,0.0155968605555,0.249546279492,0.250003495741,94,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2682576.82191,5235856.66532,-2682576.82191,1019732.93145,-6384886.57528,-6014655.59995,649501.956117,2.0,27414195019800.0,0.125018050542,0.00195687562387,0.125226860254,0.124995105963,25,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-24182382.1475,2052168.28357,-24182382.1475,-22731280.0381,-25633484.257,-25488374.046,-22876390.249,2.0,4211394664090.0,0.25,0.0155968605555,0.249546279492,0.250003495741,64,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-38058715.6961,1074521.10341,-38058715.6961,-37298914.5374,-38818516.8549,-38742536.739,-37374894.6532,2.0,1154595601680.0,0.249963898917,0.00391281804952,0.125226860254,0.125001398296,103,1.83230531396e-13
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-46954849.7483,3602447.52174,-46954849.7483,-44407534.6768,-49502164.8198,-49247433.3126,-44662266.1839,2.0,12977628146900.0,0.25,0.00779840846903,0.249546279492,0.125001398296,119,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-49468073.5434,2871645.84793,-49468073.5434,-47437513.2912,-51498633.7957,-51295577.7705,-47640569.3164,2.0,8246349875910.0,0.125018050542,0.00391384975812,0.125226860254,0.249996504259,50,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-85702954.2183,641001.447116,-85702954.2183,-85249697.7483,-86156210.6883,-86110885.0413,-85295023.3953,2.0,410882855205.0,0.25,0.0155968605555,0.249546279492,0.250003495741,89,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-90992084.6731,3980550.99683,-90992084.6731,-88177410.0704,-93806759.2758,-93525291.8156,-88458877.5307,2.0,15844786238400.0,0.25,0.0156531386514,0.250453720508,0.249996504259,34,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-104009565.797,5007028.43549,-104009565.797,-100469062.037,-107550069.557,-107196019.181,-100823112.413,2.0,25070333753800.0,0.125018050542,0.00391395921408,0.125226860254,0.250003495741,75,1.83230531396e-13
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-118316790.584,2570870.88455,-118316790.584,-116498910.348,-120134670.82,-119952882.796,-116680698.372,2.0,6609377105030.0,0.25,0.00782637233343,0.250453720508,0.124995105963,9,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-139990955.959,4480503.691,-139990955.959,-136822761.416,-143159150.502,-142842331.048,-137139580.87,2.0,20074913325000.0,0.25,0.00779840846903,0.249546279492,0.125001398296,114,1.83230531396e-13
