smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-489.9,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2396089028.43,7136627.90781,-2396089028.43,-2391042670.44,-2401135386.42,-2400630750.62,-2391547306.24,2.0,50931457894500.0,148,0.142822580645,0.14285765017,0.0029147568946,0.142857142857,3.6761913905299995e-14
720.0,-401.3,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2406017210.64,11068005.9831,-2406017210.64,-2398190948.56,-2413843472.73,-2413060846.52,-2398973574.76,2.0,122500756441000.0,93,0.142903225806,0.142855874575,0.00291636647173,0.142857142857,3.6761913905299995e-14
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2426604727.11,5444544.23267,-2426604727.11,-2422754852.96,-2430454601.25,-2430069613.84,-2423139840.37,2.0,29643061901500.0,38,0.142903225806,0.0714270494897,0.0014581651117,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2463474780.23,12341200.481,-2463474780.23,-2454748233.68,-2472201326.77,-2471328672.12,-2455620888.33,2.0,152305229312000.0,13,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-489.9,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2469463197.83,3565248.90611,-2469463197.83,-2466942186.15,-2471984209.51,-2471732108.34,-2467194287.32,2.0,12710999762500.0,85,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2481227996.6,13386606.3093,-2481227996.6,-2471762236.51,-2490693756.7,-2489747180.69,-2472708812.52,2.0,179201228480000.0,140,0.142822580645,0.14285765017,0.0029147568946,0.142857142857,3.6761913905299995e-14
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2517420800.07,45819578.7551,-2517420800.07,-2485021465.22,-2549820134.92,-2546580201.43,-2488261398.7,2.0,2099433797290000.0,55,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2529470991.17,2460647.64198,-2529470991.17,-2527731050.54,-2531210931.81,-2531036937.74,-2527905044.6,2.0,6054786817970.0,30,0.142903225806,0.0714270494897,0.0014581651117,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2544758845.26,162784.763669,-2544758845.26,-2544643739.05,-2544873951.47,-2544862440.85,-2544655249.67,2.0,26498879282.9,132,0.0714516129032,0.14285765017,0.00145820136003,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2551560992.63,4616660.32377,-2551560992.63,-2548296520.81,-2554825464.45,-2554499017.27,-2548622967.99,2.0,21313552545100.0,77,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
