npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,32422584.406,4191344.91616,32533660.9749,36853036.5351,27769979.139,28126383.0706,36563278.5449,4.0,17567372206200.0,0.250002387083,0.00389522132849,0.124645892351,0.125,8.47275451554e-14,111
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,20411941.3504,5269506.39667,21745134.354,24877886.2487,13279610.4451,14232419.1176,24724993.3784,4.0,27767697664500.0,0.125001458773,0.00390629558665,0.25,0.125,8.47275451554e-14,122
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-12661691.9912,5711423.82074,-14178952.9218,-5043396.35614,-17245465.7649,-17185281.9552,-6013936.72428,4.0,32620362060100.0,0.249997082454,0.0156248176534,0.25,0.25,8.47275451554e-14,82
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-14405431.7016,2017472.49769,-13836872.7612,-12663496.3966,-17284484.8872,-16819389.1179,-12787456.8017,4.0,4070195278930.0,0.125001458773,0.00781259117331,0.25,0.25,8.47275451554e-14,99
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-16121673.0703,4446117.1763,-16457440.3585,-10936100.8176,-20635710.7465,-20373499.489,-11399772.448,4.0,19767957945400.0,0.124996154144,0.007812259634,0.25,0.25,8.47275451554e-14,77
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-48800224.1429,3637730.97097,-49386783.3512,-44067194.0993,-52360135.7697,-52124577.4077,-44654687.9863,4.0,13233086617200.0,0.250002917546,0.0156251823466,0.25,0.25,8.47275451554e-14,93
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-64472366.3485,5137114.00244,-63740558.4159,-59009887.0758,-71398461.4865,-70306821.5462,-59662442.2566,4.0,26389940274100.0,0.250002917546,0.00389522959349,0.124645892351,0.125,8.47275451554e-14,116
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-109161912.52,5617453.3973,-106890018.396,-105387484.689,-117480128.6,-115992531.975,-105511944.839,4.0,31555782670900.0,0.250002387083,0.0156251491927,0.25,0.25,8.47275451554e-14,87
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-147831160.856,6304944.81285,-146788749.987,-141332847.409,-156414296.042,-155085947.533,-142035749.396,4.0,39752329093100.0,0.125001458773,0.00781259117331,0.25,0.25,8.47275451554e-14,98
894.0,-879.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-160687074.731,6474852.99976,-158269529.714,-156079010.666,-170130228.832,-168554447.359,-156204265.128,4.0,41923721368500.0,0.125001458773,0.00194761479675,0.124645892351,0.125,8.47275451554e-14,121
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-178455006.553,6671315.96508,-177177922.556,-172384113.053,-187080068.05,-186057199.526,-172640731.178,4.0,44506456705900.0,0.249997082454,0.00779027735693,0.124645892351,0.25,8.47275451554e-14,81
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-195265871.092,5705025.94427,-196485539.625,-188036617.055,-200055788.065,-199988161.39,-188836044.85,4.0,32547321024800.0,0.124996154144,0.00389506429344,0.124645892351,0.25,8.47275451554e-14,76
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-205368001.116,1698179.93049,-205114741.049,-203706801.101,-207535721.265,-207282010.915,-203808555.411,4.0,2883815076320.0,0.250002917546,0.0156251823466,0.25,0.25,8.47275451554e-14,92
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-263843148.445,1603782.35142,-263572105.519,-262187853.177,-266040529.564,-265673515.718,-262392241.267,4.0,2572117830720.0,0.249997082454,0.0156248176534,0.25,0.25,8.47275451554e-14,58
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-280192687.658,954248.17332,-279898327.278,-279395908.667,-281578187.408,-281332921.91,-279464557.937,4.0,910589576285.0,0.250002387083,0.00779044265698,0.124645892351,0.25,8.47275451554e-14,86
894.0,-703.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-308755651.37,6099373.91776,-306238971.059,-304813232.234,-317731431.13,-316186069.557,-304848585.619,4.0,37202362188600.0,0.125001458773,0.00781259117331,0.25,0.25,8.47275451554e-14,97
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-355507964.268,2333096.27706,-355134047.946,-353077772.214,-358685988.967,-358175626.068,-353363785.32,4.0,5443338238030.0,0.124996154144,0.007812259634,0.25,0.25,8.47275451554e-14,52
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-357515593.735,1505477.04546,-357504949.985,-355910766.447,-359141708.524,-359029493.899,-356016594.822,4.0,2266461134420.0,0.250002387083,0.0156251491927,0.25,0.25,8.47275451554e-14,63
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-375996233.567,2560633.66186,-375128125.144,-374084058.924,-379644625.056,-379083152.425,-374124666.502,4.0,6556844750220.0,0.249997082454,0.0156248176534,0.25,0.25,8.47275451554e-14,57
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-376993454.74,4211988.8529,-376466014.332,-372456180.63,-382585609.667,-381762959.362,-372962366.69,4.0,17740850096900.0,0.250002917546,0.00779045918698,0.124645892351,0.25,8.47275451554e-14,91
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-450816179.394,4539188.15966,-451844546.938,-444614861.97,-454960761.731,-454707144.168,-445485500.059,4.0,20604229148800.0,0.250002917546,0.0156251823466,0.25,0.25,8.47275451554e-14,68
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-468019995.823,1938521.83008,-468520341.832,-465270684.223,-469768615.404,-469623337.346,-465716169.887,4.0,3757866885690.0,0.250002387083,0.0156251491927,0.25,0.25,8.47275451554e-14,62
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-472991037.043,9575465.1654,-472891598.593,-462554682.326,-483626268.66,-482788409.192,-463332878.724,4.0,91689533133700.0,0.125001458773,0.00389522959349,0.124645892351,0.25,8.47275451554e-14,96
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-517465817.76,2446891.4998,-516879879.177,-515174844.34,-520928668.347,-520341275.875,-515410673.662,4.0,5987278011780.0,0.249997082454,0.00779027735693,0.124645892351,0.25,8.47275451554e-14,56
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-537784098.011,4717754.80257,-538824646.266,-531288499.173,-542198600.338,-541873923.987,-532237504.477,4.0,22257210377200.0,0.124996154144,0.00389506429344,0.124645892351,0.25,8.47275451554e-14,51
894.0,-526.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-546724928.799,2694293.9959,-546732868.338,-543760994.397,-549672984.124,-549451950.77,-543986791.475,4.0,7259220136360.0,0.125001458773,0.00781259117331,0.25,0.25,8.47275451554e-14,73
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-565695800.409,331803.837348,-565701197.97,-565335658.961,-566045146.734,-566023267.745,-565360776.487,4.0,110093786479.0,0.250002917546,0.0156251823466,0.25,0.25,8.47275451554e-14,67
