smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1323079782.87,680485.529182,-1322753403.6,-1322712486.65,-1324099837.63,-1323900711.81,-1322715784.9,4.0,463060555426.0,62,0.250018051845,0.250007275152,0.0155982225654,0.249546279492,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1323324644.92,183093.36105,-1323304221.3,-1323133055.2,-1323557081.88,-1323529216.06,-1323148666.84,4.0,33523178860.5,115,0.124990974078,0.250007275152,0.00391317068328,0.125226860254,3.46688419418e-13
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1325007205.74,812071.853705,-1324786897.11,-1324299817.32,-1326155211.41,-1325976585.55,-1324346258.01,4.0,659460695580.0,46,0.250018051845,0.125002976198,0.00391371513664,0.125226860254,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1340023098.08,272394.671769,-1340028153.42,-1339758868.58,-1340277216.92,-1340271348.79,-1339767769.91,4.0,74198857208.0,78,0.249981948155,0.12498974865,0.0077971186374,0.249546279492,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1344615877.4,212304.121324,-1344577284.25,-1344400244.87,-1344908696.23,-1344858986.92,-1344426798.29,4.0,45073039931.1,99,0.249981948155,0.125002976198,0.00782629995845,0.250453720508,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1360008403.32,1179711.84986,-1359851306.63,-1358798903.23,-1361532096.79,-1361341940.18,-1358894801.84,4.0,1391720048700.0,83,0.249981948155,0.249992724848,0.0155950624366,0.249546279492,3.46688419418e-13
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1365449033.91,340295.509147,-1365481535.58,-1365002300.68,-1365830763.8,-1365778533.24,-1365074032.24,4.0,115801033546.0,67,0.250018051845,0.250007275152,0.0155982225654,0.249546279492,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1365508842.77,425354.282485,-1365531096.52,-1364985068.61,-1365988109.43,-1365940166.11,-1365046364.18,4.0,180926265628.0,120,0.124990974078,0.250007275152,0.00391317068328,0.125226860254,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1402576981.39,549549.411396,-1402729013.34,-1401811224.0,-1403038674.89,-1403018258.54,-1401922859.52,4.0,302004555565.0,88,0.249981948155,0.250007275152,0.0155959701145,0.249546279492,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1406588814.26,576417.952962,-1406357089.12,-1406195244.84,-1407445833.95,-1407282575.0,-1406219468.7,4.0,332257656497.0,104,0.124990974078,0.12498974865,0.00391273589804,0.250453720508,3.46688419418e-13
