smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-7046472.4354,57609.2981876,-7046472.4354,-7005736.50999,-7087208.36081,-7083134.76827,-7009810.10253,2.0,3318831237.67,0.25,0.249546279492,1.83230531396e-13,39,0.015596424381,0.249996504259
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-12946128.3999,530116.291249,-12946128.3999,-12571279.5756,-13320977.2243,-13283492.3419,-12608764.458,2.0,281023282248.0,0.249963898917,0.250453720508,1.83230531396e-13,108,0.00782563609905,0.125001398296
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-34170948.8112,3445375.51666,-34170948.8112,-31734700.4197,-36607197.2028,-36363572.3636,-31978325.2588,2.0,11870612450800.0,0.25,0.249546279492,1.83230531396e-13,94,0.0155968605555,0.250003495741
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-61905665.8625,5855477.18582,-61905665.8625,-57765218.2374,-66046113.4877,-65632068.7252,-58179262.9999,2.0,34286613073700.0,0.249963898917,0.125226860254,1.83230531396e-13,78,0.00782565798392,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-73976606.5718,7401943.32928,-73976606.5718,-68742642.2498,-79210570.8939,-78687174.4617,-69266038.682,2.0,54788765049900.0,0.125018050542,0.125226860254,1.83230531396e-13,50,0.00391384975812,0.249996504259
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-82304167.92,1168507.55913,-82304167.92,-81477908.3011,-83130427.539,-83047801.5771,-81560534.263,2.0,1365409915740.0,0.25,0.249546279492,1.83230531396e-13,64,0.0155968605555,0.250003495741
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-115125355.523,3554384.62943,-115125355.523,-112612026.049,-117638684.998,-117387352.05,-112863358.997,2.0,12633650094000.0,0.25,0.249546279492,1.83230531396e-13,119,0.00779840846903,0.125001398296
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-143067902.857,8950184.00694,-143067902.857,-136739167.053,-149396638.661,-148763765.081,-137372040.633,2.0,80105793758100.0,0.25,0.250453720508,1.83230531396e-13,34,0.0156531386514,0.249996504259
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-143629242.226,3278104.71003,-143629242.226,-141311272.157,-145947212.296,-145715415.289,-141543069.163,2.0,10745970489900.0,0.249963898917,0.125226860254,1.83230531396e-13,103,0.00391281804952,0.125001398296
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-148560128.387,7318348.36812,-148560128.387,-143385274.629,-153734982.145,-153217496.769,-143902760.004,2.0,53558222837200.0,0.125018050542,0.125226860254,1.83230531396e-13,75,0.00391395921408,0.250003495741
