smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-257935284.523,1469615.88549,-257739539.501,-256460327.127,-259801731.963,-259583863.431,-256560748.646,4.0,2159770850880.0,0.0155950624366,0.249992724848,83,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-266812880.228,1411189.23775,-267139348.376,-264956384.802,-268016439.357,-267983583.941,-265185121.106,4.0,1991455064740.0,0.0077971186374,0.12498974865,78,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-277106102.397,318062.532254,-277019365.301,-276830058.212,-277555620.775,-277485882.781,-276847753.948,4.0,101163774424.0,0.00782629995845,0.125002976198,99,0.250453720508,0.249981948155,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-304297047.444,1417061.91062,-304057159.423,-302873352.29,-306200518.638,-305932992.915,-302996945.201,4.0,2008064458540.0,0.0155959701145,0.250007275152,88,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-346549182.303,2744239.4038,-346638261.707,-343155367.43,-349764838.369,-349385742.811,-343587910.631,4.0,7530849905390.0,0.0155959701145,0.250007275152,93,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-348968687.705,1611028.00365,-349468707.522,-346626652.959,-350310682.817,-350185530.954,-347051816.712,4.0,2595411228540.0,0.00195636794902,0.12498974865,105,0.125226860254,0.124990974078,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-388388443.339,562138.080027,-388498694.028,-387638803.627,-388917581.675,-388885073.052,-387737462.663,4.0,315999221016.0,0.00779794379918,0.125002976198,98,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-392922854.543,1165547.12181,-393479372.743,-391175568.561,-393557104.125,-393548433.953,-391518149.653,4.0,1358500093160.0,0.00391294293863,0.249992724848,110,0.125226860254,0.124990974078,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-393083108.632,1484895.43887,-393576235.468,-390930685.006,-394249278.585,-394187367.584,-391288472.109,4.0,2204914464380.0,0.0155950624366,0.249992724848,82,0.249546279492,0.249981948155,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-426096976.099,1901485.80821,-426629624.35,-423392443.093,-427736212.604,-427626140.517,-423822104.13,4.0,3615648278820.0,0.0077971186374,0.12498974865,77,0.249546279492,0.249981948155,3.46688419418e-13
