npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,443635288.794,285588.407759,443635288.794,443837230.294,443433347.294,443453541.444,443817036.144,2.0,81560738646.5,0.124972890913,0.00779026143228,70,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,440227832.526,924078.561243,440227832.526,440881254.743,439574410.309,439639752.531,440815912.521,2.0,853921187350.0,0.25,0.00391623744292,4,0.12498630137,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,437632567.623,399683.087641,437632567.623,437915186.245,437349949.002,437378210.864,437886924.383,2.0,159746570546.0,0.25,0.0078336194825,54,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,412836593.646,897903.753292,412836593.646,413471507.479,412201679.814,412265171.197,413408016.096,2.0,806231150177.0,0.124972890913,0.00779026143228,95,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,408689480.358,468864.926716,408689480.358,409021017.927,408357942.789,408391096.546,408987864.17,2.0,219834319505.0,0.25,0.0078336194825,79,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,384247140.853,164716.71452,384247140.853,384363613.158,384130668.547,384142315.777,384351965.928,2.0,27131596042.4,0.124972890913,0.00389513071614,120,0.12500456621,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,383109402.532,160233.959563,383109402.532,383222705.052,382996100.013,383007430.265,383211374.8,2.0,25674921797.3,0.124972890913,0.00778969230155,40,0.24999086758,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,380118075.18,917550.196496,380118075.18,380766881.146,379469269.214,379534149.81,380702000.549,2.0,841898363090.0,0.25,0.00391680974125,104,0.12500456621,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,376159229.021,859001.084774,376159229.021,376766634.513,375551823.529,375612564.078,376705893.964,2.0,737882863642.0,0.124972890913,0.00389456158541,15,0.12498630137,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,353350493.698,1748356.33721,353350493.698,354586768.32,352114219.076,352237846.538,354463140.858,2.0,3056749881850.0,0.124972890913,0.00779026143228,65,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,324922901.504,570583.938454,324922901.504,325326365.276,324519437.732,324559784.109,325286018.899,2.0,325566030821.0,0.124972890913,0.00779026143228,90,0.25000913242,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,293466106.24,508022.134082,293466106.24,293825332.136,293106880.344,293142802.934,293789409.547,2.0,258086488717.0,0.124972890913,0.00389513071614,115,0.12500456621,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,292877489.119,2046258.77047,292877489.119,294324412.572,291430565.667,291575258.012,294179720.227,2.0,4187174955720.0,0.124972890913,0.00783134841011,35,0.24999086758,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,276907997.855,650043.046564,276907997.855,277367647.701,276448348.008,276494312.993,277321682.716,2.0,422555962387.0,0.124972890913,0.00391538811795,10,0.12498630137,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,263431446.746,783142.948945,263431446.746,263985212.436,262877681.056,262933057.625,263929835.867,2.0,613312878482.0,0.124972890913,0.00783192058432,60,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,232873987.121,1738166.90103,232873987.121,234103056.724,231644917.518,231767824.479,233980149.763,2.0,3021224175830.0,0.124972890913,0.00783192058432,85,0.25000913242,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,202108591.363,2336050.035,202108591.363,203760428.184,200456754.542,200621938.224,203595244.501,2.0,5457129766000.0,0.124972890913,0.00391596029216,110,0.12500456621,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,198389126.772,2834718.22153,198389126.772,200393575.249,196384678.295,196585123.142,200193130.401,2.0,8035627395490.0,0.124972890913,0.00391567420506,30,0.24999086758,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,177226046.101,143037.430891,177226046.101,177327188.838,177124903.363,177135017.637,177317074.564,2.0,20459706636.0,0.124972890913,0.00195769405898,5,0.12498630137,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,169413699.959,615685.867168,169413699.959,169849055.611,168978344.307,169021879.873,169805520.046,2.0,379069087031.0,0.124972890913,0.00391596029216,55,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,139555787.544,761914.766832,139555787.544,140094542.642,139017032.445,139070907.955,140040667.132,2.0,580514111917.0,0.124972890913,0.00391596029216,80,0.25000913242,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,109408500.315,1208422.64968,109408500.315,110262984.165,108554016.464,108639464.849,110177535.78,2.0,1460285300260.0,0.124972890913,0.00195798014608,105,0.12500456621,1.0563053673200001e-12,0.125333333333
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110399525434000.0,273218.17159,-110399525434000.0,-110399525241000.0,-110399525627000.0,-110399525608000.0,-110399525260000.0,2.0,74648169287.2,0.125027109087,0.00391708676789,6,0.12498630137,1.0563053673200001e-12,0.250666666667
