npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,prefix
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-204911581.507,258796.163136,-204911581.507,-204728584.985,-205094578.029,-205076278.377,-204746884.638,2.0,66975454054.0,0.00783247488584,0.12498630137,1.0563053673200001e-12,0.250666666667,0.25,7
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-205555823.06,519109.653103,-205555823.06,-205188757.104,-205922889.016,-205886182.42,-205225463.7,2.0,269474831945.0,0.00783192058432,0.25000913242,1.0563053673200001e-12,0.250666666667,0.124972890913,85
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-205750848.746,592731.17919,-205750848.746,-205331724.51,-206169972.982,-206128060.559,-205373636.933,2.0,351330250783.0,0.00779195129376,0.12500456621,1.0563053673200001e-12,0.249333333333,0.25,113
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-219439630.868,90704.5744826,-219439630.868,-219375493.048,-219503768.688,-219497354.906,-219381906.83,2.0,8227319832.07,0.015667238965,0.25000913242,1.0563053673200001e-12,0.250666666667,0.25,58
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-222654040.329,512603.226889,-222654040.329,-222291575.112,-223016505.547,-222980259.026,-222327821.633,2.0,262762068217.0,0.015667238965,0.25000913242,1.0563053673200001e-12,0.250666666667,0.25,84
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-228062270.267,59465.219339,-228062270.267,-228020222.008,-228104318.527,-228100113.701,-228024426.834,2.0,3536112311.03,0.0156660943683,0.24999086758,1.0563053673200001e-12,0.250666666667,0.25,32
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-234828871.656,265807.360919,-234828871.656,-234640917.469,-235016825.843,-234998030.425,-234659712.887,2.0,70653553118.7,0.00391596029216,0.12500456621,1.0563053673200001e-12,0.250666666667,0.124972890913,110
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-242178945.659,212910.317978,-242178945.659,-242028395.33,-242329495.989,-242314440.956,-242043450.363,2.0,45330803501.5,0.00391567420506,0.24999086758,1.0563053673200001e-12,0.125333333333,0.124972890913,30
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-247128392.511,4060.12858217,-247128392.511,-247125521.567,-247131263.456,-247130976.361,-247125808.661,2.0,16484644.1038,0.015667238965,0.25000913242,1.0563053673200001e-12,0.250666666667,0.25,83
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-251738684.921,1324535.67904,-251738684.921,-250802096.76,-252675273.082,-252581614.265,-250895755.576,2.0,1754394765060.0,0.0078336194825,0.12500456621,1.0563053673200001e-12,0.250666666667,0.25,109
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-255245204.307,983066.564197,-255245204.307,-254550071.273,-255940337.34,-255870824.037,-254619584.576,2.0,966419869642.0,0.00783304718417,0.24999086758,1.0563053673200001e-12,0.125333333333,0.25,29
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-255514591.495,188477.971201,-255514591.495,-255381317.443,-255647865.546,-255634538.141,-255394644.848,2.0,35523945628.2,0.015667238965,0.25000913242,1.0563053673200001e-12,0.250666666667,0.25,57
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-264917353.459,300751.431588,-264917353.459,-264704690.082,-265130016.836,-265108750.498,-264725956.42,2.0,90451423602.5,0.00195769405898,0.12498630137,1.0563053673200001e-12,0.125333333333,0.124972890913,5
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-270598674.865,878802.471341,-270598674.865,-269977267.678,-271220082.052,-271157941.333,-270039408.397,2.0,772293783635.0,0.00783304718417,0.24999086758,1.0563053673200001e-12,0.125333333333,0.25,28
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-272965911.868,88509.4766167,-272965911.868,-272903326.217,-273028497.519,-273022238.954,-272909584.782,2.0,7833927450.97,0.00391596029216,0.25000913242,1.0563053673200001e-12,0.125333333333,0.124972890913,55
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-273942678.458,205885.210298,-273942678.458,-273797095.63,-274088261.286,-274073703.003,-273811653.912,2.0,42388719819.5,0.0078336194825,0.12500456621,1.0563053673200001e-12,0.250666666667,0.25,108
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-282762363.236,357861.250431,-282762363.236,-282509317.12,-283015409.353,-282990104.742,-282534621.731,2.0,128064674560.0,0.015667238965,0.25000913242,1.0563053673200001e-12,0.250666666667,0.25,82
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-283226406.658,280321.191308,-283226406.658,-283028189.642,-283424623.673,-283404801.971,-283048011.344,2.0,78579970296.3,0.0078336194825,0.25000913242,1.0563053673200001e-12,0.125333333333,0.25,54
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-286567643.811,711918.114699,-286567643.811,-286064241.684,-287071045.937,-287020705.725,-286114581.897,2.0,506827402037.0,0.00391623744292,0.12498630137,1.0563053673200001e-12,0.125333333333,0.25,4
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-295293389.11,1300219.60697,-295293389.11,-294373995.009,-296212783.211,-296120843.801,-294465934.419,2.0,1690571026360.0,0.00783304718417,0.24999086758,1.0563053673200001e-12,0.125333333333,0.25,27
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-297685850.999,188540.530462,-297685850.999,-297552532.712,-297819169.287,-297805837.458,-297565864.54,2.0,35547531626.8,0.00391623744292,0.12498630137,1.0563053673200001e-12,0.125333333333,0.25,3
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-298994835.31,675601.610959,-298994835.31,-298517112.829,-299472557.79,-299424785.542,-298564885.077,2.0,456437536730.0,0.0078336194825,0.25000913242,1.0563053673200001e-12,0.125333333333,0.25,53
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-299493949.02,70781.8454563,-299493949.02,-299443898.697,-299543999.343,-299538994.31,-299448903.729,2.0,5010069646.2,0.00391596029216,0.25000913242,1.0563053673200001e-12,0.125333333333,0.124972890913,80
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-303005584.804,613488.144957,-303005584.804,-302571783.176,-303439386.431,-303396006.268,-302615163.339,2.0,376367704003.0,0.00391623744292,0.12498630137,1.0563053673200001e-12,0.125333333333,0.25,2
522.0,-522.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-304791499.222,13074.9292599,-304791499.222,-304782253.851,-304800744.594,-304799820.056,-304783178.388,2.0,170953775.152,0.00195854338395,0.12498630137,1.0563053673200001e-12,0.125333333333,0.125027109087,1
522.0,-428.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-310190278.187,226108.035262,-310190278.187,-310030395.662,-310350160.712,-310334172.46,-310046383.915,2.0,51124843610.1,0.0078336194825,0.12500456621,1.0563053673200001e-12,0.250666666667,0.25,107
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-310417053.623,1723819.38146,-310417053.623,-309198129.249,-311635977.997,-311514085.56,-309320021.686,2.0,2971553259910.0,0.0078336194825,0.25000913242,1.0563053673200001e-12,0.125333333333,0.25,79
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-321773514.869,32799.1027449,-321773514.869,-321750322.401,-321796707.337,-321794388.09,-321752641.648,2.0,1075781140.87,0.0078336194825,0.25000913242,1.0563053673200001e-12,0.125333333333,0.25,52
