smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-305548613.616,758137.495665,-305432412.597,-304778189.342,-306551439.926,-306416806.317,-304843102.341,4.0,574772462333.0,88,0.250003306843,0.249546279492,1.7334191682000001e-13,0.249981948155,0.0155957225633
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-311413924.406,2345207.90331,-311151524.192,-308828142.023,-314524507.219,-314020386.493,-309174822.62,4.0,5500000109760.0,66,0.250003306843,0.125226860254,1.7334191682000001e-13,0.250018051845,0.00782734744372
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-354090402.721,4968591.14883,-353054796.324,-349466242.703,-360785775.535,-359879465.727,-349751188.673,4.0,24686898004300.0,82,0.249996693157,0.249546279492,1.7334191682000001e-13,0.249981948155,0.0155953099878
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-356741836.22,2837073.07424,-357427155.042,-352911902.771,-359201132.026,-359102441.83,-353421784.26,4.0,8048983628600.0,99,0.125001984106,0.250453720508,1.7334191682000001e-13,0.249981948155,0.00782623784463
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-362362155.845,1672293.32922,-362123595.268,-360743782.705,-364457650.141,-364226867.107,-360831429.393,4.0,2796564978940.0,77,0.124994709051,0.249546279492,1.7334191682000001e-13,0.249981948155,0.00779742807743
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-369832938.285,4974863.4219,-368542846.534,-365732819.712,-376513240.362,-375644283.97,-365827721.054,4.0,24749266066600.0,115,0.250003306843,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00391310857042
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-375634239.19,5447709.2696,-376689156.011,-368082834.06,-381075810.678,-380461863.748,-369329731.083,4.0,29677536286100.0,104,0.124994709051,0.250453720508,1.7334191682000001e-13,0.124990974078,0.00391289118068
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-383952185.92,2431955.33277,-384301010.297,-380695709.087,-386511013.999,-386242049.308,-381173968.404,4.0,5914406740580.0,93,0.250003306843,0.249546279492,1.7334191682000001e-13,0.249981948155,0.0155957225633
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-393697380.781,1838841.71729,-394330497.483,-391000150.444,-395128377.714,-395023521.931,-391484876.249,4.0,3381338861250.0,71,0.125001984106,0.125226860254,1.7334191682000001e-13,0.250018051845,0.00391368407525
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-415605073.504,3321271.22252,-416587542.069,-410981710.47,-418263499.407,-418187012.644,-411647678.372,4.0,11030842533600.0,109,0.249996693157,0.250453720508,1.7334191682000001e-13,0.124990974078,0.00782601010299
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-436585432.23,4269546.66044,-435544413.253,-432632211.881,-442620690.533,-441631758.941,-432996532.086,4.0,18229028685700.0,87,0.250003306843,0.249546279492,1.7334191682000001e-13,0.249981948155,0.0155957225633
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-452784879.604,4069650.14093,-454314457.096,-446789133.081,-455721471.143,-455580325.792,-447848024.927,4.0,16562052269600.0,120,0.250003306843,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00391310857042
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-463675558.11,1920373.64634,-464004030.246,-461400102.379,-465294069.57,-465285813.332,-461605441.899,4.0,3687834941550.0,98,0.125001984106,0.249546279492,1.7334191682000001e-13,0.249981948155,0.00779788191041
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-499073472.794,3646995.13495,-498333223.263,-495648208.628,-503979236.023,-503316254.979,-495867039.953,4.0,13300573514400.0,81,0.249996693157,0.125226860254,1.7334191682000001e-13,0.249981948155,0.00782601010299
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-500407459.428,6964530.8124,-502997571.063,-490153442.03,-505481253.558,-505225299.15,-491963463.418,4.0,48504689436900.0,114,0.250003306843,0.250453720508,1.7334191682000001e-13,0.124990974078,0.00782621714084
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-517076919.887,3334635.85733,-516875940.102,-514040376.821,-520515422.521,-520340499.453,-514094712.019,4.0,11119796301000.0,92,0.250003306843,0.249546279492,1.7334191682000001e-13,0.249981948155,0.0155957225633
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-521845707.254,3674028.8407,-522608266.147,-516783427.675,-525382869.046,-525082591.035,-517541241.022,4.0,13498487922300.0,76,0.124994709051,0.125226860254,1.7334191682000001e-13,0.249981948155,0.00391289118068
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-530812945.003,5116830.40674,-529572843.81,-526074726.675,-538031365.716,-536863981.648,-526498050.027,4.0,26181953411300.0,125,0.125001984106,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00195655946116
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-545340713.735,3849163.64425,-545981924.479,-540153900.915,-549245105.067,-548884600.982,-540899131.446,4.0,14816060760200.0,103,0.124994709051,0.249546279492,1.7334191682000001e-13,0.124990974078,0.00389871403872
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-565403771.412,3840348.7712,-564811131.212,-561427111.335,-570565711.888,-569812901.571,-561824337.533,4.0,14748278684500.0,108,0.249996693157,0.249546279492,1.7334191682000001e-13,0.124990974078,0.00779765499392
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-577457391.395,4820369.199,-576668024.645,-572925855.506,-583567660.785,-582877902.298,-573141993.943,4.0,23235959214700.0,119,0.250003306843,0.250453720508,1.7334191682000001e-13,0.124990974078,0.00782621714084
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-582675784.946,3982584.05061,-583392784.135,-577604730.808,-586312840.708,-586167447.33,-578180323.699,4.0,15860975720100.0,86,0.250003306843,0.125226860254,1.7334191682000001e-13,0.249981948155,0.00782621714084
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-605432192.964,1665442.50141,-605371907.916,-603666999.369,-607317956.655,-607161955.241,-603786829.754,4.0,2773698725520.0,97,0.125001984106,0.249546279492,1.7334191682000001e-13,0.249981948155,0.00779788191041
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-645945918.761,7268790.36933,-645729909.628,-637498943.909,-654824911.876,-653764845.812,-638429404.494,4.0,52835313433300.0,113,0.250003306843,0.249546279492,1.7334191682000001e-13,0.124990974078,0.00779786128164
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-658580837.616,2673399.13277,-658702892.503,-655202025.833,-661715539.626,-661307203.061,-655683595.33,4.0,7147062923110.0,124,0.125001984106,0.250453720508,1.7334191682000001e-13,0.124990974078,0.00391311892231
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-663279793.918,1173570.41958,-663109263.116,-662106568.164,-664794081.275,-664608784.862,-662189546.096,4.0,1377267529710.0,91,0.250003306843,0.125226860254,1.7334191682000001e-13,0.249981948155,0.00782621714084
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-704357021.506,6399536.27794,-703210978.305,-697847993.129,-713158136.286,-711733836.359,-698584667.136,4.0,40954064572700.0,102,0.124994709051,0.249546279492,1.7334191682000001e-13,0.124990974078,0.00389871403872
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-715269009.299,7064191.74758,-715245243.441,-708066358.028,-722519192.285,-722141696.064,-708429594.734,4.0,49902805046600.0,107,0.249996693157,0.249546279492,1.7334191682000001e-13,0.124990974078,0.00779765499392
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-729024902.624,5737696.31785,-729514455.043,-721933909.47,-735136790.941,-734639527.831,-722724904.031,4.0,32921159035900.0,118,0.250003306843,0.249546279492,1.7334191682000001e-13,0.124990974078,0.00779786128164
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-747373916.682,2873198.3448,-747260804.774,-744548427.753,-750425629.427,-750240290.665,-744665899.37,4.0,8255268728590.0,96,0.125001984106,0.125226860254,1.7334191682000001e-13,0.249981948155,0.00391311892231
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-794321988.61,4480499.32409,-793993875.467,-789293202.214,-800007001.292,-799269391.776,-789833943.845,4.0,20074874193200.0,112,0.250003306843,0.249546279492,1.7334191682000001e-13,0.124990974078,0.00779786128164
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-809529240.686,3389430.97266,-809940522.298,-805036384.071,-813199534.075,-812783367.154,-805699319.961,4.0,11488242318400.0,123,0.125001984106,0.249546279492,1.7334191682000001e-13,0.124990974078,0.0038989409552
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-863989217.823,4637592.69081,-865462206.98,-857352045.922,-867680411.41,-867515568.303,-858400682.523,4.0,21507265965900.0,101,0.124994709051,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00195644559034
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-871941255.528,4854189.99564,-873007744.583,-865276555.246,-876472977.699,-876150485.447,-866238940.931,4.0,23563160513800.0,106,0.249996693157,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00391300505149
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-882820795.07,2691356.87568,-884086539.323,-878794520.289,-884315581.345,-884311358.592,-879558189.594,4.0,7243401832260.0,117,0.250003306843,0.249546279492,1.7334191682000001e-13,0.124990974078,0.00779786128164
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-954582816.602,6368388.24719,-955461597.451,-946897391.584,-960510679.922,-960293309.986,-947642030.029,4.0,40556368866900.0,111,0.250003306843,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00391310857042
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-968797855.798,4764149.79409,-970015494.912,-962046742.385,-973113690.984,-972750813.346,-963140203.492,4.0,22697123260500.0,122,0.125001984106,0.249546279492,1.7334191682000001e-13,0.124990974078,0.0038989409552
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1041555893.04,5064218.46093,-1039582835.98,-1038011869.41,-1049046030.77,-1047700854.63,-1038173211.32,4.0,25646308620000.0,116,0.250003306843,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00391310857042
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1122573513.47,6659555.61518,-1123001641.59,-1114019903.98,-1130270866.72,-1129235491.58,-1115312156.0,4.0,44349680991700.0,121,0.125001984106,0.125226860254,1.7334191682000001e-13,0.124990974078,0.00195655946116
