npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,421894661.924,1281083.50384,421894661.924,422800524.757,420988799.091,421079385.374,422709938.473,2.0,1641174943800.0,0.250005207258,41,0.125,0.00781266272682,1.17734560967e-13,0.25
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,363396926.44,31868.7020993,363396926.44,363419461.015,363374391.865,363376645.322,363417207.558,2.0,1015614173.5,0.125002603629,46,0.125,0.00390633136341,1.17734560967e-13,0.25
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153343788884.0,2261813.93142,-153343788884.0,-153342189540.0,-153345388228.0,-153345228293.0,-153342349474.0,2.0,5115802260360.0,0.124993135887,105,0.125,0.00195301774823,1.17734560967e-13,0.125
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153411285054.0,3052019.91961,-153411285054.0,-153409126950.0,-153413443158.0,-153413227348.0,-153409342761.0,2.0,9314825589720.0,0.249994792742,110,0.125,0.00390616863659,1.17734560967e-13,0.125
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153477936853.0,10961179.7155,-153477936853.0,-153470186129.0,-153485687578.0,-153484912505.0,-153470961201.0,2.0,120147460755000.0,0.250004260484,115,0.125,0.00390631657006,1.17734560967e-13,0.125
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153525953813.0,1607104.96276,-153525953813.0,-153524817418.0,-153527090208.0,-153526976568.0,-153524931058.0,2.0,2582786361320.0,0.250005207258,120,0.125,0.00390633136341,1.17734560967e-13,0.125
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153582825562.0,24858958.2385,-153582825562.0,-153565247624.0,-153600403500.0,-153598645706.0,-153567005418.0,2.0,617967804703000.0,0.125002603629,125,0.125,0.00195316568171,1.17734560967e-13,0.125
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153650507251.0,11181110.8432,-153650507251.0,-153642601012.0,-153658413490.0,-153657622866.0,-153643391636.0,2.0,125017239688000.0,0.124993135887,79,0.25,0.00781207099292,1.17734560967e-13,0.25
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153696658081.0,10751179.8355,-153696658081.0,-153689055849.0,-153704260313.0,-153703500090.0,-153689816072.0,2.0,115587867856000.0,0.249994792742,84,0.25,0.0156246745464,1.17734560967e-13,0.25
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153767893053.0,4683410.01802,-153767893053.0,-153764581382.0,-153771204724.0,-153770873557.0,-153764912549.0,2.0,21934329396900.0,0.250004260484,89,0.25,0.0156252662803,1.17734560967e-13,0.25
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153822730242.0,4515121.30005,-153822730242.0,-153819537569.0,-153825922915.0,-153825603647.0,-153819856836.0,2.0,20386320354200.0,0.250005207258,94,0.25,0.0156253254536,1.17734560967e-13,0.25
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153876668509.0,2993761.57042,-153876668509.0,-153874551599.0,-153878785418.0,-153878573727.0,-153874763290.0,2.0,8962608340500.0,0.125002603629,99,0.25,0.00781266272682,1.17734560967e-13,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153909042544.0,1430152.22487,-153909042544.0,-153908031273.0,-153910053814.0,-153909952687.0,-153908132400.0,2.0,2045335386300.0,0.124993135887,53,0.25,0.00781207099292,1.17734560967e-13,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-153969019529.0,10026544.26,-153969019529.0,-153961929692.0,-153976109366.0,-153975400383.0,-153962638675.0,2.0,100531589797000.0,0.249994792742,58,0.25,0.0156246745464,1.17734560967e-13,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-154031231431.0,5822866.32644,-154031231431.0,-154027114043.0,-154035348819.0,-154034937081.0,-154027525782.0,2.0,33905772255500.0,0.250004260484,63,0.25,0.0156252662803,1.17734560967e-13,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-154087360820.0,124494.927759,-154087360820.0,-154087272789.0,-154087448851.0,-154087440048.0,-154087281592.0,2.0,15498987037.7,0.250005207258,68,0.25,0.0156253254536,1.17734560967e-13,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-154137165497.0,11443068.6569,-154137165497.0,-154129074026.0,-154145256969.0,-154144447822.0,-154129883173.0,2.0,130943820286000.0,0.125002603629,73,0.25,0.00781266272682,1.17734560967e-13,0.25
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-154170115370.0,5591842.15364,-154170115370.0,-154166161341.0,-154174069400.0,-154173673997.0,-154166556744.0,2.0,31268698671200.0,0.124993135887,27,0.25,0.00781207099292,1.17734560967e-13,0.25
