smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1504053611.98,4834008.60278,-1504586326.46,-1498436716.93,-1508605078.06,-1508443045.81,-1498918377.87,4.0,23367639171700.0,1.7334191682000001e-13,66,0.250018051845,0.250003306843,0.125226860254,0.00782734744372
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1527693789.72,3976965.33986,-1526999127.59,-1523617831.75,-1533159071.94,-1532238272.68,-1524121833.74,4.0,15816253314400.0,1.7334191682000001e-13,71,0.250018051845,0.125001984106,0.125226860254,0.00391368407525
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1545722298.23,2677190.40999,-1545867424.41,-1542304896.33,-1548849447.77,-1548407144.34,-1542834275.47,4.0,7167348491340.0,1.7334191682000001e-13,51,0.250018051845,0.124994709051,0.125226860254,0.00391345630072
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1549020337.13,5805633.10688,-1549579280.11,-1541584742.64,-1555338045.66,-1554718177.74,-1542539976.35,4.0,33705375771700.0,1.7334191682000001e-13,84,0.249981948155,0.249996693157,0.250453720508,0.015652020206
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1549190399.28,5024473.00398,-1551196666.28,-1541728657.47,-1552639607.09,-1552458527.01,-1543113497.74,4.0,25245328967700.0,1.7334191682000001e-13,79,0.249981948155,0.124994709051,0.250453720508,0.00782578236135
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1550771671.21,5401954.31273,-1550171846.43,-1546143711.66,-1556599280.31,-1556229936.64,-1546153160.46,4.0,29181110396900.0,1.7334191682000001e-13,89,0.249981948155,0.250003306843,0.250453720508,0.0156524342817
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1563516930.84,4516924.40648,-1562371006.5,-1559452348.65,-1569873361.74,-1568884520.44,-1559753635.33,4.0,20402606093900.0,1.7334191682000001e-13,94,0.249981948155,0.250003306843,0.250453720508,0.0156524342817
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1585890449.06,2952482.8465,-1587074241.01,-1581512506.23,-1587900807.99,-1587816624.1,-1582306965.3,4.0,8717154958900.0,1.7334191682000001e-13,99,0.249981948155,0.125001984106,0.250453720508,0.00782623784463
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1651074369.77,4409999.44789,-1652284761.45,-1645051390.18,-1654676566.0,-1654581088.87,-1645873102.32,4.0,19448095130400.0,1.7334191682000001e-13,83,0.249981948155,0.249996693157,0.249546279492,0.0155953099878
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1667664721.61,2474645.44478,-1667752488.71,-1664848206.7,-1670305702.31,-1670119691.15,-1665086878.13,4.0,6123870077380.0,1.7334191682000001e-13,88,0.249981948155,0.250003306843,0.249546279492,0.0155957225633
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1686611885.8,5139130.57756,-1685236134.83,-1682024782.48,-1693950491.08,-1692721995.7,-1682427827.28,4.0,26410663093200.0,1.7334191682000001e-13,93,0.249981948155,0.250003306843,0.249546279492,0.0155957225633
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1692192257.07,1340950.80129,-1692655109.73,-1690252340.86,-1693206467.98,-1693168018.47,-1690568501.95,4.0,1798149051480.0,1.7334191682000001e-13,78,0.249981948155,0.124994709051,0.249546279492,0.00779742807743
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1707512057.27,4470806.43166,-1707116374.26,-1703156377.2,-1712659103.37,-1712227200.75,-1703350870.02,4.0,19988110149400.0,1.7334191682000001e-13,98,0.249981948155,0.125001984106,0.249546279492,0.00779788191041
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1768267495.73,3056930.15138,-1769226358.76,-1763907060.52,-1770710204.89,-1770604560.93,-1764588022.3,4.0,9344821950390.0,1.7334191682000001e-13,82,0.249981948155,0.249996693157,0.249546279492,0.0155953099878
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1788134630.33,1726615.20056,-1788707324.03,-1785649260.88,-1789474612.37,-1789419051.44,-1786048438.04,4.0,2981200050820.0,1.7334191682000001e-13,87,0.249981948155,0.250003306843,0.249546279492,0.0155957225633
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1808661874.05,6553990.07978,-1806360340.2,-1803860518.91,-1818066296.89,-1816586461.7,-1803959433.79,4.0,42954785965800.0,1.7334191682000001e-13,105,0.124990974078,0.124994709051,0.125226860254,0.00195644559034
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1812838243.75,6552575.53379,-1814267836.72,-1804640888.47,-1818176413.07,-1818161591.0,-1805513466.33,4.0,42936246126100.0,1.7334191682000001e-13,110,0.124990974078,0.249996693157,0.125226860254,0.00391300505149
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1815782721.02,6172578.95799,-1817009067.25,-1807650347.46,-1821462402.12,-1821175355.62,-1808673201.71,4.0,38100730992600.0,1.7334191682000001e-13,92,0.249981948155,0.250003306843,0.249546279492,0.0155957225633
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1826916106.31,2717875.42054,-1827069238.67,-1823446657.46,-1830079290.45,-1829656011.42,-1823961815.9,4.0,7386846801560.0,1.7334191682000001e-13,77,0.249981948155,0.124994709051,0.249546279492,0.00779742807743
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1828067030.48,5524440.66285,-1825999800.15,-1824047035.87,-1836221485.75,-1834751513.89,-1824276669.53,4.0,30519444637300.0,1.7334191682000001e-13,115,0.124990974078,0.250003306843,0.125226860254,0.00391310857042
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1847528543.67,4227430.72183,-1847413674.47,-1842511686.7,-1852775139.03,-1852071066.39,-1843146837.82,4.0,17871170507900.0,1.7334191682000001e-13,97,0.249981948155,0.125001984106,0.249546279492,0.00779788191041
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1851860945.8,6266311.09992,-1851880896.83,-1844285334.91,-1859396654.64,-1858471161.66,-1845222798.5,4.0,39266654801000.0,1.7334191682000001e-13,120,0.124990974078,0.250003306843,0.125226860254,0.00391310857042
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1887926514.09,3296006.14177,-1889013605.21,-1883202450.06,-1890476395.88,-1890382868.17,-1883948232.43,4.0,10863656486600.0,1.7334191682000001e-13,125,0.124990974078,0.125001984106,0.125226860254,0.00195655946116
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1891317861.55,1033997.16667,-1891362377.6,-1890145485.22,-1892401205.77,-1892331248.27,-1890242152.36,4.0,1069150140670.0,1.7334191682000001e-13,81,0.249981948155,0.249996693157,0.125226860254,0.00782601010299
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1915865855.9,6177635.29111,-1913256907.34,-1911895437.39,-1925054171.53,-1923372491.43,-1912011748.36,4.0,38163177790000.0,1.7334191682000001e-13,86,0.249981948155,0.250003306843,0.125226860254,0.00782621714084
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1939630577.25,6040787.43638,-1938079064.53,-1934596254.88,-1947767925.07,-1946698463.02,-1934734809.3,4.0,36491112851500.0,1.7334191682000001e-13,109,0.124990974078,0.249996693157,0.250453720508,0.00782601010299
