smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,760634263.969,309217.941553,760634263.969,760852914.072,760415613.866,760437478.876,760831049.062,2.0,95615735378.0,1.2171516948100001e-13,0.0833344030397,43,0.0833341171768,0.0833064516129,0.000578529892881
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,753433800.387,1742887.86603,753433800.387,754666208.216,752201392.558,752324633.341,754542967.433,2.0,3037658113560.0,1.2171516948100001e-13,0.166668806079,72,0.166668234354,0.166693548387,0.00463047933624
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,747436142.946,1883689.55339,747436142.946,748768112.603,746104173.289,746237370.255,748634915.637,2.0,3548286333550.0,1.2171516948100001e-13,0.166668806079,64,0.166668822236,0.0833064516129,0.00231412773403
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,693192466.96,1484198.63758,693192466.96,694241953.881,692142980.039,692247928.731,694137005.189,2.0,2202845595780.0,1.2171516948100001e-13,0.166668806079,79,0.166668822236,0.166693548387,0.00463049566916
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,691620854.268,181485.050754,691620854.268,691749183.578,691492524.958,691505357.889,691736350.647,2.0,32936823647.2,1.2171516948100001e-13,0.16666559696,108,0.16666294341,0.166693548387,0.00463024318543
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,686168375.421,371910.940205,686168375.421,686431356.169,685905394.673,685931692.748,686405058.094,2.0,138317747444.0,1.2171516948100001e-13,0.166668806079,71,0.166668234354,0.0833064516129,0.00231411957152
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,634353707.06,1217284.58828,634353707.06,635214457.247,633492956.873,633579031.892,635128382.229,2.0,1481781768850.0,1.2171516948100001e-13,0.166668806079,86,0.166668822236,0.166693548387,0.00463049566916
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,628294181.173,2730167.82074,628294181.173,630224701.353,626363660.993,626556713.011,630031649.335,2.0,7453816329430.0,1.2171516948100001e-13,0.16666559696,115,0.166668822236,0.166693548387,0.00463040651143
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,627470099.004,4407327.44485,627470099.004,630586550.127,624353647.881,624665292.993,630274905.015,2.0,19424535206100.0,1.2171516948100001e-13,0.166668806079,78,0.166668822236,0.0833064516129,0.00231412773403
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,627435162.899,4465083.14604,627435162.899,630592453.47,624277872.328,624593601.385,630276724.413,2.0,19936967501000.0,1.2171516948100001e-13,0.16666559696,100,0.0833282383511,0.166693548387,0.00231503176341
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,622521363.095,2320375.92392,622521363.095,624162116.646,620880609.544,621044684.899,623998041.291,2.0,5384144428320.0,1.2171516948100001e-13,0.16666559696,107,0.16666294341,0.166693548387,0.00463024318543
720.0,-601.8,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,573909488.132,220448.334113,573909488.132,574065368.644,573753607.62,573769195.671,574049780.592,2.0,48597468013.4,1.2171516948100001e-13,0.166668806079,93,0.0833341171768,0.166693548387,0.00231523966812
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,569589120.162,350220.041213,569589120.162,569836763.128,569341477.196,569366241.492,569811998.831,2.0,122654077267.0,1.2171516948100001e-13,0.16666559696,122,0.166668234354,0.166693548387,0.00463039017883
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,565786648.514,122315.48268,565786648.514,565873138.621,565700158.407,565708807.418,565864489.611,2.0,14961077303.1,1.2171516948100001e-13,0.166668806079,85,0.166668822236,0.0833064516129,0.00231412773403
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,561302646.119,1415152.50122,561302646.119,562303310.049,560301982.189,560402048.582,562203243.656,2.0,2002656601710.0,1.2171516948100001e-13,0.16666559696,114,0.166668822236,0.166693548387,0.00463040651143
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,538155595.343,1781949.26358,538155595.343,539415623.751,536895566.935,537021569.776,539289620.911,2.0,3175343177990.0,1.2171516948100001e-13,0.16666559696,106,0.16666294341,0.0833064516129,0.00231400155324
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,507348304.946,3364511.74791,507348304.946,509727374.019,504969235.874,505207142.781,509489467.111,2.0,11319939301800.0,1.2171516948100001e-13,0.16666559696,158,0.16666294341,0.166612903226,0.00462800310648
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,507152456.664,1621313.51738,507152456.664,508298898.446,506006014.881,506120659.059,508184254.268,2.0,2628657521640.0,1.2171516948100001e-13,0.16666559696,129,0.166668822236,0.166693548387,0.00463040651143
720.0,-705.1,-15122.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,505407619.848,1916093.94203,505407619.848,506762502.868,504052736.828,504188225.13,506627014.566,2.0,3671415994700.0,1.2171516948100001e-13,0.166668806079,92,0.0833341171768,0.0833064516129,0.00115705978576
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,504328523.762,319545.78491,504328523.762,504554476.753,504102570.77,504125166.069,504531881.454,2.0,102109508654.0,1.2171516948100001e-13,0.16666559696,99,0.0833282383511,0.0833064516129,0.0011569558837
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,500832951.658,1656969.61344,500832951.658,502004606.108,499661297.208,499778462.653,501887440.663,2.0,2745548299880.0,1.2171516948100001e-13,0.16666559696,121,0.166668234354,0.166693548387,0.00463039017883
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,476671804.038,1668761.53564,476671804.038,477851796.637,475491811.44,475609810.7,477733797.377,2.0,2784765062830.0,1.2171516948100001e-13,0.16666559696,113,0.166668822236,0.0833064516129,0.00231408317673
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,450555559.936,2076523.81665,450555559.936,452023884.008,449087235.864,449234068.271,451877051.601,2.0,4311951161110.0,1.2171516948100001e-13,0.16666559696,136,0.166668822236,0.166693548387,0.00463040651143
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,448987051.662,5062284.21203,448987051.662,452566627.157,445407476.168,445765433.717,452208669.608,2.0,25626721443400.0,1.2171516948100001e-13,0.16666559696,165,0.166668822236,0.166612903226,0.00462816635347
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,443678561.025,8466260.23274,443678561.025,449665111.047,437692011.003,438290666.006,449066456.045,2.0,71677562328400.0,1.2171516948100001e-13,0.16666559696,150,0.0833282383511,0.166693548387,0.00231503176341
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,440388920.001,1274979.3696,440388920.001,441290466.559,439487373.443,439577528.099,441200311.904,2.0,1625572392910.0,1.2171516948100001e-13,0.16666559696,128,0.166668822236,0.166693548387,0.00463040651143
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,437586127.548,4611732.03998,437586127.548,440847114.546,434325140.549,434651239.249,440521015.846,2.0,21268072408600.0,1.2171516948100001e-13,0.16666559696,157,0.16666294341,0.166693548387,0.00463024318543
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,418562176.991,1260129.35584,418562176.991,419453223.003,417671130.978,417760235.579,419364118.402,2.0,1587925993460.0,1.2171516948100001e-13,0.16666559696,120,0.166668234354,0.0833064516129,0.00231407501438
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,391333821.398,4369291.68223,391333821.398,394423377.176,388244265.621,388553221.199,394114421.598,2.0,19090709804400.0,1.2171516948100001e-13,0.166668806079,201,0.0833282383511,0.166693548387,0.00231507633897
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,390607142.102,6042774.57102,390607142.102,394880028.979,386334255.226,386761543.913,394452740.291,2.0,36515124516100.0,1.2171516948100001e-13,0.16666559696,172,0.166668234354,0.166612903226,0.00462815002877
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,389722836.355,3260072.115,389722836.355,392028055.455,387417617.256,387648139.166,391797533.545,2.0,10628070195000.0,1.2171516948100001e-13,0.16666559696,143,0.0833341171768,0.166693548387,0.00231519508941
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,380112406.11,1196999.03766,380112406.11,380958812.246,379265999.973,379350640.587,380874171.632,2.0,1432806696150.0,1.2171516948100001e-13,0.16666559696,135,0.166668822236,0.166693548387,0.00463040651143
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,372636163.89,4920554.06036,372636163.89,376115521.033,369156806.746,369504742.461,375767585.319,2.0,24211852260900.0,1.2171516948100001e-13,0.16666559696,164,0.166668822236,0.166693548387,0.00463040651143
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,356713157.244,381974.807036,356713157.244,356983254.22,356443060.268,356470069.965,356956244.523,2.0,145904753210.0,1.2171516948100001e-13,0.16666559696,127,0.166668822236,0.0833064516129,0.00231408317673
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,346446784.58,4002124.81757,346446784.58,349276714.178,343616854.983,343899847.942,348993721.218,2.0,16017003055400.0,1.2171516948100001e-13,0.16666559696,156,0.16666294341,0.166693548387,0.00463024318543
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,333144107.261,5631705.95204,333144107.261,337126324.729,329161889.793,329560111.539,336728102.982,2.0,31716111930300.0,1.2171516948100001e-13,0.166668806079,208,0.16666294341,0.166693548387,0.00463033234001
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,332672583.35,6472657.26701,332672583.35,337249443.195,328095723.504,328553409.488,336791757.211,2.0,41895292096200.0,1.2171516948100001e-13,0.16666559696,179,0.166668822236,0.166612903226,0.00462816635347
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,324066937.141,2585189.4237,324066937.141,325894942.113,322238932.169,322421732.666,325712141.616,2.0,6683204356420.0,1.2171516948100001e-13,0.16666559696,149,0.0833282383511,0.166693548387,0.00231503176341
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,319426401.263,1683089.769,319426401.263,320616525.452,318236277.074,318355289.493,320497513.033,2.0,2832791170510.0,1.2171516948100001e-13,0.16666559696,171,0.166668234354,0.166693548387,0.00463039017883
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,318929610.111,3147726.98053,318929610.111,321155389.204,316703831.018,316926408.927,320932811.295,2.0,9908185143980.0,1.2171516948100001e-13,0.16666559696,142,0.0833341171768,0.166693548387,0.00231519508941
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,291918214.116,500021.635588,291918214.116,292271782.805,291564645.427,291600002.296,292236425.936,2.0,250021636056.0,1.2171516948100001e-13,0.16666559696,163,0.166668822236,0.166693548387,0.00463040651143
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,290956488.655,1869937.76943,290956488.655,292278734.332,289634242.978,289766467.545,292146509.764,2.0,3496667261540.0,1.2171516948100001e-13,0.16666559696,134,0.166668822236,0.0833064516129,0.00231408317673
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,273199730.089,1588991.06354,273199730.089,274323316.445,272076143.732,272188502.368,274210957.809,2.0,2524892600030.0,1.2171516948100001e-13,0.16666559696,186,0.166668822236,0.166612903226,0.00462816635347
720.0,-395.1,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,267413360.483,2664013.30486,267413360.483,269297102.356,265529618.61,265717992.797,269108728.169,2.0,7096966888470.0,1.2171516948100001e-13,0.166668806079,200,0.0833282383511,0.166612903226,0.00231395632139
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,266671646.87,1733892.66627,266671646.87,267897694.132,265445599.608,265568204.334,267775089.406,2.0,3006383778130.0,1.2171516948100001e-13,0.166668806079,215,0.166668822236,0.166693548387,0.00463049566916
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,257166133.549,144472.333895,257166133.549,257268290.916,257063976.182,257074191.919,257258075.18,2.0,20872255261.2,1.2171516948100001e-13,0.16666559696,178,0.166668822236,0.166693548387,0.00463040651143
720.0,-395.1,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,252634268.817,1532833.53986,252634268.817,253718145.808,251550391.827,251658779.526,253609758.109,2.0,2349578660920.0,1.2171516948100001e-13,0.166668806079,207,0.16666294341,0.166612903226,0.00462809221793
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,245102843.003,4023374.08312,245102843.003,247947798.1,242257887.905,242542383.415,247663302.591,2.0,16187539012700.0,1.2171516948100001e-13,0.16666559696,155,0.16666294341,0.0833064516129,0.00231400155324
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,231663444.85,412079.40816,231663444.85,231954828.994,231372060.707,231401199.121,231925690.58,2.0,169809438629.0,1.2171516948100001e-13,0.16666559696,141,0.0833341171768,0.0833064516129,0.00115703750719
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,224162303.837,4817557.18031,224162303.837,227568831.188,220755776.486,221096429.221,227228178.453,2.0,23208857185500.0,1.2171516948100001e-13,0.16666559696,170,0.166668234354,0.166693548387,0.00463039017883
720.0,-395.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,208914191.651,4572274.67419,208914191.651,212147278.079,205681105.223,206004413.866,211823969.436,2.0,20905695696300.0,1.2171516948100001e-13,0.16666559696,193,0.0833341171768,0.166612903226,0.00231407501438
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,208558748.7,3111799.32443,208558748.7,210759123.104,206358374.296,206578411.736,210539085.663,2.0,9683295035530.0,1.2171516948100001e-13,0.166668806079,222,0.166668234354,0.166693548387,0.00463047933624
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,200876101.914,594663.112991,200876101.914,201296592.233,200455611.594,200497660.626,201254543.201,2.0,353624217953.0,1.2171516948100001e-13,0.16666559696,148,0.0833282383511,0.0833064516129,0.0011569558837
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,195989600.8,4629050.28769,195989600.8,199262833.649,192716367.951,193043691.236,198935510.364,2.0,21428106566000.0,1.2171516948100001e-13,0.16666559696,185,0.166668822236,0.166693548387,0.00463040651143
720.0,-395.1,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,195453008.632,2870728.57116,195453008.632,197482920.272,193423096.993,193626088.157,197279929.108,2.0,8241082529250.0,1.2171516948100001e-13,0.166668806079,214,0.166668822236,0.166612903226,0.00462825546806
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,186174088.301,1203186.57633,186174088.301,187024869.689,185323306.914,185408385.053,186939791.55,2.0,1447657937470.0,1.2171516948100001e-13,0.16666559696,162,0.166668822236,0.0833064516129,0.00231408317673
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,163253710.187,4497673.19283,163253710.187,166434045.401,160073374.973,160391408.494,166116011.88,2.0,20229064149500.0,1.2171516948100001e-13,0.16666559696,177,0.166668822236,0.166693548387,0.00463040651143
720.0,-188.4,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,159253676.6,9891410.369,159253676.6,166247959.948,152259393.253,152958821.588,165548531.613,2.0,97839999087900.0,1.2171516948100001e-13,0.16666559696,258,0.16666294341,0.166693548387,0.00463024318543
720.0,-498.4,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,155774379.719,1009080.89132,155774379.719,156487907.66,155060851.778,155132204.572,156416554.866,2.0,1018244245220.0,1.2171516948100001e-13,0.166668806079,206,0.16666294341,0.166693548387,0.00463033234001
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,150644771.771,4018380.88088,150644771.771,153486196.142,147803347.401,148087489.838,153202053.705,2.0,16147384903900.0,1.2171516948100001e-13,0.166668806079,229,0.166668822236,0.166693548387,0.00463049566916
720.0,-498.4,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,147982230.129,1652737.75101,147982230.129,149150892.201,146813568.058,146930434.265,149034025.993,2.0,2731542073610.0,1.2171516948100001e-13,0.166668806079,199,0.0833282383511,0.166693548387,0.00231507633897
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,136480905.738,2995320.85394,136480905.738,138598917.425,134362894.05,134574695.219,138387116.256,2.0,8971947018060.0,1.2171516948100001e-13,0.16666559696,192,0.0833341171768,0.166693548387,0.00231519508941
720.0,-395.1,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,135254452.019,5055610.98822,135254452.019,138829308.832,131679595.206,132037080.888,138471823.151,2.0,25559202464200.0,1.2171516948100001e-13,0.166668806079,221,0.166668234354,0.166612903226,0.00462823914304
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,126734293.242,1472950.91967,126734293.242,127775826.825,125692759.658,125796913.016,127671673.467,2.0,2169584411770.0,1.2171516948100001e-13,0.16666559696,169,0.166668234354,0.0833064516129,0.00231407501438
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,708767.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,108348747.39,714209.06207,108348747.39,108853769.461,107843725.319,107894227.526,108803267.254,2.0,510094584343.0,1.2171516948100001e-13,0.16666559696,184,0.166668822236,0.166693548387,0.00463040651143
720.0,-188.4,-4735.3,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,107868315.991,3486685.18651,107868315.991,110333774.731,105402857.252,105649403.126,110087228.857,2.0,12156973589800.0,1.2171516948100001e-13,0.16666559696,265,0.166668822236,0.166693548387,0.00463040651143
