smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1428258929.84,3885766.48989,-1429050800.2,-1423355912.72,-1431578206.24,-1431517050.29,-1423892190.89,4.0,15099181214000.0,0.00195644559034,0.124994709051,1.7334191682000001e-13,0.124990974078,0.125226860254,101
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1428645078.23,2458335.90839,-1429014281.3,-1425695717.44,-1430856032.85,-1430798959.47,-1425974312.68,4.0,6043415438480.0,0.00779742807743,0.124994709051,1.7334191682000001e-13,0.249981948155,0.249546279492,77
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1436093945.39,3554990.76836,-1435819537.4,-1432288644.61,-1440448062.14,-1439974355.66,-1432597706.3,4.0,12637959363100.0,0.00391300505149,0.249996693157,1.7334191682000001e-13,0.124990974078,0.125226860254,106
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1447914792.38,3802705.82371,-1448100870.24,-1443496280.01,-1451961149.04,-1451670953.85,-1443898121.92,4.0,14460571581700.0,0.00779786128164,0.250003306843,1.7334191682000001e-13,0.124990974078,0.249546279492,117
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1452312376.33,5487972.54043,-1451281676.1,-1447607104.02,-1459079049.1,-1458387345.53,-1447680387.46,4.0,30117842604500.0,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249981948155,0.249546279492,93
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1503715130.95,3932867.57264,-1504692453.01,-1498555959.4,-1506919658.37,-1506878096.38,-1499183914.63,4.0,15467447343900.0,0.0155975623434,0.249996693157,1.7334191682000001e-13,0.250018051845,0.249546279492,58
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1504576405.13,3339932.81582,-1504875695.39,-1500224052.4,-1508330177.34,-1507865305.12,-1500868498.78,4.0,11155151214200.0,0.0155957225633,0.250003306843,1.7334191682000001e-13,0.249981948155,0.249546279492,87
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1518565001.0,6014927.63853,-1517188493.45,-1513196233.02,-1526686784.09,-1525596804.19,-1513460308.39,4.0,36179354496700.0,0.00391310857042,0.250003306843,1.7334191682000001e-13,0.124990974078,0.125226860254,111
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1527774455.75,8153669.23183,-1528025150.94,-1519825762.95,-1535221758.19,-1535094957.47,-1520102980.78,4.0,66482321942100.0,0.0038989409552,0.125001984106,1.7334191682000001e-13,0.124990974078,0.249546279492,122
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1534940834.95,2882371.2199,-1535417793.84,-1531332914.64,-1537594837.48,-1537490979.0,-1531722948.46,4.0,8308063849280.0,0.00779788191041,0.125001984106,1.7334191682000001e-13,0.249981948155,0.249546279492,98
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1564485957.24,3927904.75855,-1563743524.94,-1560686117.08,-1569770662.0,-1569044580.4,-1560966739.3,4.0,15428435792200.0,0.00782601010299,0.249996693157,1.7334191682000001e-13,0.249981948155,0.125226860254,81
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1582114523.25,2988246.72857,-1582365613.43,-1578898781.66,-1584828084.45,-1584776174.81,-1579101345.43,4.0,8929618510830.0,0.0155979749784,0.250003306843,1.7334191682000001e-13,0.250018051845,0.249546279492,63
