smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1792316055.69,180502.826493,-1792316055.69,-1792188420.92,-1792443690.47,-1792430926.99,-1792201184.4,2.0,32581270371.9,153,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1796448979.32,6257334.66266,-1796448979.32,-1792024375.55,-1800873583.09,-1800431122.71,-1792466835.92,2.0,39154237080500.0,129,0.142857142857,0.000728990076317,2.43433201164e-13,0.071417989418,0.0714516129032
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1810561366.88,14960733.4836,-1810561366.88,-1799982530.78,-1821140202.98,-1820082319.37,-1801040414.39,2.0,223823546369000.0,204,0.142857142857,0.00291622434079,2.43433201164e-13,0.142848912404,0.142903225806
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1813249833.66,4318178.00861,-1813249833.66,-1810196420.71,-1816303246.61,-1815997905.32,-1810501762.0,2.0,18646661314000.0,178,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1830427986.81,2111721.88803,-1830427986.81,-1828934773.94,-1831921199.67,-1831771878.39,-1829084095.23,2.0,4459369332370.0,212,0.142857142857,0.00291646437308,2.43433201164e-13,0.142860670194,0.142903225806
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1831033363.53,2206342.02716,-1831033363.53,-1829473244.12,-1832593482.94,-1832437471.0,-1829629256.06,2.0,4867945140830.0,161,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1849364341.91,3934957.60547,-1849364341.91,-1846581906.7,-1852146777.12,-1851868533.6,-1846860150.22,2.0,15483891356900.0,186,0.142857142857,0.00145742125126,2.43433201164e-13,0.0714309229865,0.142822580645
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1857882594.58,3595968.01806,-1857882594.58,-1855339861.21,-1860425327.95,-1860171054.62,-1855594134.55,2.0,12930985986900.0,169,0.142857142857,0.00145822018493,2.43433201164e-13,0.142859494415,0.0714516129032
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1864002744.86,7145539.20922,-1864002744.86,-1858950085.63,-1869055404.09,-1868550138.17,-1859455351.56,2.0,51058730590500.0,203,0.142857142857,0.00291457861599,2.43433201164e-13,0.142848912404,0.142822580645
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1875889447.88,10571575.7942,-1875889447.88,-1868414214.94,-1883364680.81,-1882617157.52,-1869161738.24,2.0,111758214773000.0,220,0.142857142857,0.00291646437308,2.43433201164e-13,0.142860670194,0.142903225806
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1882555876.82,106847.281255,-1882555876.82,-1882480324.38,-1882631429.26,-1882623874.01,-1882487879.63,2.0,11416341511.5,228,0.142857142857,0.00291646437308,2.43433201164e-13,0.142860670194,0.142903225806
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1882641644.27,6471736.70138,-1882641644.27,-1878065435.36,-1887217853.17,-1886760232.28,-1878523056.25,2.0,41883375932000.0,177,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1884270631.18,16109745.2657,-1884270631.18,-1872879321.06,-1895661941.3,-1894522810.29,-1874018452.07,2.0,259523892526000.0,195,0.142857142857,0.00145715736474,2.43433201164e-13,0.071417989418,0.142822580645
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1896419538.8,4536705.43457,-1896419538.8,-1893211603.63,-1899627473.98,-1899306680.46,-1893532397.14,2.0,20581696200100.0,211,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1914416008.13,9419993.10889,-1914416008.13,-1907755067.12,-1921076949.13,-1920410855.03,-1908421161.22,2.0,88736270171600.0,185,0.142857142857,0.000729122094079,2.43433201164e-13,0.0714309229865,0.0714516129032
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1914731413.72,2619092.65806,-1914731413.72,-1912879435.54,-1916583391.9,-1916398194.08,-1913064633.36,2.0,6859646351510.0,219,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1925506515.0,803895.471161,-1925506515.0,-1924938075.06,-1926074954.94,-1926018110.95,-1924994919.06,2.0,646247928552.0,202,0.142857142857,0.00291457861599,2.43433201164e-13,0.142848912404,0.142822580645
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1934119835.71,10760473.2137,-1934119835.71,-1926511032.13,-1941728639.29,-1940967758.93,-1927271912.49,2.0,115787783784000.0,236,0.142857142857,0.00291644036986,2.43433201164e-13,0.142859494415,0.142903225806
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1950701241.89,7986001.00438,-1950701241.89,-1945054286.42,-1956348197.35,-1955783501.8,-1945618981.97,2.0,63776212041900.0,227,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1962393952.74,8201423.68141,-1962393952.74,-1956594670.44,-1968193235.04,-1967613306.81,-1957174598.67,2.0,67263350402000.0,244,0.142857142857,0.00291646437308,2.43433201164e-13,0.142860670194,0.142903225806
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1968676194.7,7120054.40008,-1968676194.7,-1963641555.95,-1973710833.45,-1973207369.57,-1964145019.82,2.0,50695174660100.0,252,0.142857142857,0.00145824418816,2.43433201164e-13,0.0714309229865,0.142903225806
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1970541213.09,28064156.5176,-1970541213.09,-1950696857.71,-1990385568.47,-1988401132.93,-1952681293.24,2.0,787596881046000.0,210,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1985620759.1,9808682.92266,-1985620759.1,-1978684972.89,-1992556545.31,-1991862966.69,-1979378551.51,2.0,96210260677300.0,194,0.142857142857,0.00145715736474,2.43433201164e-13,0.071417989418,0.142822580645
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1993267554.86,1658446.89219,-1993267554.86,-1992094855.82,-1994440253.91,-1994322984.0,-1992212125.72,2.0,2750446094210.0,235,0.142857142857,0.00291479452315,2.43433201164e-13,0.142859494415,0.142822580645
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1997700162.75,11013990.6253,-1997700162.75,-1989912095.29,-2005488230.21,-2004709423.46,-1990690902.03,2.0,121307989493000.0,218,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2011830030.88,4992723.50608,-2011830030.88,-2008299642.23,-2015360419.52,-2015007380.66,-2008652681.09,2.0,24927288008100.0,201,0.142857142857,0.0014581121704,2.43433201164e-13,0.142848912404,0.0714516129032
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2014795295.58,12914303.9214,-2014795295.58,-2005663503.7,-2023927087.45,-2023013908.27,-2006576682.89,2.0,166779245773000.0,243,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2030358305.43,1953680.00381,-2030358305.43,-2028976845.05,-2031739765.81,-2031601619.77,-2029114991.09,2.0,3816865557290.0,251,0.142857142857,0.00145742125126,2.43433201164e-13,0.0714309229865,0.142822580645
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2031932747.81,19905832.42,-2031932747.81,-2017857198.72,-2046008296.9,-2044600741.99,-2019264753.63,2.0,396242164334000.0,226,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2042001686.88,8678278.9972,-2042001686.88,-2035865216.95,-2048138156.81,-2047524509.82,-2036478863.95,2.0,75312526353300.0,209,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-439.4,-8816.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2048522056.36,18645.3690713,-2048522056.36,-2048508872.09,-2048535240.62,-2048533922.2,-2048510190.52,2.0,347649787.805,268,0.142857142857,0.00291622434079,2.43433201164e-13,0.142848912404,0.142903225806
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2059560664.8,12171104.9684,-2059560664.8,-2050954393.94,-2068166935.66,-2067306308.57,-2051815021.03,2.0,148135796152000.0,234,0.142857142857,0.00291479452315,2.43433201164e-13,0.142859494415,0.142822580645
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2074130216.87,4880255.33717,-2074130216.87,-2070679355.22,-2077581078.51,-2077235992.35,-2071024441.39,2.0,23816892156000.0,242,0.142857142857,0.00291481851283,2.43433201164e-13,0.142860670194,0.142822580645
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2081365853.44,24357800.0664,-2081365853.44,-2064142287.84,-2098589419.04,-2096867062.48,-2065864644.4,2.0,593302424074000.0,217,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-439.4,-8816.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2083775713.85,1808800.79903,-2083775713.85,-2082496698.54,-2085054729.16,-2084926827.63,-2082624600.07,2.0,3271760330570.0,276,0.142857142857,0.00291646437308,2.43433201164e-13,0.142860670194,0.142903225806
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2087977747.99,2273617.90683,-2087977747.99,-2086370057.35,-2089585438.63,-2089424669.57,-2086530826.42,2.0,5169338386250.0,193,0.142857142857,0.000728990076317,2.43433201164e-13,0.071417989418,0.0714516129032
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2091300397.61,1297500.68179,-2091300397.61,-2090382926.08,-2092217869.14,-2092126121.98,-2090474673.23,2.0,1683508019260.0,225,0.142857142857,0.00145823218654,2.43433201164e-13,0.142860670194,0.0714516129032
720.0,-439.4,-8816.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2093139874.4,6420972.9841,-2093139874.4,-2088599560.86,-2097680187.94,-2097226156.58,-2089053592.21,2.0,41228894062500.0,260,0.142857142857,0.00145798015263,2.43433201164e-13,0.071417989418,0.142903225806
720.0,-439.4,-8816.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2103179674.24,4645224.55571,-2103179674.24,-2099895004.45,-2106464344.02,-2106135877.04,-2100223471.43,2.0,21578111173000.0,284,0.142857142857,0.00291646437308,2.43433201164e-13,0.142860670194,0.142903225806
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2103455529.12,987601.307461,-2103455529.12,-2102757189.54,-2104153868.7,-2104084034.75,-2102827023.5,2.0,975356342499.0,250,0.142857142857,0.00145742125126,2.43433201164e-13,0.0714309229865,0.142822580645
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2117204465.03,1276530.05473,-2117204465.03,-2116301821.97,-2118107108.08,-2118016843.78,-2116392086.27,2.0,1629528980620.0,233,0.142857142857,0.00145822018493,2.43433201164e-13,0.142859494415,0.0714516129032
