npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight
1280.0,-700.0,-17208.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2522038170.12,34842614.4387,2514906289.62,2570314474.48,2488025626.77,2491286711.34,2562774261.61,4.0,1214007780920000.0,0.111111111111,0.111112900219,234,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,590000.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2519459275.04,15896528.5464,2522527387.4,2534339247.81,2498443077.54,2501129979.2,2533493213.56,4.0,252699619826000.0,0.0555555555556,0.0555568738453,901,8.51195973434e-14,0.0555480225989,0.000171448582438
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2517879470.64,15879009.3099,2516092627.15,2536335160.42,2502997467.84,2503507605.28,2534752916.89,4.0,252142936663000.0,0.111111111111,0.111112900219,423,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-900.0,-22125.0,-1e+200,-1e+200,-1e+200,-1e+200,458889.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2516412397.21,34697812.1057,2517405833.44,2556603173.58,2474234748.36,2479153052.44,2552280931.25,4.0,1203938164920000.0,0.111111111111,0.111112900219,712,8.51195973434e-14,0.111096045198,0.0013715781983
1280.0,-800.0,-17208.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2511231206.15,27068922.017,2508820061.78,2541951212.24,2485333488.8,2486319430.06,2539518584.36,4.0,732726539162000.0,0.111111111111,0.111112900219,224,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,327778.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2508169497.13,22612352.6462,2507235170.55,2536766646.26,2481441001.15,2485309021.03,2532338030.43,4.0,511318492197000.0,0.111111111111,0.111112900219,523,8.51195973434e-14,0.111118644068,0.00137185720119
1280.0,-900.0,-17208.0,-1e+200,-1e+200,-1e+200,-1e+200,65556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2499575164.69,40769350.551,2496083930.54,2552751664.35,2453381133.33,2459718327.47,2544319729.72,4.0,1662139944350000.0,0.111111111111,0.111104425499,114,8.51195973434e-14,0.111118644068,0.00137175256793
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,196667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2499182265.92,23892778.0687,2501128433.82,2526147250.87,2468324945.19,2472707401.77,2522932495.02,4.0,570864843840000.0,0.0555555555556,0.111112900219,303,8.51195973434e-14,0.111118644068,0.000685928600596
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2498053858.52,23153518.8946,2498058763.47,2522043561.75,2474054345.39,2475388136.92,2520712713.19,4.0,536085437201000.0,0.111111111111,0.111112900219,245,8.51195973434e-14,0.111096045198,0.0013715781983
1280.0,-900.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2493026776.21,45482718.5287,2482218648.34,2556922686.57,2450747121.59,2454395873.93,2546789057.5,4.0,2068677684760000.0,0.111111111111,0.111112900219,413,8.51195973434e-14,0.111118644068,0.00137185720119
