smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1161764632.44,709947.850323,-1161764632.44,-1161262623.5,-1162266641.38,-1162216440.48,-1161312824.39,2.0,504025950178.0,0.00391400299785,0.250006292421,0.125018050542,3.66466187075e-13,0.125226860254,75
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1162324845.85,122260.229204,-1162324845.85,-1162238394.81,-1162411296.88,-1162402651.78,-1162247039.91,2.0,14947563645.1,0.0078269195376,0.125003845369,0.25,3.66466187075e-13,0.250453720508,109
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1194045856.14,483855.238006,-1194045856.14,-1193703718.82,-1194387993.46,-1194353779.73,-1193737932.55,2.0,234115891346.0,0.00391302200204,0.12498986221,0.25,3.66466187075e-13,0.125226860254,4
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1194626751.59,131697.28179,-1194626751.59,-1194533627.55,-1194719875.63,-1194710563.23,-1194542939.95,2.0,17344174031.0,0.00782648177084,0.249993707579,0.25,3.66466187075e-13,0.125226860254,29
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1201908289.22,724362.27145,-1201908289.22,-1201396087.75,-1202420490.7,-1202369270.55,-1201447307.89,2.0,524700700300.0,0.00391400299785,0.250006292421,0.125018050542,3.66466187075e-13,0.125226860254,100
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1233793068.25,14155.7331649,-1233793068.25,-1233783058.63,-1233803077.86,-1233802076.9,-1233784059.59,2.0,200384781.436,0.00782687576092,0.250006292421,0.25,3.66466187075e-13,0.125226860254,54
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1240722895.75,155095.560128,-1240722895.75,-1240613226.63,-1240832564.88,-1240821597.96,-1240624193.54,2.0,24054632771.5,0.00195701244467,0.125003845369,0.125018050542,3.66466187075e-13,0.125226860254,125
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1250226942.96,657076.476836,-1250226942.96,-1249762319.73,-1250691566.19,-1250645103.87,-1249808782.05,2.0,431749496411.0,0.00389940739611,0.12498986221,0.125018050542,3.66466187075e-13,0.249546279492,20
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1274334580.11,83119.7685108,-1274334580.11,-1274275805.56,-1274393354.66,-1274387477.21,-1274281683.01,2.0,6908895917.29,0.00782687576092,0.250006292421,0.25,3.66466187075e-13,0.125226860254,79
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1275196802.99,97689.4570289,-1275196802.99,-1275127726.11,-1275265879.87,-1275258972.18,-1275134633.8,2.0,9543230014.6,0.00779925103585,0.249993707579,0.125018050542,3.66466187075e-13,0.249546279492,45
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1314087405.65,420787.726094,-1314087405.65,-1313789863.8,-1314384947.51,-1314355193.32,-1313819617.98,2.0,177062310431.0,0.0039134597688,0.125003845369,0.25,3.66466187075e-13,0.125226860254,104
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1315827182.95,435449.370942,-1315827182.95,-1315519273.75,-1316135092.15,-1316104301.23,-1315550064.67,2.0,189616154654.0,0.00779964365513,0.250006292421,0.125018050542,3.66466187075e-13,0.249546279492,70
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1355811799.27,327819.917485,-1355811799.27,-1355579995.59,-1356043602.96,-1356020422.59,-1355603175.96,2.0,107465898300.0,0.00779964365513,0.250006292421,0.125018050542,3.66466187075e-13,0.249546279492,95
