npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1103159050.05,10868529.454,1103159050.05,1110844260.93,1095473839.17,1096242360.26,1110075739.84,2.0,118124932491000.0,8.705791516489999e-14,0.0078130252508,70,0.250002399496,0.125007204196,0.25
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1076285644.96,415635.164746,1076285644.96,1076579543.41,1075991746.52,1076021136.37,1076550153.56,2.0,172752590173.0,8.705791516489999e-14,0.00779001066777,78,0.250002932717,0.249985591609,0.124645892351
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1075441829.86,8728378.86458,1075441829.86,1081613725.74,1069269933.97,1069887123.56,1080996536.15,2.0,76184597603600.0,8.705791516489999e-14,0.00195879379453,125,0.125001466359,0.125007204196,0.125354107649
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1048320799.34,717195.074455,1048320799.34,1048827932.84,1047813665.84,1047864379.19,1048777219.49,2.0,514368774823.0,8.705791516489999e-14,0.00390635431621,15,0.124996134146,0.125007204196,0.25
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1046764914.96,8458413.24623,1046764914.96,1052745916.32,1040783913.6,1041382013.73,1052147816.19,2.0,71544754644000.0,8.705791516489999e-14,0.0156242494354,59,0.250002399496,0.249985591609,0.25
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1026847144.56,1658491.64497,1026847144.56,1028019875.24,1025674413.87,1025791686.94,1027902602.18,2.0,2750594536440.0,8.705791516489999e-14,0.00781285860954,40,0.249997067283,0.125007204196,0.25
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1009971774.62,3813064.76774,1009971774.62,1012668018.58,1007275530.67,1007545155.06,1012398394.18,2.0,14539462923000.0,8.705791516489999e-14,0.00781214137989,114,0.125001466359,0.249985591609,0.25
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1006834533.05,4233422.46251,1006834533.05,1009828014.78,1003841051.32,1004140399.49,1009528666.61,2.0,17921865746100.0,8.705791516489999e-14,0.00781304191492,95,0.250002932717,0.125007204196,0.25
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,982175578.474,8120333.11311,982175578.474,987917521.084,976433635.864,977007830.125,987343326.823,2.0,65939809867900.0,8.705791516489999e-14,0.00389500533388,103,0.125001466359,0.249985591609,0.124645892351
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,974942359.486,3340745.63061,974942359.486,977304623.376,972580095.597,972816321.986,977068396.987,2.0,11160581368400.0,8.705791516489999e-14,0.00778982790274,29,0.249997067283,0.249985591609,0.124645892351
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,954427932.607,5749527.87543,954427932.607,958493462.757,950362402.458,950768955.473,958086909.742,2.0,33057070790300.0,8.705791516489999e-14,0.00389483918385,4,0.124996134146,0.249985591609,0.124645892351
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,948550640.396,13161772.6118,948550640.396,957857419.062,939243861.73,940174539.596,956926741.196,2.0,173232258286000.0,8.705791516489999e-14,0.0156242827598,84,0.250002932717,0.249985591609,0.25
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,924395892.295,3667218.8777,924395892.295,926989007.632,921802776.959,922062088.493,926729696.098,2.0,13448494296900.0,8.705791516489999e-14,0.0078130252508,65,0.250002399496,0.125007204196,0.25
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,906752037.132,7593336.24385,906752037.132,912121336.681,901382737.582,901919667.537,911584406.726,2.0,57658755312200.0,8.705791516489999e-14,0.00390652095746,120,0.125001466359,0.125007204196,0.25
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,881962889.109,8022942.29929,881962889.109,887635966.014,876289812.205,876857119.895,887068658.324,2.0,64367603137700.0,8.705791516489999e-14,0.00778999405277,54,0.250002399496,0.249985591609,0.124645892351
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,864996098.091,6821855.49398,864996098.091,869819878.371,860172317.811,860654695.839,869337500.343,2.0,46537712380800.0,8.705791516489999e-14,0.00390635431621,10,0.124996134146,0.125007204196,0.25
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,855965864.389,6270179.607,855965864.389,860399550.908,851532177.869,851975546.521,859956182.256,2.0,39315152304000.0,8.705791516489999e-14,0.00781285860954,35,0.249997067283,0.125007204196,0.25
