smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-478770182.429,817875.723211,-478770182.429,-478191856.959,-479348507.899,-479290675.352,-478249689.506,2.0,668920698617.0,0.125226860254,0.00782565798392,0.249963898917,0.250003495741,1.83230531396e-13,53
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-491650144.009,1487602.70095,-491650144.009,-490598250.051,-492702037.966,-492596848.571,-490703439.447,2.0,2212961795880.0,0.250453720508,0.00782563609905,0.249963898917,0.125001398296,1.83230531396e-13,108
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-516948520.315,3023905.29607,-516948520.315,-514810296.374,-519086744.255,-518872921.861,-515024118.768,2.0,9144003239600.0,0.249546279492,0.015596424381,0.25,0.249996504259,1.83230531396e-13,39
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-525905787.673,2967180.31494,-525905787.673,-523807674.351,-528003900.995,-527794089.662,-524017485.683,2.0,8804159021370.0,0.125226860254,0.00195687562387,0.125018050542,0.124995105963,1.83230531396e-13,25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-542074452.057,2381547.8678,-542074452.057,-540390443.41,-543758460.704,-543590059.84,-540558844.275,2.0,5671770246640.0,0.249546279492,0.0155968605555,0.25,0.250003495741,1.83230531396e-13,94
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-552276982.701,885342.924135,-552276982.701,-551650950.716,-552903014.687,-552840411.488,-551713553.915,2.0,783832093316.0,0.125226860254,0.00782565798392,0.249963898917,0.250003495741,1.83230531396e-13,78
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-589408721.754,1213419.41672,-589408721.754,-588550704.656,-590266738.852,-590180937.142,-588636506.366,2.0,1472386680870.0,0.249546279492,0.0155968605555,0.25,0.250003495741,1.83230531396e-13,64
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-600277790.46,192062.103937,-600277790.46,-600141982.044,-600413598.876,-600400018.034,-600155562.885,2.0,36887851768.7,0.125226860254,0.00391384975812,0.125018050542,0.249996504259,1.83230531396e-13,50
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-613035640.326,2581899.7731,-613035640.326,-611209961.488,-614861319.164,-614678751.281,-611392529.372,2.0,6666206438310.0,0.249546279492,0.00779840846903,0.25,0.125001398296,1.83230531396e-13,119
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-631263286.645,2455009.12566,-631263286.645,-629527333.044,-632999240.245,-632825644.885,-629700928.404,2.0,6027069807050.0,0.125226860254,0.00391281804952,0.249963898917,0.125001398296,1.83230531396e-13,103
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-637425973.306,3223218.05788,-637425973.306,-635146813.96,-639705132.652,-639477216.717,-635374729.894,2.0,10389134648600.0,0.250453720508,0.00782637233343,0.25,0.124995105963,1.83230531396e-13,9
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-656728129.918,6034352.62558,-656728129.918,-652461198.256,-660995061.579,-660568368.413,-652887891.422,2.0,36413411609900.0,0.250453720508,0.0156531386514,0.25,0.249996504259,1.83230531396e-13,34
