npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,442427128.64199996,459630.69643400004,442450606.814,442950326.861,441856974.079,441926499.937,442894887.90599996,4.0,211260377105.0,0.250009196248,0.25,1.04066742269e-12,93,0.0155839065661,0.24933333333299998
522.0,-320.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,420559517.709,370950.451958,420698831.54,420818086.05300003,420022321.701,420109348.69699997,420814647.356,4.0,137604237808.0,0.125004598124,0.25,1.04066742269e-12,98,0.007791953283060001,0.24933333333299998
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,400155692.067,270241.81290300004,400031032.774,400558993.295,400001709.427,400001800.16,400484106.986,4.0,73030637441.4,0.249990803752,0.25,1.04066742269e-12,82,0.0155827601005,0.24933333333299998
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,399439306.502,342882.775326,399357161.321,399924651.641,399118251.727,399151546.874,399842069.385,4.0,117568597615.0,0.12498620562799999,0.25,1.04066742269e-12,77,0.00779080681749,0.24933333333299998
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,378397288.83199996,487265.012143,378287070.364,379051962.561,377963052.04,377983427.261,378965456.259,4.0,237427192059.0,0.250009196248,0.25,1.04066742269e-12,87,0.0155839065661,0.24933333333299998
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,359195510.39599997,244590.95651199998,359085885.938,359560629.484,359049640.226,359051986.374,359492508.661,4.0,59824736007.3,0.12498620562799999,0.125026522385,1.04066742269e-12,105,0.00195853269302,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,356268451.49,438311.800862,356257433.765,356674489.89599997,355884448.53400004,355885920.96599996,356666406.829,4.0,192117234775.0,0.250009196248,0.25,1.04066742269e-12,92,0.0155839065661,0.24933333333299998
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,339293224.061,158777.706844,339271547.831,339500915.452,339128885.128,339143131.27599996,339473663.56700003,4.0,25210360190.7,0.249990803752,0.125026522385,1.04066742269e-12,110,0.00391735359627,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,334023200.736,454921.112626,334104724.674,334461613.082,333421740.512,333499630.345,334432637.612,4.0,206953218713.0,0.125004598124,0.25,1.04066742269e-12,97,0.007791953283060001,0.24933333333299998
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,319309116.85400003,572904.746321,319271815.008,320010814.416,318682022.984,318737585.585,319932870.706,4.0,328219848357.0,0.250009196248,0.125026522385,1.04066742269e-12,115,0.00391764180651,0.125333333333
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,312697738.237,252104.10441300002,312628224.463,313043062.79,312491441.231,312497262.693,312995533.064,4.0,63556479461.7,0.249990803752,0.25,1.04066742269e-12,81,0.00783304518423,0.125333333333
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,307175885.265,261007.211831,307200928.02900004,307468460.576,306833224.426,306887302.206,307429408.454,4.0,68124764627.9,0.12498620562799999,0.25,1.04066742269e-12,76,0.00391623444301,0.125333333333
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,298214293.369,606999.049575,298143720.707,298999392.744,297570339.319,297629445.732,298897942.733,4.0,368447846185.0,0.250009196248,0.125026522385,1.04066742269e-12,120,0.00391764180651,0.125333333333
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,291315330.257,286607.093844,291387382.228,291570871.773,290915684.801,290975299.984,291554487.772,4.0,82143626241.9,0.250009196248,0.25,1.04066742269e-12,86,0.00783362148244,0.125333333333
522.0,-132.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,276928198.009,283389.64975100005,277028069.931,277133237.958,276523414.218,276586083.72099996,277130491.608,4.0,80309693585.7,0.125004598124,0.125026522385,1.04066742269e-12,125,0.0019588209032600002,0.125333333333
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,268589177.735,260937.366866,268602482.882,268883002.602,268268742.575,268305856.992,268853871.274,4.0,68088309426.9,0.250009196248,0.25,1.04066742269e-12,91,0.00783362148244,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,262088021.624,497743.816879,262055247.71,262650976.408,261590614.67,261615715.62,262606211.10900003,4.0,247748907242.0,0.12498620562799999,0.125026522385,1.04066742269e-12,104,0.00391706538603,0.250666666667
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,252208689.19099998,147487.104283,252206741.39,252375252.32700002,252046021.658,252058982.213,252361123.091,4.0,21752445929.6,0.249990803752,0.125026522385,1.04066742269e-12,109,0.00783470719255,0.250666666667
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,245603091.873,336528.21796599997,245551055.24,246026493.20700002,245283763.806,245299416.495,245979618.538,4.0,113251241488.0,0.125004598124,0.25,1.04066742269e-12,96,0.00391681074122,0.125333333333
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,230117746.722,449769.429439,230211748.866,230557912.41,229489576.745,229594789.458,230509100.98299998,4.0,202292539658.0,0.250009196248,0.125026522385,1.04066742269e-12,114,0.00783528361303,0.250666666667
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,207970548.8,532425.910998,208009060.69599998,208548736.126,207315337.681,207388680.26400003,208498500.682,4.0,283477350702.0,0.250009196248,0.125026522385,1.04066742269e-12,119,0.00783528361303,0.250666666667
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,185080543.846,290072.734977,185015687.20299998,185481738.663,184809062.317,184829797.594,185422089.4,4.0,84142191576.9,0.125004598124,0.125026522385,1.04066742269e-12,124,0.00391764180651,0.250666666667
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,167123415.467,112375.996843,167146041.407,167233530.101,166968048.95299998,166992155.724,167222998.894,4.0,12628364666.4,0.12498620562799999,0.125026522385,1.04066742269e-12,103,0.0038962299318499997,0.24933333333299998
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,161994852.23,165045.484139,161939746.486,162235159.296,161864756.651,161872694.229,162194158.272,4.0,27240011834.7,0.249990803752,0.125026522385,1.04066742269e-12,108,0.00779303321812,0.24933333333299998
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,139903518.122,196324.169715,139959253.134,140066921.977,139628644.244,139669260.432,140059746.796,4.0,38543179614.2,0.250009196248,0.125026522385,1.04066742269e-12,113,0.00779360657253,0.24933333333299998
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,116839839.066,448615.06015200005,116788298.687,117434816.59899999,116347942.29,116408699.99200001,117343134.669,4.0,201255472195.0,0.250009196248,0.125026522385,1.04066742269e-12,118,0.00779360657253,0.24933333333299998
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,93271361.4441,107530.334047,93230885.989,93429773.3462,93193900.4522,93197559.0647,93401829.4606,4.0,11562772740.3,0.125004598124,0.125026522385,1.04066742269e-12,123,0.00389680328627,0.24933333333299998
522.0,-413.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,74712226.70300001,391026.658212,74655634.85100001,75203653.9183,74333983.1915,74354626.9859,75149055.0127,4.0,152901847432.0,0.12498620562799999,0.125026522385,1.04066742269e-12,102,0.0038962299318499997,0.24933333333299998
522.0,-413.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,73315065.7562,668682.6073939999,73468919.7312,73924775.5878,72397647.9746,72528214.1719,73886521.7755,4.0,447136429431.0,0.249990803752,0.125026522385,1.04066742269e-12,107,0.00779303321812,0.24933333333299998
522.0,-413.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,49913717.373,521572.216186,49908020.0811,50477623.428,49361205.9017,49396656.8516,50438754.103,4.0,272037576698.0,0.250009196248,0.125026522385,1.04066742269e-12,112,0.00779360657253,0.24933333333299998
522.0,-413.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,26521367.5679,499558.895059,26359972.8268,27241092.1303,26124432.4876,26144385.8532,27124301.92,4.0,249559089633.0,0.250009196248,0.125026522385,1.04066742269e-12,117,0.00779360657253,0.24933333333299998
522.0,-413.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,2884086.4005299998,465923.524159,2895384.1803900003,3441949.9007599996,2303627.34058,2386724.01597,3365631.89328,4.0,217084730365.0,0.125004598124,0.125026522385,1.04066742269e-12,122,0.00389680328627,0.24933333333299998
522.0,-507.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,-16918914.6819,454103.03695100005,-16930471.5353,-16362693.1939,-17452022.4631,-17390484.808,-16431164.961,4.0,206209568169.0,0.249990803752,0.125026522385,1.04066742269e-12,106,0.00391735359627,0.125333333333
