npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,673473169.993,46903480.3655,673473169.993,706638939.021,640307400.965,643623977.868,703322362.118,2.0,2199936470400000.0,2.78193391732e-13,0.00782582382741,114,0.250420168067,0.250006184017,0.125
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,666388173.128,50050925.9144,666388173.128,701779522.247,630996824.009,634535958.921,698240387.335,2.0,2505095184890000.0,2.78193391732e-13,0.00779882955587,77,0.249579831933,0.124991342377,0.25
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,632043616.504,46020463.7264,632043616.504,664584998.478,599502234.53,602756372.727,661330860.281,2.0,2117883081590000.0,2.78193391732e-13,0.00782582382741,119,0.250420168067,0.250006184017,0.125
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,624765141.936,30915252.4569,624765141.936,646625526.59,602904757.281,605090795.747,644439488.124,2.0,955752834471000.0,2.78193391732e-13,0.0155991253473,92,0.249579831933,0.250006184017,0.25
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,598433336.356,3307345.72712,598433336.356,600771982.948,596094689.765,596328554.424,600538118.288,2.0,10938535758700.0,2.78193391732e-13,0.00779917682217,108,0.249579831933,0.249993815983,0.125
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,590504804.026,17708646.0619,590504804.026,603026707.742,577982900.311,579235090.682,601774517.371,2.0,313596145345000.0,2.78193391732e-13,0.00391289255617,124,0.250420168067,0.125002473607,0.125
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,585669803.817,22219707.5639,585669803.817,601381509.711,569958097.922,571529268.512,599810339.122,2.0,493715404227000.0,2.78193391732e-13,0.00782543667679,81,0.125210084034,0.249993815983,0.25
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,575488927.868,29658940.1335,575488927.868,596460965.559,554516890.177,556614093.946,594363761.79,2.0,879652729843000.0,2.78193391732e-13,0.00779952408848,97,0.249579831933,0.125002473607,0.25
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,569138466.377,8703563.50735,569138466.377,575292815.154,562984117.601,563599552.478,574677380.276,2.0,75752017726500.0,2.78193391732e-13,0.00389941477793,103,0.249579831933,0.124991342377,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,558858138.12,8871164.08145,558858138.12,565130998.399,552585277.841,553212563.869,564503712.371,2.0,78697552160000.0,2.78193391732e-13,0.00779956267363,113,0.249579831933,0.250006184017,0.125
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,550964306.944,10161458.7997,550964306.944,558149543.368,543779070.52,544497594.162,557431019.725,2.0,103255244938000.0,2.78193391732e-13,0.00391254412062,76,0.125210084034,0.124991342377,0.25
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,547195574.407,9415509.00987,547195574.407,553853344.676,540537804.138,541203581.165,553187567.649,2.0,88651809915000.0,2.78193391732e-13,0.00782582382741,86,0.125210084034,0.250006184017,0.25
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,522978383.407,7183369.66542,522978383.407,528057792.809,517898974.005,518406914.945,527549851.869,2.0,51600799750100.0,2.78193391732e-13,0.00782582382741,91,0.125210084034,0.250006184017,0.25
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,513549117.189,6448273.44229,513549117.189,518108735.067,508989499.311,509445461.099,517652773.279,2.0,41580230386600.0,2.78193391732e-13,0.00779956267363,118,0.249579831933,0.250006184017,0.125
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,469903200.503,6038799.72312,469903200.503,474173276.737,465633124.268,466060131.892,473746269.114,2.0,36467102096000.0,2.78193391732e-13,0.00389976204424,123,0.249579831933,0.125002473607,0.125
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,467798751.307,14506800.0267,467798751.307,478056607.979,457540894.635,458566680.302,477030822.312,2.0,210447247014000.0,2.78193391732e-13,0.00391289255617,96,0.125210084034,0.125002473607,0.25
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,461109012.825,6232575.11206,461109012.825,465516108.951,456701916.699,457142626.311,465075399.338,2.0,38844992527400.0,2.78193391732e-13,0.00779917682217,107,0.249579831933,0.249993815983,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,428399143.61,7482878.97769,428399143.61,433690338.078,423107949.142,423637068.589,433161218.631,2.0,55993477794700.0,2.78193391732e-13,0.00389941477793,102,0.249579831933,0.124991342377,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,388521606.249,26398495.1026,388521606.249,407188161.149,369855051.349,371721706.839,405321505.659,2.0,696880543680000.0,2.78193391732e-13,0.00779956267363,112,0.249579831933,0.250006184017,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,346698510.883,5101478.77606,346698510.883,350305801.12,343091220.647,343451949.67,349945072.096,2.0,26025085702600.0,2.78193391732e-13,0.00779956267363,117,0.249579831933,0.250006184017,0.125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,320523936.952,6909245.08103,320523936.952,325409511.001,315638362.902,316126920.307,324920953.596,2.0,47737667589800.0,2.78193391732e-13,0.00389976204424,122,0.249579831933,0.125002473607,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,293199197.834,22638193.0985,293199197.834,309206817.688,277191577.98,278792339.966,307606055.703,2.0,512487786767000.0,2.78193391732e-13,0.0039127183384,106,0.125210084034,0.249993815983,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,260328468.367,695730.876658,260328468.367,260820424.388,259836512.346,259885707.948,260771228.786,2.0,484041452736.0,2.78193391732e-13,0.00195627206031,101,0.125210084034,0.124991342377,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,232415012.603,2918764.61464,232415012.603,234478890.855,230351134.351,230557522.177,234272503.03,2.0,8519186875700.0,2.78193391732e-13,0.0039129119137,111,0.125210084034,0.250006184017,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,209236247.426,8456764.16444,209236247.426,215216082.713,203256412.138,203854395.667,214618099.184,2.0,71516860133000.0,2.78193391732e-13,0.0039129119137,116,0.125210084034,0.250006184017,0.125
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,160198754.784,20641051.1097,160198754.784,174794181.994,145603327.573,147062870.294,173334639.273,2.0,426052990915000.0,2.78193391732e-13,0.00195644627809,121,0.125210084034,0.125002473607,0.125
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159767259384.0,30484834.56,-159767259384.0,-159745703351.0,-159788815417.0,-159786659814.0,-159747858954.0,2.0,929325138148000.0,2.78193391732e-13,0.00782508824124,79,0.250420168067,0.124991342377,0.25
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159837377143.0,59905263.7625,-159837377143.0,-159795017725.0,-159879736562.0,-159875500620.0,-159799253667.0,2.0,3588640626460000.0,2.78193391732e-13,0.0156508733536,84,0.250420168067,0.249993815983,0.25
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159839452823.0,3352074.32034,-159839452823.0,-159837082548.0,-159841823097.0,-159841586070.0,-159837319576.0,2.0,11236402249100.0,2.78193391732e-13,0.0156516476548,89,0.250420168067,0.250006184017,0.25
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159891863778.0,10831281.4143,-159891863778.0,-159884204906.0,-159899522651.0,-159898756764.0,-159884970793.0,2.0,117316657077000.0,2.78193391732e-13,0.0156516476548,94,0.250420168067,0.250006184017,0.25
