smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1838004809.56,706162.122751,-1837939007.25,-1837242196.82,-1838899026.94,-1838789578.08,-1837312164.29,4.0,498664943609.0,0.124990974078,3.46688419418e-13,0.00779798505727,0.250007275152,0.249546279492,113
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1839549786.73,242934.415034,-1839560524.63,-1839255746.25,-1839822351.42,-1839796522.91,-1839288017.51,4.0,59017130007.8,0.249981948155,3.46688419418e-13,0.0155959701145,0.250007275152,0.249546279492,93
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1844049175.0,168617.806209,-1844083709.72,-1843815590.85,-1844213689.71,-1844197993.3,-1843852008.09,4.0,28431964570.7,0.250018051845,3.46688419418e-13,0.00779824473773,0.12498974865,0.249546279492,52
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1852376234.1,102307.054901,-1852337853.78,-1852301681.0,-1852527547.85,-1852499125.25,-1852307075.4,4.0,10466733482.5,0.250018051845,3.46688419418e-13,0.00779907001867,0.125002976198,0.249546279492,73
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1862464048.43,794739.916061,-1862190484.66,-1861844447.8,-1863630776.58,-1863414827.78,-1861896258.34,4.0,631611534180.0,0.250018051845,3.46688419418e-13,0.0155973147564,0.249992724848,0.249546279492,57
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1875090473.36,72299.1774033,-1875113055.22,-1874988848.47,-1875146934.52,-1875145443.48,-1875003888.63,4.0,5227171053.2,0.250018051845,3.46688419418e-13,0.0155982225654,0.250007275152,0.249546279492,37
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1880118240.67,608512.24535,-1880006245.54,-1879585090.16,-1880875381.43,-1880795686.2,-1879597588.32,4.0,370287152741.0,0.124990974078,3.46688419418e-13,0.00779798505727,0.250007275152,0.249546279492,118
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1881412725.17,721283.358657,-1881346453.39,-1880748593.71,-1882209400.19,-1882153151.67,-1880765079.16,4.0,520249683476.0,0.249981948155,3.46688419418e-13,0.00779794379918,0.125002976198,0.249546279492,98
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1893093914.42,445559.349152,-1893095277.86,-1892547671.48,-1893637430.47,-1893560575.76,-1892625344.26,4.0,198523133617.0,0.249981948155,3.46688419418e-13,0.0077971186374,0.12498974865,0.249546279492,77
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1902666396.72,417954.968044,-1902803010.16,-1902057810.86,-1903001755.7,-1902978559.37,-1902162975.26,4.0,174686355313.0,0.249981948155,3.46688419418e-13,0.0155950624366,0.249992724848,0.249546279492,82
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1904369148.54,473029.183742,-1904368322.25,-1903790816.03,-1904949133.63,-1904864178.53,-1903875275.36,4.0,223756608671.0,0.250018051845,3.46688419418e-13,0.0155982225654,0.250007275152,0.249546279492,62
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1916756885.88,170696.287057,-1916756728.61,-1916547984.43,-1916966101.87,-1916934768.72,-1916579223.22,4.0,29137222415.0,0.250018051845,3.46688419418e-13,0.0155982225654,0.250007275152,0.249546279492,42
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1922488103.83,286637.802396,-1922474116.83,-1922228045.37,-1922776136.3,-1922763610.92,-1922232178.54,4.0,82161229762.6,0.124990974078,3.46688419418e-13,0.00389897189959,0.125002976198,0.249546279492,123
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1936054988.52,12147.4603226,-1936051183.26,-1936045948.42,-1936071639.14,-1936069355.62,-1936045948.78,4.0,147560792.289,0.124990974078,3.46688419418e-13,0.00391294293863,0.249992724848,0.125226860254,6
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1936192170.3,347089.481155,-1936131056.71,-1935853147.17,-1936653420.61,-1936592252.33,-1935877647.29,4.0,120471107928.0,0.124990974078,3.46688419418e-13,0.0038985593187,0.12498974865,0.249546279492,102
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1944310071.96,465937.962951,-1944354901.97,-1943767490.24,-1944762993.66,-1944742548.75,-1943814833.15,4.0,217098185319.0,0.249981948155,3.46688419418e-13,0.0155959701145,0.250007275152,0.249546279492,87
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1946230653.79,503269.51185,-1946238526.4,-1945636652.01,-1946808910.33,-1946751911.48,-1945698374.43,4.0,253280201558.0,0.250018051845,3.46688419418e-13,0.0155982225654,0.250007275152,0.249546279492,67
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1949565345.51,112043.510275,-1949571272.63,-1949424132.39,-1949694704.39,-1949679399.97,-1949442993.08,4.0,12553748194.8,0.250018051845,3.46688419418e-13,0.00391330099566,0.12498974865,0.125226860254,26
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1950438823.63,475922.046514,-1950327360.14,-1950011288.43,-1951089285.83,-1950998420.46,-1950035275.7,4.0,226501794358.0,0.124990974078,3.46688419418e-13,0.00779753121829,0.249992724848,0.249546279492,107
