smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-170658285.151,5380238.36529,-170658285.151,-166853882.119,-174462688.184,-174082247.881,-167234322.422,2.0,28946964867400.0,0.25,0.249996504259,0.015596424381,39,0.249546279492,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-194240648.255,2793283.40365,-194240648.255,-192265498.618,-196215797.891,-196018282.927,-192463013.582,2.0,7802432173110.0,0.249963898917,0.124995105963,0.00391262108568,3,0.125226860254,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-197589051.55,8192298.98399,-197589051.55,-191796221.385,-203381881.715,-202802598.699,-192375504.401,2.0,67113762643100.0,0.249963898917,0.250003495741,0.0156513159678,83,0.250453720508,1.83230531396e-13
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-212212633.873,5866061.29558,-212212633.873,-208064702.152,-216360565.594,-215945772.422,-208479495.324,2.0,34410675123500.0,0.25,0.250003495741,0.0155968605555,94,0.249546279492,1.83230531396e-13
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-219458940.257,2858593.26247,-219458940.257,-217437609.576,-221480270.937,-221278137.869,-217639742.644,2.0,8171555440240.0,0.125018050542,0.250003495741,0.00391395921408,75,0.125226860254,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-245414958.106,341025.248737,-245414958.106,-245173816.84,-245656099.372,-245631985.246,-245197930.967,2.0,116298220276.0,0.125018050542,0.124995105963,0.00389957098961,20,0.249546279492,1.83230531396e-13
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-246049227.721,2889132.17144,-246049227.721,-244006302.771,-248092152.671,-247887860.176,-244210595.266,2.0,8347084704070.0,0.25,0.250003495741,0.0155968605555,64,0.249546279492,1.83230531396e-13
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-248694660.981,1803460.55254,-248694660.981,-247419421.794,-249969900.167,-249842376.248,-247546945.713,2.0,3252469964580.0,0.249963898917,0.250003495741,0.00782565798392,53,0.125226860254,1.83230531396e-13
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-277213161.143,2266023.77775,-277213161.143,-275610840.364,-278815481.923,-278655249.845,-275771072.442,2.0,5134863761350.0,0.249963898917,0.125001398296,0.00782563609905,108,0.250453720508,1.83230531396e-13
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-287438311.161,3194600.89136,-287438311.161,-285179387.207,-289697235.114,-289471342.719,-285405279.603,2.0,10205474855100.0,0.125018050542,0.249996504259,0.0077993382861,45,0.249546279492,1.83230531396e-13
