smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2157433557.99,351699.77482,-2157549254.45,-2156921587.71,-2157714135.34,-2157695650.88,-2157009490.05,4.0,123692731608.0,3.46688419418e-13,0.00782629995845,0.250453720508,0.249981948155,99,0.125002976198
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2194927337.29,204199.024347,-2195006629.46,-2194627023.32,-2195069066.91,-2195064722.89,-2194678942.64,4.0,41697241544.2,3.46688419418e-13,0.0077971186374,0.249546279492,0.249981948155,78,0.12498974865
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2203486136.44,587281.709386,-2203357736.26,-2202991492.07,-2204237581.16,-2204152126.68,-2202999906.44,4.0,344899806180.0,3.46688419418e-13,0.0155950624366,0.249546279492,0.249981948155,83,0.249992724848
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2232754497.11,241026.590012,-2232774845.75,-2232503802.47,-2232964494.46,-2232963400.39,-2232517105.72,4.0,58093817092.8,3.46688419418e-13,0.0155959701145,0.249546279492,0.249981948155,88,0.250007275152
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2262429545.84,522551.152424,-2262266063.15,-2261998557.18,-2263187499.89,-2263057136.39,-2262030831.06,4.0,273059706900.0,3.46688419418e-13,0.0155959701145,0.249546279492,0.249981948155,93,0.250007275152
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2291976297.27,611278.633526,-2292033089.82,-2291207575.72,-2292631433.72,-2292574270.02,-2291298814.95,4.0,373661567805.0,3.46688419418e-13,0.00779794379918,0.249546279492,0.249981948155,98,0.125002976198
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2336488312.47,277163.73813,-2336490780.0,-2336150651.31,-2336821038.58,-2336779525.36,-2336193645.04,4.0,76819737734.0,3.46688419418e-13,0.0155950624366,0.249546279492,0.249981948155,82,0.249992724848
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2337713029.12,348506.04007,-2337748560.1,-2337324658.44,-2338030337.85,-2338023301.7,-2337353013.19,4.0,121456459965.0,3.46688419418e-13,0.0077971186374,0.249546279492,0.249981948155,77,0.12498974865
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2366521409.58,762119.152727,-2366232754.82,-2365973289.05,-2367646839.62,-2367444679.47,-2366002256.35,4.0,580825602953.0,3.46688419418e-13,0.0155959701145,0.249546279492,0.249981948155,87,0.250007275152
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2396525334.82,346477.398454,-2396476555.24,-2396156373.33,-2396991855.45,-2396918812.06,-2396200148.98,4.0,120046587640.0,3.46688419418e-13,0.0155959701145,0.249546279492,0.249981948155,92,0.250007275152
