npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity
1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,2793542234.62,40935681.3439,2799750297.64,2848309374.08,2716343977.8,2734237237.99,2844300505.38,10.0,1675730007090000.0,42,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-585.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,2775291289.66,69532982.9141,2772247339.92,2901933487.04,2678475525.6,2694963430.71,2879134719.47,10.0,4834835712930000.0,65,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-785.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,2761922947.53,48627402.7707,2765845540.76,2824793552.79,2683789902.18,2691770790.25,2820535573.17,10.0,2364624300220000.0,53,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-685.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,2722197995.28,78037703.6025,2707849041.96,2863134350.33,2598176621.83,2626623794.5,2836752462.35,10.0,6089883183550000.0,64,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,3696831.0,ref,south_texas_project,west_south_central,covid,2702637562.12,45252772.1402,2699973565.02,2773877099.13,2629022642.63,2641281299.74,2768425384.25,10.0,2047813386370000.0,41,5.9062379305600004e-15,0.0555555555556,0.11111122465500001,0.00034293587856599995,0.0555555555556
1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,2650473516.42,60506896.7946,2635321371.98,2765995266.98,2574016376.71,2582167152.76,2753692403.41,10.0,3661084559710000.0,52,5.9062379305600004e-15,0.111111111111,0.11111122465500001,0.000685871757131,0.0555555555556
1280.0,-785.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,2594887228.15,74682062.9271,2593618663.67,2738954544.44,2494342252.34,2507524854.45,2703730494.59,10.0,5577410523040000.0,63,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,4621038.0,ref,south_texas_project,west_south_central,covid,2576252338.92,45799407.7522,2574201180.2,2664061265.18,2491259618.62,2513094425.44,2646665773.7,10.0,2097585750450000.0,51,5.9062379305600004e-15,0.0555555555556,0.11111122465500001,0.00034293587856599995,0.0555555555556
1280.0,-885.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,2481227196.87,48906061.9898,2479985366.63,2545552484.96,2401672197.42,2412228612.07,2544534120.62,10.0,2391802899350000.0,62,5.9062379305600004e-15,0.111111111111,0.11111128476700001,0.0006858721281909999,0.0555555555556
1280.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,5545246.0,ref,south_texas_project,west_south_central,covid,2368825587.33,71575117.0685,2357483071.07,2552510128.85,2303919044.62,2310081254.56,2479504401.29,10.0,5122997383370000.0,61,5.9062379305600004e-15,0.0555555555556,0.11111128476700001,0.00034293606409500004,0.0555555555556
