smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1729223358.91,1282658.89928,-1729223358.91,-1728316382.1,-1730130335.71,-1730039638.03,-1728407079.78,2.0,1645213851890.0,0.142857142857,0.0714516129032,0.071417989418,2.43433201164e-13,129,0.000728990076317
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1743167253.43,1323476.1077,-1743167253.43,-1742231414.5,-1744103092.36,-1744009508.46,-1742324998.39,2.0,1751589007670.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,153,0.00145823218654
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1756269416.17,1143.65438503,-1756269416.17,-1756268607.49,-1756270224.86,-1756270143.99,-1756268688.36,2.0,1307945.3524,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,178,0.00291481851283
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1756407851.76,513378.804037,-1756407851.76,-1756044838.12,-1756770865.39,-1756734564.03,-1756081139.49,2.0,263557796435.0,0.142857142857,0.142903225806,0.142848912404,2.43433201164e-13,204,0.00291622434079
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1769030831.87,1464702.99399,-1769030831.87,-1767995130.45,-1770066533.29,-1769962963.15,-1768098700.6,2.0,2145354860600.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,161,0.00145823218654
720.0,-616.5,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1783706107.01,535174.886908,-1783706107.01,-1783327681.22,-1784084532.8,-1784046690.22,-1783365523.8,2.0,286412159577.0,0.142857142857,0.142822580645,0.0714309229865,2.43433201164e-13,186,0.00145742125126
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1785762659.26,1092083.36799,-1785762659.26,-1784990439.71,-1786534878.82,-1786457656.86,-1785067661.66,2.0,1192646082630.0,0.142857142857,0.142903225806,0.142860670194,2.43433201164e-13,212,0.00291646437308
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1798155588.76,898118.852975,-1798155588.76,-1797520522.83,-1798790654.69,-1798727148.1,-1797584029.42,2.0,806617474070.0,0.142857142857,0.0714516129032,0.142859494415,2.43433201164e-13,169,0.00145822018493
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1812116209.97,396841.511728,-1812116209.97,-1811835600.64,-1812396819.29,-1812368758.36,-1811863661.58,2.0,157483185431.0,0.142857142857,0.142903225806,0.142860670194,2.43433201164e-13,220,0.00291646437308
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1821452743.45,120902.119504,-1821452743.45,-1821367252.74,-1821538234.16,-1821529685.09,-1821375801.81,2.0,14617322500.5,0.142857142857,0.142822580645,0.142848912404,2.43433201164e-13,203,0.00291457861599
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1825699882.71,2776720.59145,-1825699882.71,-1823736444.75,-1827663320.67,-1827466976.88,-1823932788.55,2.0,7710177242970.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,177,0.00145823218654
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1831170282.43,774125.940194,-1831170282.43,-1830622892.73,-1831717672.13,-1831662933.16,-1830677631.7,2.0,599270971281.0,0.142857142857,0.142822580645,0.071417989418,2.43433201164e-13,195,0.00145715736474
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1840174159.18,70564.7438426,-1840174159.18,-1840124262.37,-1840224055.99,-1840219066.31,-1840129252.05,2.0,4979383073.57,0.142857142857,0.142903225806,0.142860670194,2.43433201164e-13,228,0.00291646437308
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1847405659.27,95983.5763266,-1847405659.27,-1847337788.63,-1847473529.9,-1847466742.84,-1847344575.69,2.0,9212846924.44,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,211,0.00291481851283
720.0,-705.1,-13267.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1855545697.67,60071.2807438,-1855545697.67,-1855503220.86,-1855588174.48,-1855583926.8,-1855507468.54,2.0,3608558770.2,0.142857142857,0.0714516129032,0.0714309229865,2.43433201164e-13,185,0.000729122094079
720.0,-439.4,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1868568961.69,236457.168743,-1868568961.69,-1868401761.22,-1868736162.15,-1868719442.11,-1868418481.27,2.0,55911992650.0,0.142857142857,0.142903225806,0.142859494415,2.43433201164e-13,236,0.00291644036986
720.0,-528.0,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1876739465.28,1874788.35997,-1876739465.28,-1875413789.71,-1878065140.84,-1877932573.28,-1875546357.27,2.0,3514831394670.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,219,0.00291481851283
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1895137145.67,829564.999359,-1895137145.67,-1894550554.63,-1895723736.71,-1895665077.6,-1894609213.74,2.0,688178088161.0,0.142857142857,0.142822580645,0.142848912404,2.43433201164e-13,202,0.00291457861599
