smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1040726092.83,781906.103991,-1040732265.21,-1040009957.45,-1041429883.44,-1041421631.56,-1040021912.76,4.0,611377155459.0,0.250007275152,0.125226860254,0.00782747168739,61,3.46688419418e-13,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1055854141.87,191948.926004,-1055768925.8,-1055739144.39,-1056139571.48,-1056087821.09,-1055739765.14,4.0,36844390194.3,0.249992724848,0.250453720508,0.0156517717545,84,3.46688419418e-13,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1083123942.75,734511.810836,-1083278113.42,-1082172212.9,-1083767331.28,-1083747113.72,-1082284932.86,4.0,539507600257.0,0.250007275152,0.125226860254,0.00782747168739,66,3.46688419418e-13,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1098180557.06,174831.763845,-1098171270.87,-1097992641.14,-1098387045.37,-1098367037.67,-1098007077.13,4.0,30566145649.1,0.250007275152,0.250453720508,0.0156526827331,89,3.46688419418e-13,0.249981948155
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1125214802.69,409139.509171,-1125211024.89,-1124746593.64,-1125690567.35,-1125643866.58,-1124791027.73,4.0,167395137965.0,0.125002976198,0.125226860254,0.00391371513664,71,3.46688419418e-13,0.250018051845
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1139805008.03,307531.411032,-1139808408.16,-1139509462.23,-1140093753.56,-1140086603.55,-1139518652.32,4.0,94575568771.2,0.250007275152,0.250453720508,0.0156526827331,94,3.46688419418e-13,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1175305989.94,163424.972653,-1175325196.99,-1175096493.59,-1175477072.19,-1175462661.05,-1175122428.96,4.0,26707721686.8,0.12498974865,0.249546279492,0.0077971186374,78,3.46688419418e-13,0.249981948155
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1181924531.22,58965.4050964,-1181942015.07,-1181844129.51,-1181969965.24,-1181969583.28,-1181855001.78,4.0,3476918998.18,0.125002976198,0.250453720508,0.00782629995845,99,3.46688419418e-13,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1195965959.17,447634.876442,-1196088970.18,-1195333107.7,-1196352788.64,-1196328486.98,-1195431215.95,4.0,200376982607.0,0.249992724848,0.249546279492,0.0155950624366,83,3.46688419418e-13,0.249981948155
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1238242717.6,447061.923535,-1238133561.4,-1237847312.96,-1238856434.63,-1238769938.94,-1237868314.94,4.0,199864363475.0,0.250007275152,0.249546279492,0.0155959701145,88,3.46688419418e-13,0.249981948155
