smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,225548235.312,9253277.97023,225548235.312,232091290.913,219005179.711,219659485.271,231436985.353,2.0,85623153194400.0,0.111290322581,0.111136071887,0.00137424640405,312,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1653789.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,222621827.967,910762.629843,222621827.967,223265834.399,221977821.536,222042222.179,223201433.756,2.0,829488567918.0,0.0556451612903,0.0555519897304,0.000343467583909,51,0.111111428379,3.4776821570799994e-14
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,213946738.147,573546.025357,213946738.147,214352296.431,213541179.864,213581735.692,214311740.603,2.0,328955043202.0,0.111290322581,0.111103979461,0.00137387241249,142,0.111111596344,3.4776821570799994e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,201788712.763,4930801.39208,201788712.763,205275315.864,198302109.662,198650769.972,204926655.554,2.0,24312802368100.0,0.111290322581,0.111103979461,0.00137387241249,233,0.111111596344,3.4776821570799994e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,194242846.853,1107188.60559,194242846.853,195025747.425,193459946.282,193538236.34,194947457.367,2.0,1225866608340.0,0.110483870968,0.111136071887,0.00136428809678,415,0.111109748728,3.4776821570799994e-14
720.0,-361.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,185794458.476,13764497.3542,185794458.476,195527427.895,176061489.058,177034785.999,194554130.953,2.0,189461387414000.0,0.111290322581,0.111103979461,0.000686915437701,506,0.0555541185209,3.4776821570799994e-14
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,179841154.181,4737422.70255,179841154.181,183191017.9,176491290.463,176826276.835,182856031.528,2.0,22443173862600.0,0.110483870968,0.111136071887,0.00136430872078,324,0.111111428379,3.4776821570799994e-14
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,171104979.632,8394613.80525,171104979.632,177040867.98,165169091.285,165762680.12,176447279.145,2.0,70469540939300.0,0.0556451612903,0.111136071887,0.000687123202027,311,0.111109748728,3.4776821570799994e-14
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,160252015.207,5235424.20117,160252015.207,163954019.162,156550011.252,156920211.648,163583818.767,2.0,27409666566200.0,0.0556451612903,0.111103979461,0.000686936206245,141,0.111111596344,3.4776821570799994e-14
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,156838923.26,26876674.8253,156838923.26,175843602.285,137834244.236,139734712.138,173943134.382,2.0,722355649663000.0,0.111290322581,0.111136071887,0.000687113853483,403,0.0555541185209,3.4776821570799994e-14
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,155281330.102,7479659.12882,155281330.102,160570247.793,149992412.411,150521304.18,160041356.024,2.0,55945300683300.0,0.111290322581,0.111103979461,0.00137387241249,232,0.111111596344,3.4776821570799994e-14
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,143463482.65,6938317.72787,143463482.65,148369614.165,138557351.134,139047964.286,147879001.014,2.0,48140252892900.0,0.111290322581,0.111136071887,0.0013742671786,323,0.111111428379,3.4776821570799994e-14
