cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
10,0.0,-22307822.9832,28237750.6117,-27106080.0,-19174152.2763,-24972504.3,0.0,-22932319.2913,29028252.2675,-27050057.67,-4988314.2852,-99414064.7262,577581840.0,2781608.17395,5057708.0614,36347710.3243,129368465.646,0.0,-187.840884171,237.773271103,0.0,0.0
11,0.0,-21868891.0283,27682140.5421,-27106080.0,-19174119.0997,-24972504.3,0.0,-22481099.6566,28457088.1729,-27050057.67,-4988314.2852,-99414064.7262,0.0,2420688.97856,5202214.00601,36347710.3243,129368465.646,0.0,-184.144899737,233.094809794,0.0,0.0
12,0.0,-21366106.7025,27045704.6867,-27106080.0,-19174147.8668,-24972504.3,0.0,-21964240.1359,27802835.6151,-27050057.67,-4988314.2852,-99414064.7262,0.0,2695137.96868,5298551.30242,37386216.3336,131651438.569,0.0,-179.911252537,227.735762705,0.0,0.0
13,0.0,-20945704.0934,26513549.4853,-27106080.0,-19174146.5019,-24972504.3,0.0,-21532068.5668,27255782.996,-27050057.67,-4988314.2852,-99414064.7262,0.0,3483535.73916,5394888.59883,37801618.7373,132412429.543,0.0,-176.371292683,223.254800864,0.0,0.0
14,0.0,-20464144.6171,25903980.5279,-27106080.0,-19174168.6546,-24972504.3,0.0,-21037028.0747,26629149.4616,-27050057.67,-4988314.2852,-99414064.7262,0.0,2490466.05017,5394888.59883,38217021.141,132412429.543,0.0,-172.316367293,218.121983915,0.0,0.0
15,0.0,-20061489.1446,25394290.0564,-27106080.0,-19174157.3158,-24972504.3,0.0,-20623100.4643,26105190.4612,-27050057.67,-4988314.2852,-99414064.7262,0.0,2064849.21766,5443057.24703,38424722.3429,133173420.518,0.0,-168.9258455,213.830184177,0.0,0.0
16,0.0,-9800129.25939,12405226.9106,-27106080.0,-19174161.4104,-24972504.3,0.0,-10074478.9593,12752505.0118,-27050057.67,-4988314.2852,-99414064.7262,0.0,2137773.56367,5491225.89523,38840124.7466,133934411.492,0.0,-82.5210486232,104.457023574,0.0,0.0
17,0.0,0.0,0.0,-27106080.0,-19174163.5101,-24972504.3,0.0,0.0,0.0,-27050057.67,-4988314.2852,-99414064.7262,0.0,2634431.81196,5539394.54344,39463228.3521,134695402.467,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-27106080.0,-19174167.6047,-24972504.3,0.0,0.0,0.0,-27050057.67,-4988314.2852,-99414064.7262,0.0,1921190.96198,5587563.19164,40086331.9577,136978375.39,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-27106080.0,-19174144.7171,-24972504.3,0.0,0.0,0.0,-27050057.67,-4988314.2852,-99414064.7262,0.0,1493674.66613,5683900.48805,40501734.3614,137739366.364,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-27106080.0,-19174164.1401,-24972504.3,0.0,0.0,0.0,-27050057.67,-4988314.2852,-99414064.7262,0.0,2790921.89045,5683900.48805,40917136.7651,138500357.339,0.0,0.0,0.0,0.0,0.0
