smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-611512751.824,615642.914969,-611512751.824,-611077426.544,-611948077.104,-611904544.576,-611120959.072,2.0,379016198751.0,19,3.66466187075e-13,0.249546279492,0.12498986221,0.25,0.00779768877217
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-650886823.783,395812.059292,-650886823.783,-650606942.392,-651166705.174,-651138717.035,-650634930.531,2.0,156667186281.0,44,3.66466187075e-13,0.249546279492,0.249993707579,0.25,0.0155962499057
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-691037903.144,858993.352096,-691037903.144,-690430503.119,-691645303.168,-691584563.165,-690491243.122,2.0,737869578945.0,69,3.66466187075e-13,0.249546279492,0.250006292421,0.25,0.0155970350308
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-730149645.434,408905.372564,-730149645.434,-729860505.672,-730438785.196,-730409871.22,-729889419.648,2.0,167203603711.0,94,3.66466187075e-13,0.249546279492,0.250006292421,0.25,0.0155970350308
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-770308699.031,853541.961204,-770308699.031,-769705153.723,-770912244.34,-770851889.809,-769765508.253,2.0,728533879535.0,119,3.66466187075e-13,0.249546279492,0.125003845369,0.25,0.00779856113348
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-773252373.822,952622.271633,-773252373.822,-772578768.154,-773925979.491,-773858618.924,-772646128.721,2.0,907489192412.0,14,3.66466187075e-13,0.249546279492,0.12498986221,0.25,0.00779768877217
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-792504991.828,344988.773693,-792504991.828,-792261047.927,-792748935.73,-792724541.34,-792285442.317,2.0,119017253974.0,39,3.66466187075e-13,0.249546279492,0.249993707579,0.25,0.0155962499057
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-832111543.655,316629.078423,-832111543.655,-831887653.087,-832335434.224,-832313045.167,-831910042.143,2.0,100253973303.0,64,3.66466187075e-13,0.249546279492,0.250006292421,0.25,0.0155970350308
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-871843094.991,296894.541053,-871843094.991,-871633158.847,-872053031.134,-872032037.52,-871654152.462,2.0,88146368506.8,89,3.66466187075e-13,0.249546279492,0.250006292421,0.25,0.0155970350308
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-912087393.124,271324.225846,-912087393.124,-911895537.924,-912279248.324,-912260062.804,-911914723.444,2.0,73616835531.1,114,3.66466187075e-13,0.249546279492,0.125003845369,0.25,0.00779856113348
