npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,507896139.393,99274.9478105,507896139.393,507966337.382,507825941.405,507832961.203,507959317.583,2.0,9855515262.78,0.25,0.0155839065661,0.250009196248,0.249333333333,1.0406674226900002e-12,88
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,479218855.529,1326977.51421,479218855.529,480157170.328,478280540.73,478374372.21,480063338.848,2.0,1760869323230.0,0.25,0.0155839065661,0.250009196248,0.249333333333,1.0406674226900002e-12,93
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,475234511.869,764733.290117,475234511.869,475775259.964,474693763.774,474747838.583,475721185.155,2.0,584817005014.0,0.125026522385,0.00195853269302,0.124986205628,0.125333333333,1.0406674226900002e-12,105
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,451499315.661,292829.111027,451499315.661,451706377.111,451292254.211,451312960.356,451685670.966,2.0,85748888265.1,0.25,0.0155827601005,0.249990803752,0.249333333333,1.0406674226900002e-12,82
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,449337805.042,958960.635899,449337805.042,450015892.611,448659717.474,448727526.231,449948083.854,2.0,919605501205.0,0.25,0.00779195328306,0.125004598124,0.249333333333,1.0406674226900002e-12,98
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,447658598.1,550947.976767,447658598.1,448048177.15,447269019.049,447307976.954,448009219.245,2.0,303543673104.0,0.125026522385,0.00391735359627,0.249990803752,0.125333333333,1.0406674226900002e-12,110
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,446265733.035,792303.709012,446265733.035,446825976.361,445705489.71,445761514.043,446769952.028,2.0,627745167315.0,0.25,0.00779080681749,0.124986205628,0.249333333333,1.0406674226900002e-12,77
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,421746591.711,1201687.82723,421746591.711,422596313.323,420896870.1,420981842.261,422511341.162,2.0,1444053634110.0,0.25,0.0155839065661,0.250009196248,0.249333333333,1.0406674226900002e-12,87
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,416721923.128,1059318.15599,416721923.128,417470974.18,415972872.077,416047777.182,417396069.075,2.0,1122154955610.0,0.125026522385,0.00391764180651,0.250009196248,0.125333333333,1.0406674226900002e-12,115
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,392389281.367,1107382.221,392389281.367,393172318.845,391606243.889,391684547.637,393094015.097,2.0,1226295383380.0,0.25,0.0155839065661,0.250009196248,0.249333333333,1.0406674226900002e-12,92
