npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1143915799.75,3606307.17452,1143915799.75,1146465844.01,1141365755.49,1141620759.92,1146210839.59,2.0,13005451437000.0,0.00781313356976,1.74117872884e-13,0.25,70,0.250005865503,0.125007204196
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1136727172.5,1543858.76163,1136727172.5,1137818845.5,1135635499.5,1135744666.8,1137709678.2,2.0,2383499875850.0,0.0156243993987,1.74117872884e-13,0.25,89,0.250004799048,0.249985591609
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1105581259.71,4094213.42216,1105581259.71,1108476305.79,1102686213.64,1102975718.25,1108186801.18,2.0,16762583546200.0,0.00779010205243,1.74117872884e-13,0.124645892351,53,0.250005865503,0.249985591609
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1099239295.74,5050628.9759,1099239295.74,1102810629.74,1095667961.75,1096025095.15,1102453496.34,2.0,25508853052200.0,0.00389470210706,1.74117872884e-13,0.124645892351,3,0.124991734973,0.249985591609
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1082775423.16,890983.003972,1082775423.16,1083405443.28,1082145403.04,1082208405.05,1083342441.27,2.0,793850713368.0,0.00781219969937,1.74117872884e-13,0.25,114,0.125002399524,0.249985591609
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1081737022.97,3673136.61762,1081737022.97,1084334322.78,1079139723.16,1079399453.14,1084074592.8,2.0,13491932611700.0,0.0156237995523,1.74117872884e-13,0.25,34,0.249995200952,0.249985591609
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1073239331.33,6610925.00083,1073239331.33,1077913961.23,1068564701.43,1069032164.42,1077446498.24,2.0,43704329366600.0,0.00781310024112,1.74117872884e-13,0.25,95,0.250004799048,0.125007204196
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1049757564.92,1317420.65846,1049757564.92,1050689122.0,1048826007.84,1048919163.54,1050595966.29,2.0,1735597191340.0,0.00779006882203,1.74117872884e-13,0.124645892351,78,0.250004799048,0.249985591609
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1033803480.22,5665182.57342,1033803480.22,1037809369.23,1029797591.2,1030198180.1,1037408780.33,2.0,32094293590200.0,0.00390655012056,1.74117872884e-13,0.25,120,0.125002399524,0.125007204196
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1033165126.4,4177347.85449,1033165126.4,1036118957.4,1030211295.41,1030506678.51,1035823574.3,2.0,17450235097400.0,0.00781153320336,1.74117872884e-13,0.25,9,0.124991734973,0.249985591609
