cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
10,0.0,-17936886.4057,24628431.1488,-23316080.0,-15205356.3239,-21480823.05,0.0,-19385941.0427,26618070.9085,-27050057.67,-4598720.6252,-74318093.6302,496823400.0,1169744.99868,2482844.64774,29647170.1581,103795774.08,0.0,-173.170273344,237.773271103,0.0,0.0
11,0.0,-17583957.6317,24143838.5716,-23316080.0,-15206138.2356,-21480823.05,0.0,-19004500.4599,26094329.8913,-27050057.67,-4598720.6252,-74318093.6302,0.0,1162820.97098,2597437.47763,29482463.6572,103795774.08,0.0,-169.762949973,233.094809794,0.0,0.0
12,0.0,-17179687.5537,23588751.2751,-23316080.0,-15206498.0823,-21480823.05,0.0,-18567570.8991,25494399.1475,-27050057.67,-4598720.6252,-74318093.6302,0.0,1144548.88572,2673832.69756,30470702.6625,105606165.489,0.0,-165.859955978,227.735762705,0.0,0.0
13,0.0,-16841657.5339,23124615.5896,-23316080.0,-15205615.0773,-21480823.05,0.0,-18202232.6857,24992767.6585,-27050057.67,-4598720.6252,-74318093.6302,0.0,1393193.86016,2712030.30753,30800115.6643,106209629.291,0.0,-162.596471469,223.254800864,0.0,0.0
14,0.0,-16454453.5638,22592961.0926,-23316080.0,-15206487.4248,-21480823.05,0.0,-17783747.9405,24418162.7633,-27050057.67,-4598720.6252,-74318093.6302,0.0,1236869.42485,2750227.91749,31129528.666,106209629.291,0.0,-158.858240885,218.121983915,0.0,0.0
15,0.0,-16130693.353,22148418.7189,-23316080.0,-15210319.2401,-21480823.05,0.0,-17433832.3411,23937707.4573,-27050057.67,-4598720.6252,-74318093.6302,0.0,1025938.71855,2788425.52746,31458941.6678,106813093.094,0.0,-155.732523136,213.830184177,0.0,0.0
16,0.0,-7879917.52575,10819603.9074,-23316080.0,-15205165.8275,-21480823.05,0.0,-8516506.88533,11693679.6448,-27050057.67,-4598720.6252,-74318093.6302,0.0,4229762.78168,2826623.13742,31623648.1687,107416556.897,0.0,-76.0760502687,104.457023574,0.0,0.0
17,0.0,0.0,0.0,-23316080.0,-15205120.0126,-21480823.05,0.0,0.0,0.0,-27050057.67,-4598720.6252,-74318093.6302,0.0,1700952.23682,2864820.74739,32117767.6713,108623484.503,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-23316080.0,-15205393.4053,-21480823.05,0.0,0.0,0.0,-27050057.67,-4598720.6252,-74318093.6302,0.0,1166937.29385,2903018.35735,32776593.6748,109830412.108,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-23316080.0,-15206179.5527,-21480823.05,0.0,0.0,0.0,-27050057.67,-4598720.6252,-74318093.6302,0.0,1165524.46697,2941215.96732,33106006.6766,110433875.911,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-23316080.0,-15207527.1337,-21480823.05,0.0,0.0,0.0,-27050057.67,-4598720.6252,-74318093.6302,0.0,1138347.79211,2941215.96732,33270713.1774,111037339.714,0.0,0.0,0.0,0.0,0.0
