npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
769.0,-769.0,-18584.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,365263153.737,1210192.47409,365263153.737,366118889.042,364407418.432,364492991.963,366033315.511,2.0,1464565824340.0,101,0.125008698073,0.125000450414,4.2140306427499993e-14,0.125210084034,0.00195655074886
769.0,-769.0,-14991.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,362516812.106,1840944.57265,362516812.106,363818556.497,361215067.715,361345242.154,363688382.058,2.0,3389076919560.0,77,0.249982603855,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00782511390512
769.0,-769.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,360696178.051,3750902.56147,360696178.051,363348466.688,358043889.414,358309118.278,363083237.824,2.0,14069270025600.0,53,0.249982603855,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00782511390512
769.0,-620.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,357672224.107,28747214.2176,357672224.107,377999574.221,337344873.994,339377609.005,375966839.21,2.0,826402325271000.0,10,0.125008698073,0.124998648759,4.2140306427499993e-14,0.249579831933,0.00389991407363
769.0,-769.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,334618420.746,3933773.08061,334618420.746,337400018.367,331836823.125,332114982.887,337121858.605,2.0,15474570649700.0,29,0.250017396145,0.249999099172,4.2140306427499993e-14,0.125210084034,0.00782614659516
769.0,-472.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,310190409.971,3477195.9302,310190409.971,312649158.792,307731661.149,307977536.031,312403283.91,2.0,12090891537000.0,88,0.249982603855,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155977102672
769.0,-472.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,307604846.117,19974717.4312,307604846.117,321729104.265,293480587.969,294893013.784,320316678.45,2.0,398989336455000.0,64,0.250017396145,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155998811385
769.0,-472.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,693809.0,1e+200,-1e+200,ref,cooper,nebraska,covid,274648230.988,57876499.861,274648230.988,315573096.511,233723365.465,237815852.017,311480609.959,2.0,3349689236160000.0,40,0.125008698073,0.249999099172,4.2140306427499993e-14,0.249579831933,0.00779988435826
769.0,-174.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,264532550.319,22709014.7252,264532550.319,280590248.625,248474852.013,250080621.844,278984478.795,2.0,515699349789000.0,75,0.125008698073,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00391310149772
769.0,-769.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,219718452.51,12079855.6534,219718452.51,228260200.358,211176704.662,212030879.446,227406025.573,2.0,145922912608000.0,5,0.125008698073,0.124998648759,4.2140306427499993e-14,0.125210084034,0.00195652254872
