cfYears,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
10,0.0,-12345431.2705,17324489.5741,-15827040.0,-10100300.9894,-14581260.9,0.0,-15177330.4919,21298527.2129,-27050057.67,-4499585.77169,-53500129.3092,337251240.0,397936.759369,2460905.5444,18268977.1525,67736843.5889,0.0,-169.437232988,237.773271103,0.0,0.0
11,0.0,-12102520.7774,16983610.4089,-15827040.0,-10112851.0423,-14581260.9,0.0,-14878699.1397,20879454.3077,-27050057.67,-4499585.77169,-53500129.3092,0.0,462343.336094,2562386.1854,18159582.0797,67336033.8635,0.0,-166.103361459,233.094809794,0.0,0.0
12,0.0,-11824273.5749,16593142.8219,-15827040.0,-10101536.6445,-14581260.9,0.0,-14536625.2455,20399417.97,-27050057.67,-4499585.77169,-53500129.3092,0.0,319328.012451,2613126.5059,18815952.5163,68538463.0397,0.0,-162.284504504,227.735762705,0.0,0.0
13,0.0,-11591617.456,16266653.7412,-15827040.0,-10101819.0045,-14581260.9,0.0,-14250600.5024,19998036.0684,-27050057.67,-4499585.77169,-53500129.3092,0.0,317818.669235,2638496.66616,19034742.6618,68939272.765,0.0,-159.091371096,223.254800864,0.0,0.0
14,0.0,-11325116.3536,15892669.5953,-15827040.0,-10104604.1333,-14581260.9,0.0,-13922967.1278,19538264.2826,-27050057.67,-4499585.77169,-53500129.3092,0.0,338057.205277,2663866.82641,19253532.8074,69340082.4904,0.0,-155.433725738,218.121983915,0.0,0.0
15,0.0,-11102281.7245,15579963.1272,-15827040.0,-10104476.8717,-14581260.9,0.0,-13649016.8107,19153826.5656,-27050057.67,-4499585.77169,-53500129.3092,0.0,417728.501918,2689236.98666,19472322.9529,69340082.4904,0.0,-152.375389245,213.830184177,0.0,0.0
16,0.0,-5423515.43246,7610883.29001,-15827040.0,-10101831.638,-14581260.9,0.0,-6667607.17732,9356731.93562,-27050057.67,-4499585.77169,-53500129.3092,0.0,355775.015598,2714607.14691,19581718.0257,69740892.2158,0.0,-74.4360749986,104.457023574,0.0,0.0
17,0.0,0.0,0.0,-15827040.0,-10103846.561,-14581260.9,0.0,0.0,0.0,-27050057.67,-4499585.77169,-53500129.3092,0.0,292812.110525,2739977.30716,19909903.244,70542511.6666,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-15827040.0,-10099983.8197,-14581260.9,0.0,0.0,0.0,-27050057.67,-4499585.77169,-53500129.3092,0.0,482202.942916,2765347.46741,20347483.5351,71344131.1173,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-15827040.0,-10100345.1297,-14581260.9,0.0,0.0,0.0,-27050057.67,-4499585.77169,-53500129.3092,0.0,400664.368021,2790717.62767,20566273.6806,72145750.5681,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-15827040.0,-10112485.168,-14581260.9,0.0,0.0,0.0,-27050057.67,-4499585.77169,-53500129.3092,0.0,463800.65695,2790717.62767,20675668.7534,72145750.5681,0.0,0.0,0.0,0.0,0.0
