smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-40596318.8585,548004.76814,-40596318.8585,-40208820.9708,-40983816.7462,-40945066.9574,-40247570.7596,2.0,300309225904.0,14,0.25,0.249546279492,1.83230531396e-13,0.124995105963,0.00779801591193
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-61581759.8036,368179.470671,-61581759.8036,-61321417.6032,-61842102.004,-61816067.784,-61347451.8232,2.0,135556122623.0,39,0.25,0.249546279492,1.83230531396e-13,0.249996504259,0.015596424381
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-75072553.9506,4908398.2053,-75072553.9506,-71601792.2949,-78543315.6063,-78196239.4408,-71948868.4604,2.0,24092372941800.0,53,0.249963898917,0.125226860254,1.83230531396e-13,0.250003495741,0.00782565798392
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-101561684.309,2149546.76211,-101561684.309,-100041725.217,-103081643.401,-102929647.492,-100193721.126,2.0,4620551282520.0,108,0.249963898917,0.250453720508,1.83230531396e-13,0.125001398296,0.00782563609905
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-102070417.558,512769.927871,-102070417.558,-101707834.465,-102433000.651,-102396742.342,-101744092.774,2.0,262932998929.0,94,0.25,0.249546279492,1.83230531396e-13,0.250003495741,0.0155968605555
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-103384772.773,1962002.37401,-103384772.773,-101997427.589,-104772117.956,-104633383.438,-102136162.108,2.0,3849453315610.0,50,0.125018050542,0.125226860254,1.83230531396e-13,0.249996504259,0.00391384975812
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-135545385.496,4738484.17352,-135545385.496,-132194771.205,-138895999.788,-138560938.359,-132529832.634,2.0,22453232262700.0,64,0.25,0.249546279492,1.83230531396e-13,0.250003495741,0.0155968605555
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-154092832.873,2306194.72476,-154092832.873,-152462106.944,-155723558.801,-155560486.208,-152625179.537,2.0,5318534108500.0,78,0.249963898917,0.125226860254,1.83230531396e-13,0.250003495741,0.00782565798392
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-175320107.104,1541054.57276,-175320107.104,-174230416.965,-176409797.242,-176300828.228,-174339385.979,2.0,2374849196230.0,119,0.25,0.249546279492,1.83230531396e-13,0.125001398296,0.00779840846903
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-179022595.686,4895227.81638,-179022595.686,-175561146.902,-182484044.47,-182137899.592,-175907291.78,2.0,23963255374300.0,75,0.125018050542,0.125226860254,1.83230531396e-13,0.250003495741,0.00391395921408
