smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,149146686.064,3136209.07573,149146686.064,151364320.768,146929051.359,147150814.83,151142557.298,2.0,9835807366720.0,1.83230531396e-13,107,0.250453720508,0.125001398296,0.00782676631801,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,124115295.691,160668.938201,124115295.691,124228905.787,124001685.596,124013046.605,124217544.778,2.0,25814507702.6,1.83230531396e-13,77,0.125226860254,0.250003495741,0.00782678820604,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,108108038.172,646767.233861,108108038.172,108565371.669,107650704.675,107696438.025,108519638.319,2.0,418307854796.0,1.83230531396e-13,38,0.249546279492,0.249996504259,0.0155941721897,0.249963898917
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,71393281.4305,1273416.27293,71393281.4305,72293722.7123,70492840.1486,70582884.2768,72203678.5841,2.0,1621589004170.0,1.83230531396e-13,102,0.125226860254,0.125001398296,0.003913383159,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,53339949.2418,5241397.23154,53339949.2418,57046176.7671,49633721.7164,50004344.469,56675554.0145,2.0,27472244938800.0,1.83230531396e-13,63,0.249546279492,0.250003495741,0.0155946083013,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,23929945.0518,3394460.38938,23929945.0518,26330191.0116,21529699.092,21769723.688,26090166.4156,2.0,11522361335100.0,1.83230531396e-13,33,0.250453720508,0.249996504259,0.0156508782704,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,15472068.4545,1588821.83123,15472068.4545,16595535.1455,14348601.7636,14460948.4327,16483188.4764,2.0,2524354811390.0,1.83230531396e-13,8,0.250453720508,0.124995105963,0.00782524217136,0.249963898917
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2281101.30372,813657.207686,-2281101.30372,-1705758.7746,-2856443.83283,-2798909.57992,-1763293.02751,2.0,662038051620.0,1.83230531396e-13,88,0.249546279492,0.250003495741,0.0155946083013,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-26899767.476,910687.392152,-26899767.476,-26255814.2455,-27543720.7066,-27479325.3835,-26320209.5685,2.0,829351526224.0,1.83230531396e-13,58,0.250453720508,0.250003495741,0.0156513159678,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-31308812.7282,2317669.06882,-31308812.7282,-29669973.2131,-32947652.2433,-32783768.2918,-29833857.1646,2.0,5371589912560.0,1.83230531396e-13,19,0.249546279492,0.124995105963,0.00779801591193,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-51196077.9149,7520011.69025,-51196077.9149,-45878626.6541,-56513529.1757,-55981784.0496,-46410371.7802,2.0,56550575821500.0,1.83230531396e-13,113,0.249546279492,0.125001398296,0.00779728234506,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-81936927.9424,877249.288214,-81936927.9424,-81316619.0219,-82557236.8629,-82495205.9708,-81378649.9139,2.0,769566313672.0,1.83230531396e-13,44,0.249546279492,0.249996504259,0.015596424381,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-83987924.6304,357450.859319,-83987924.6304,-83735168.7039,-84240680.557,-84215404.9643,-83760444.2965,2.0,127771116828.0,1.83230531396e-13,83,0.250453720508,0.250003495741,0.0156513159678,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-85256345.6419,296888.547741,-85256345.6419,-85046413.7365,-85466277.5472,-85445284.3567,-85067406.927,2.0,88142809779.7,1.83230531396e-13,28,0.125226860254,0.249996504259,0.0078254391352,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-124648691.534,7448987.53694,-124648691.534,-119381461.934,-129915921.135,-129389198.175,-119908184.894,2.0,55487415325400.0,1.83230531396e-13,3,0.125226860254,0.124995105963,0.00391262108568,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-138306240.414,994522.019657,-138306240.414,-137603007.15,-139009473.678,-138939150.352,-137673330.477,2.0,989074047582.0,1.83230531396e-13,108,0.250453720508,0.125001398296,0.00782563609905,0.249963898917
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-138993721.736,754121.875937,-138993721.736,-138460477.044,-139526966.429,-139473641.959,-138513801.513,2.0,568699803766.0,1.83230531396e-13,53,0.125226860254,0.250003495741,0.00782565798392,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-139215169.714,4988835.31326,-139215169.714,-135687530.433,-142742808.994,-142390045.066,-136040294.362,2.0,24888477782900.0,1.83230531396e-13,69,0.249546279492,0.250003495741,0.0155968605555,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-171467106.421,2870729.91737,-171467106.421,-169437193.829,-173497019.013,-173294027.753,-169640185.089,2.0,8241090258480.0,1.83230531396e-13,14,0.249546279492,0.124995105963,0.00779801591193,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-177842832.53,1839562.43153,-177842832.53,-176542065.46,-179143599.599,-179013522.892,-176672142.167,2.0,3383989939500.0,1.83230531396e-13,39,0.249546279492,0.249996504259,0.015596424381,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-190275508.759,4560516.30472,-190275508.759,-187050736.754,-193500280.764,-193177803.563,-187373213.954,2.0,20798308965600.0,1.83230531396e-13,94,0.249546279492,0.250003495741,0.0155968605555,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-191774475.072,1538955.32013,-191774475.072,-190686269.329,-192862680.815,-192753860.24,-190795089.903,2.0,2368383477350.0,1.83230531396e-13,78,0.125226860254,0.250003495741,0.00782565798392,0.249963898917
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-193708433.823,409286.098902,-193708433.823,-193419024.847,-193997842.799,-193968901.901,-193447965.744,2.0,167515110754.0,1.83230531396e-13,25,0.125226860254,0.124995105963,0.00195687562387,0.125018050542
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-230891725.875,2167818.27789,-230891725.875,-229358846.871,-232424604.88,-232271316.98,-229512134.771,2.0,4699436085970.0,1.83230531396e-13,64,0.249546279492,0.250003495741,0.0155968605555,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-241857456.766,2283572.95142,-241857456.766,-240242726.846,-243472186.685,-243310713.693,-240404199.838,2.0,5214705424470.0,1.83230531396e-13,119,0.249546279492,0.125001398296,0.00779840846903,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-245154944.748,1973199.83197,-245154944.748,-243759681.766,-246550207.73,-246410681.432,-243899208.064,2.0,3893517576870.0,1.83230531396e-13,103,0.125226860254,0.125001398296,0.00391281804952,0.249963898917
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-247818212.725,631873.58342,-247818212.725,-247371410.629,-248265014.821,-248220334.611,-247416090.839,2.0,399264225424.0,1.83230531396e-13,50,0.125226860254,0.249996504259,0.00391384975812,0.125018050542
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-283612164.87,398860.677338,-283612164.87,-283330127.781,-283894201.96,-283865998.251,-283358331.49,2.0,159089839927.0,1.83230531396e-13,89,0.249546279492,0.250003495741,0.0155968605555,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-294078633.775,2798536.61456,-294078633.775,-292099769.557,-296057497.992,-295859611.57,-292297655.979,2.0,7831807183040.0,1.83230531396e-13,34,0.250453720508,0.249996504259,0.0156531386514,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-303378176.116,2096607.95265,-303378176.116,-301895650.416,-304860701.817,-304712449.247,-302043902.986,2.0,4395764907100.0,1.83230531396e-13,75,0.125226860254,0.250003495741,0.00391395921408,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-317737457.929,7094083.84897,-317737457.929,-312721183.133,-322753732.725,-322252105.245,-313222810.613,2.0,50326025656200.0,1.83230531396e-13,9,0.250453720508,0.124995105963,0.00782637233343,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-338436185.37,2970438.89367,-338436185.37,-336335767.885,-340536602.855,-340326561.106,-336545809.634,2.0,8823507221050.0,1.83230531396e-13,114,0.249546279492,0.125001398296,0.00779840846903,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-340353304.859,5697308.97222,-340353304.859,-336324699.05,-344381910.668,-343979050.087,-336727559.631,2.0,32459329524900.0,1.83230531396e-13,20,0.249546279492,0.124995105963,0.00389957098961,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-347639423.259,7641017.18322,-347639423.259,-342236408.193,-353042438.324,-352502136.817,-342776709.7,2.0,58385143594300.0,1.83230531396e-13,59,0.250453720508,0.250003495741,0.0156535764121,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-348847001.08,2793572.16607,-348847001.08,-346871647.258,-350822354.903,-350624819.521,-347069182.64,2.0,7804045447040.0,1.83230531396e-13,100,0.125226860254,0.250003495741,0.00391395921408,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-361949644.483,528159.882693,-361949644.483,-361576179.048,-362323109.918,-362285763.374,-361613525.592,2.0,278952861687.0,1.83230531396e-13,45,0.249546279492,0.249996504259,0.0077993382861,0.125018050542
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-403157879.699,3496367.73314,-403157879.699,-400685574.365,-405630185.033,-405382954.499,-400932804.899,2.0,12224587325300.0,1.83230531396e-13,125,0.125226860254,0.125001398296,0.00195697413424,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-404476378.047,3691112.8543,-404476378.047,-401866367.118,-407086388.977,-406825387.884,-402127368.211,2.0,13624314103200.0,1.83230531396e-13,84,0.250453720508,0.250003495741,0.0156535764121,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-413531058.807,6140746.68627,-413531058.807,-409188895.183,-417873222.43,-417439006.068,-409623111.546,2.0,37708769864900.0,1.83230531396e-13,29,0.125226860254,0.249996504259,0.00782656932572,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-413618593.109,2873580.60295,-413618593.109,-411586664.778,-415650521.439,-415447328.606,-411789857.611,2.0,8257465481620.0,1.83230531396e-13,70,0.249546279492,0.250003495741,0.00779955640487,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-454593488.234,6659033.03722,-454593488.234,-449884840.817,-459302135.65,-458831270.909,-450355705.558,2.0,44342720990800.0,1.83230531396e-13,4,0.125226860254,0.124995105963,0.00391318616671,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-454808475.903,5770334.4323,-454808475.903,-450728233.296,-458888718.51,-458480694.249,-451136257.557,2.0,33296759460600.0,1.83230531396e-13,109,0.250453720508,0.125001398296,0.00782676631801,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-469520996.903,1325029.2124,-469520996.903,-468584059.761,-470457934.044,-470364240.33,-468677753.475,2.0,1755702413710.0,1.83230531396e-13,54,0.125226860254,0.250003495741,0.00782678820604,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-469984905.281,2506570.5468,-469984905.281,-468212492.25,-471757318.312,-471580077.009,-468389733.553,2.0,6282895906070.0,1.83230531396e-13,95,0.249546279492,0.250003495741,0.00779955640487,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-477728790.113,10101949.8445,-477728790.113,-470585632.874,-484871947.351,-484157631.627,-471299948.598,2.0,102049390660000.0,1.83230531396e-13,15,0.249546279492,0.124995105963,0.00389957098961,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-495293791.043,5575533.33735,-495293791.043,-491351293.611,-499236288.474,-498842038.731,-491745543.354,2.0,31086571995900.0,1.83230531396e-13,40,0.249546279492,0.249996504259,0.0077993382861,0.125018050542
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-523724320.845,3001001.34656,-523724320.845,-521602292.442,-525846349.247,-525634146.407,-521814495.283,2.0,9006009082050.0,1.83230531396e-13,120,0.249546279492,0.125001398296,0.0038997672965,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-527502842.327,942483.837555,-527502842.327,-526836405.615,-528169279.04,-528102635.369,-526903049.286,2.0,888275784052.0,1.83230531396e-13,79,0.125226860254,0.250003495741,0.00782678820604,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-541863517.658,11108607.9562,-541863517.658,-534008545.642,-549718489.673,-548932992.471,-534794042.844,2.0,123401170724000.0,1.83230531396e-13,65,0.249546279492,0.250003495741,0.00779955640487,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-583973175.753,1895811.25686,-583973175.753,-582632634.757,-585313716.748,-585179662.649,-582766688.857,2.0,3594100321650.0,1.83230531396e-13,104,0.125226860254,0.125001398296,0.003913383159,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-609367808.235,36126.0395061,-609367808.235,-609342263.268,-609393353.203,-609390798.706,-609344817.765,2.0,1305090730.4,1.83230531396e-13,90,0.249546279492,0.250003495741,0.00779955640487,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-626937481.229,1907336.54238,-626937481.229,-625588790.626,-628286171.833,-628151302.772,-625723659.687,2.0,3637932685920.0,1.83230531396e-13,10,0.250453720508,0.124995105963,0.00391375124775,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-628052688.934,60580.6902993,-628052688.934,-628009851.917,-628095525.951,-628091242.249,-628014135.619,2.0,3670020037.14,1.83230531396e-13,35,0.250453720508,0.249996504259,0.00782769951624,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-656356922.431,11925198.6521,-656356922.431,-647924533.597,-664789311.265,-663946072.382,-648767772.481,2.0,142210362892000.0,1.83230531396e-13,115,0.249546279492,0.125001398296,0.0038997672965,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-676622321.889,2119165.64953,-676622321.889,-675123845.488,-678120798.29,-677970950.65,-675273693.128,2.0,4490863050130.0,1.83230531396e-13,60,0.250453720508,0.250003495741,0.00782791842816,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-739334260.778,1273049.41676,-739334260.778,-738434078.902,-740234442.653,-740144424.466,-738524097.09,2.0,1620654817510.0,1.83230531396e-13,85,0.250453720508,0.250003495741,0.00782791842816,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-760007008.333,4528111.70716,-760007008.333,-756805149.839,-763208866.827,-762888680.977,-757125335.688,2.0,20503795632600.0,1.83230531396e-13,30,0.125226860254,0.249996504259,0.00391384975812,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-763085528.001,1168942.56798,-763085528.001,-762258960.785,-763912095.218,-763829438.496,-762341617.506,2.0,1366426727240.0,1.83230531396e-13,5,0.125226860254,0.124995105963,0.00195687562387,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-794169915.413,6495450.29524,-794169915.413,-789576938.462,-798762892.364,-798303594.669,-790036236.158,2.0,42190874537900.0,1.83230531396e-13,110,0.250453720508,0.125001398296,0.00391394826849,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-822310989.405,7224783.4743,-822310989.405,-817202296.018,-827419682.792,-826908813.454,-817713165.356,2.0,52197496250500.0,1.83230531396e-13,55,0.125226860254,0.250003495741,0.00391395921408,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-875349758.664,3538455.57042,-875349758.664,-872847692.735,-877851824.592,-877601618.0,-873097899.328,2.0,12520667823800.0,1.83230531396e-13,80,0.125226860254,0.250003495741,0.00391395921408,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-930370204.726,1599710.30423,-930370204.726,-929239038.722,-931501370.73,-931388254.13,-929352155.322,2.0,2559073057460.0,1.83230531396e-13,105,0.125226860254,0.125001398296,0.00195697413424,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-17014754653.2,105551.249572,-17014754653.2,-17014680017.2,-17014829289.2,-17014821825.6,-17014687480.8,2.0,11141066286.3,1.83230531396e-13,1,0.125226860254,0.124995105963,0.00195687562387,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-320874834810.0,875368.697656,-320874834810.0,-320874215831.0,-320875453789.0,-320875391891.0,-320874277728.0,2.0,766270356836.0,1.83230531396e-13,7,0.250453720508,0.124995105963,0.00782637233343,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-686192872479.0,4095461.38134,-686192872479.0,-686189976550.0,-686195768407.0,-686195478814.0,-686190266143.0,2.0,16772803926000.0,1.83230531396e-13,13,0.249546279492,0.124995105963,0.00779688984465,0.249963898917
720.0,-254.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-194931779202000.0,4074300.7259,-194931779202000.0,-194931776321000.0,-194931782083000.0,-194931781795000.0,-194931776609000.0,2.0,16599926405000.0,1.83230531396e-13,118,0.249546279492,0.125001398296,0.00779728234506,0.249963898917
720.0,-116.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-195297089082000.0,4407077.52939,-195297089082000.0,-195297085966000.0,-195297092198000.0,-195297091887000.0,-195297086277000.0,2.0,19422332350100.0,1.83230531396e-13,124,0.125226860254,0.125001398296,0.003913383159,0.25
720.0,-529.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-195807289865000.0,3228069.75743,-195807289865000.0,-195807287583000.0,-195807292148000.0,-195807291920000.0,-195807287811000.0,2.0,10420434358900.0,1.83230531396e-13,106,0.250453720508,0.125001398296,0.00391394826849,0.125018050542
