npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,644392109.754,174493.387873,644392109.754,644515495.212,644268724.296,644281062.842,644503156.666,2.0,30447942411.4,0.249333333333,1.0563053673200001e-12,14,0.00779081278539,0.25,0.12498630137
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,630463562.445,439679.464318,630463562.445,630774462.776,630152662.114,630183752.147,630743372.743,2.0,193318031343.0,0.125333333333,1.0563053673200001e-12,78,0.0078336194825,0.25,0.25000913242
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,627560688.682,265537.315224,627560688.682,627748451.918,627372925.446,627391701.769,627729675.595,2.0,70510065776.5,0.249333333333,1.0563053673200001e-12,119,0.00779195129376,0.25,0.12500456621
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,624990045.515,1658843.7326,624990045.515,626163025.167,623817065.862,623934363.827,626045727.202,2.0,2751762529190.0,0.249333333333,1.0563053673200001e-12,64,0.0155839025875,0.25,0.25000913242
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,624593206.675,1141571.24805,624593206.675,625400419.446,623785993.904,623866715.181,625319698.169,2.0,1303184914380.0,0.125333333333,1.0563053673200001e-12,50,0.00391567420506,0.124972890913,0.24999086758
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,603546352.555,739674.949541,603546352.555,604069381.728,603023323.383,603075626.3,604017078.811,2.0,547119030979.0,0.125333333333,1.0563053673200001e-12,103,0.00391680974125,0.25,0.12500456621
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,596285265.303,454643.157281,596285265.303,596606746.563,595963784.044,595995932.17,596574598.437,2.0,206700400463.0,0.249333333333,1.0563053673200001e-12,89,0.0155839025875,0.25,0.25000913242
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,594185814.872,962253.127355,594185814.872,594866230.584,593505399.161,593573440.732,594798189.013,2.0,925931081105.0,0.125333333333,1.0563053673200001e-12,75,0.00391596029216,0.124972890913,0.25000913242
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,574930871.805,205137.376702,574930871.805,575075925.835,574785817.775,574800323.178,575061420.432,2.0,42081343320.1,0.250666666667,1.0563053673200001e-12,34,0.0156660943683,0.25,0.24999086758
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,565204031.859,1836045.84673,565204031.859,566502312.328,563905751.39,564035579.437,566372484.281,2.0,3371064351290.0,0.249333333333,1.0563053673200001e-12,114,0.00779195129376,0.25,0.12500456621
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,565037137.594,2841074.85579,565037137.594,567046080.891,563028194.298,563229088.627,566845186.561,2.0,8071706336220.0,0.125333333333,1.0563053673200001e-12,100,0.00391596029216,0.124972890913,0.25000913242
